DeviceNo,,[25071720],[25071721],[25071722],[25071723],[25071724],[--------],
DeviceInfo,,[],[],[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],[20M次],[--],
2025-07-25,21:25:53:205,02318,02545,02341,02127,22009,----,
2025-07-25,21:25:53:515,02318,02549,02344,02129,21601,----,
2025-07-25,21:25:53:824,02318,02563,02348,02131,21112,----,
2025-07-25,21:25:54:133,02319,02565,02351,02133,21823,----,
2025-07-25,21:25:54:444,02319,02568,02353,02136,20407,----,
2025-07-25,21:25:54:768,02320,02582,02355,02137,20447,----,
2025-07-25,21:25:55:078,02320,02582,02359,02139,20911,----,
2025-07-25,21:25:55:385,02320,02584,02361,02140,20529,----,
2025-07-25,21:25:55:695,02320,02587,02363,02142,19573,----,
2025-07-25,21:25:56:020,02321,02600,02365,02145,19586,----,
2025-07-25,21:25:56:329,02322,02603,02369,02147,19286,----,
2025-07-25,21:25:56:631,02322,02606,02371,02148,18647,----,
2025-07-25,21:25:56:952,02323,02620,02373,02150,18404,----,
2025-07-25,21:25:57:264,02323,02620,02375,02152,18549,----,
2025-07-25,21:25:57:573,02324,02622,02377,02153,18270,----,
2025-07-25,21:25:57:884,02324,02625,02379,02155,19071,----,
2025-07-25,21:25:58:193,02325,02638,02381,02156,20316,----,
2025-07-25,21:25:58:535,02325,02638,02383,02158,20119,----,
2025-07-25,21:25:58:843,02770,02656,02368,01931,16104,----,
2025-07-25,21:25:59:150,OVLD,03680,02080,00548,06412,----,
2025-07-25,21:25:59:464,28317,02319,02212,01559,10297,----,
2025-07-25,21:25:59:774,02090,02329,02217,01783,11099,----,
2025-07-25,21:26:00:084,02219,02418,02257,01792,15329,----,
2025-07-25,21:26:00:407,02270,02454,02286,01868,15464,----,
2025-07-25,21:26:00:719,02273,02480,02287,01921,15334,----,
2025-07-25,21:26:01:028,02303,02482,02305,01440,14189,----,
2025-07-25,21:26:01:336,04788,01462,02244,01276,12948,----,
2025-07-25,21:26:01:648,04858,00813,01786,00816,12407,----,
2025-07-25,21:26:01:958,04449,01051,02097,01722,11559,----,
2025-07-25,21:26:02:284,02359,02181,02171,01733,13810,----,
2025-07-25,21:26:02:595,02388,02296,02175,01846,14724,----,
2025-07-25,21:26:02:902,02390,02347,02215,01922,14636,----,
2025-07-25,21:26:03:214,02393,02351,02243,01979,13711,----,
2025-07-25,21:26:03:526,02408,02380,02247,01984,13091,----,
2025-07-25,21:26:03:848,02409,02403,02270,01995,12680,----,
2025-07-25,21:26:04:150,02561,02091,02185,00634,12313,----,
2025-07-25,21:26:04:467,03497,00491,01609,01612,10911,----,
2025-07-25,21:26:04:776,02399,02145,02065,01644,11390,----,
2025-07-25,21:26:05:088,02403,02165,02140,01879,14040,----,
2025-07-25,21:26:05:411,02431,02304,02145,01976,14231,----,
