DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,17:56:54:606,05251,02920,04790,06383,
2025-07-27,17:56:54:851,05254,02922,04794,06385,
2025-07-27,17:56:55:106,05257,02922,04797,06386,
2025-07-27,17:56:55:361,05259,02924,04801,06387,
2025-07-27,17:56:55:605,05262,02925,04805,06389,
2025-07-27,17:56:55:855,05265,02927,04807,06391,
2025-07-27,17:56:56:099,05117,02754,04636,06017,
2025-07-27,17:56:56:356,04920,01342,03264,04693,
2025-07-27,17:56:56:612,03390,01353,03272,04715,
2025-07-27,17:56:56:858,03518,01469,03331,04890,
2025-07-27,17:56:57:102,03526,01501,03333,04991,
2025-07-27,17:56:57:352,03586,01503,03362,04998,
2025-07-27,17:56:57:609,03591,01505,03406,05255,
2025-07-27,17:56:57:855,04010,01849,04169,05345,
2025-07-27,17:56:58:111,04846,02388,04189,05938,
2025-07-27,17:56:58:349,04864,02410,04420,06159,
2025-07-27,17:56:58:607,05006,02583,04537,06172,
2025-07-27,17:56:58:851,05016,02591,04545,06271,
2025-07-27,17:56:59:112,05094,02689,04612,06278,
2025-07-27,17:56:59:360,05143,02752,04615,06329,
2025-07-27,17:56:59:608,05031,02591,04452,06100,
2025-07-27,17:56:59:856,03810,01272,03150,05286,
2025-07-27,17:57:00:104,03813,01280,03156,05293,
2025-07-27,17:57:00:354,03878,01353,03197,05371,
2025-07-27,17:57:00:602,03881,01356,03199,05377,
2025-07-27,17:57:00:850,03916,01370,03222,05419,
2025-07-27,17:57:01:113,03916,01370,03223,05420,
2025-07-27,17:57:01:362,03919,01371,03230,05425,
2025-07-27,17:57:01:612,04505,01427,03301,05944,
2025-07-27,17:57:01:858,04568,02117,04140,05976,
2025-07-27,17:57:02:106,04954,02415,04381,06213,
2025-07-27,17:57:02:354,04965,02421,04393,06221,
2025-07-27,17:57:02:603,05061,02569,04437,06269,
2025-07-27,17:57:02:849,03831,02422,04290,04804,
2025-07-27,17:57:03:112,03845,01561,03102,04825,
2025-07-27,17:57:03:361,03949,01627,03157,04975,
2025-07-27,17:57:03:611,03952,01628,03159,04980,
2025-07-27,17:57:03:862,03980,01632,03179,05038,
2025-07-27,17:57:04:110,03983,01656,03180,05044,
2025-07-27,17:57:04:359,03998,01660,03190,05129,
2025-07-27,17:57:04:605,04059,02243,04126,05196,
2025-07-27,17:57:04:851,04903,02253,04155,05919,
2025-07-27,17:57:05:113,04920,02490,04365,06172,
2025-07-27,17:57:05:361,05053,02505,04379,06186,
2025-07-27,17:57:05:609,05124,02623,04490,06242,
2025-07-27,17:57:05:857,05086,02566,03264,06112,
2025-07-27,17:57:06:106,03762,01354,03281,05151,
2025-07-27,17:57:06:355,03772,01478,03380,05273,
2025-07-27,17:57:06:605,03840,01480,03383,05279,
2025-07-27,17:57:06:850,03842,01495,03405,05318,
2025-07-27,17:57:07:102,03845,01494,03467,05348,
2025-07-27,17:57:07:350,03997,01603,04205,06004,
2025-07-27,17:57:07:600,04877,02282,04223,06034,
