DeviceNo,,[25071720],[25071721],[25071722],[25071723]
DeviceInfo,,[],[],[],[]
DeviceRange,,[20M次],[20M次],[20M次],[20M次]
2025/7/27,18:04:44:912,6054,4884,6400,7005
2025/7/27,18:04:45:173,6054,4885,6401,7005
2025/7/27,18:04:45:411,6054,4887,6401,7005
2025/7/27,18:04:45:664,6054,4888,6402,7005
2025/7/27,18:04:45:926,6055,4890,6402,7006
2025/7/27,18:04:46:166,6055,4890,6403,7006
2025/7/27,18:04:46:420,6055,4892,6403,7006
2025/7/27,18:04:46:666,6056,4893,6404,7006
2025/7/27,18:04:46:913,6056,4895,6404,7006
2025/7/27,18:04:47:163,6056,4896,6404,7006
2025/7/27,18:04:47:423,5870,4835,6324,6743
2025/7/27,18:04:47:668,4000,2948,5641,5900
2025/7/27,18:04:47:916,4059,2910,5582,5956
2025/7/27,18:04:48:164,4980,2377,4342,6355
2025/7/27,18:04:48:422,5072,2360,3045,6245
2025/7/27,18:04:48:666,5922,2388,2962,6137
2025/7/27,18:04:48:916,5964,2862,2559,4731
2025/7/27,18:04:49:177,6398,2932,2562,4654
2025/7/27,18:04:49:422,6093,3520,2787,3775
2025/7/27,18:04:49:664,5935,3537,3288,3812
2025/7/27,18:04:49:916,4673,3719,3364,3760
2025/7/27,18:04:50:170,4462,3324,3895,3415
2025/7/27,18:04:50:414,3075,3189,3881,3389
2025/7/27,18:04:50:673,2863,1936,3676,3717
2025/7/27,18:04:50:911,3118,2061,4788,5094
2025/7/27,18:04:51:166,4501,3255,4814,5166
2025/7/27,18:04:51:425,4545,3484,5020,5728
2025/7/27,18:04:51:672,4902,3499,5034,5767
2025/7/27,18:04:51:916,5120,3626,5155,6078
2025/7/27,18:04:52:162,5136,3633,5241,6263
2025/7/27,18:04:52:424,5264,3720,5247,6276
2025/7/27,18:04:52:677,5275,3786,5304,6378
