DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,19:40:32:260,06295,05154,05528,06730,
2025-07-27,19:40:32:511,06299,05160,05531,06732,
2025-07-27,19:40:32:760,06303,05165,05534,06732,
2025-07-27,19:40:33:012,06308,05170,05536,06733,
2025-07-27,19:40:33:256,06312,05172,05538,06734,
2025-07-27,19:40:33:521,06316,05177,05539,06735,
2025-07-27,19:40:33:775,06318,05181,05542,06735,
2025-07-27,19:40:34:030,06322,05185,05544,06736,
2025-07-27,19:40:34:275,06326,05189,05545,06736,
2025-07-27,19:40:34:522,06316,05190,05549,06736,
2025-07-27,19:40:34:780,06238,05191,05552,06736,
2025-07-27,19:40:35:023,06238,05193,05557,06736,
2025-07-27,19:40:35:281,06241,05194,05562,06736,
2025-07-27,19:40:35:524,06247,05195,05567,06737,
2025-07-27,19:40:35:771,06252,05196,05570,06739,
2025-07-27,19:40:36:024,06255,05199,05574,06740,
2025-07-27,19:40:36:272,06261,05203,05575,06707,
2025-07-27,19:40:36:530,06161,05188,05549,05919,
2025-07-27,19:40:36:779,05382,05096,05420,05946,
2025-07-27,19:40:37:027,05749,05098,05424,06264,
2025-07-27,19:40:37:277,05768,05106,05500,06291,
2025-07-27,19:40:37:522,06053,05155,05503,06489,
2025-07-27,19:40:37:783,06066,05159,05544,06590,
2025-07-27,19:40:38:021,06149,05184,05546,06595,
2025-07-27,19:40:38:289,06151,05185,05544,06596,
2025-07-27,19:40:38:541,06149,05185,05539,06587,
2025-07-27,19:40:38:789,05916,05176,05398,06396,
2025-07-27,19:40:39:042,05851,05020,04831,06145,
2025-07-27,19:40:39:288,05409,04492,04757,06144,
2025-07-27,19:40:39:550,05397,04467,04246,06227,
2025-07-27,19:40:39:789,05397,04018,04240,06244,
2025-07-27,19:40:40:037,05751,03930,04028,06405,
2025-07-27,19:40:40:302,05838,02955,03707,06550,
2025-07-27,19:40:40:556,06294,02952,03704,06561,
2025-07-27,19:40:40:816,06363,02951,03785,06654,
2025-07-27,19:40:41:066,06383,02948,03788,06665,
2025-07-27,19:40:41:310,06211,02955,04019,06725,
2025-07-27,19:40:41:552,06210,03623,04483,06691,
2025-07-27,19:40:41:813,06283,03675,04529,06691,
2025-07-27,19:40:42:053,06291,04099,04884,06691,
2025-07-27,19:40:42:307,06342,04125,04902,06694,
2025-07-27,19:40:42:566,06351,04340,05043,06700,
2025-07-27,19:40:42:809,06451,04491,05129,06730,
2025-07-27,19:40:43:067,06457,04495,05136,06733,
2025-07-27,19:40:43:314,06495,04610,05193,06734,
2025-07-27,19:40:43:558,06497,04621,05198,06739,
2025-07-27,19:40:43:802,06501,04707,05252,06745,
2025-07-27,19:40:44:062,06507,04774,05256,06752,
2025-07-27,19:40:44:303,06513,04776,05294,06758,
2025-07-27,19:40:44:554,06517,04833,05295,06761,
2025-07-27,19:40:44:803,06511,04836,05302,06765,
2025-07-27,19:40:45:058,06407,04876,05348,06768,
2025-07-27,19:40:45:305,06407,04879,05352,06770,
2025-07-27,19:40:45:553,06406,04882,05355,06771,
2025-07-27,19:40:45:807,06405,04917,05389,06774,
2025-07-27,19:40:46:063,06404,04922,05392,06776,
2025-07-27,19:40:46:315,06402,04951,05395,06749,
2025-07-27,19:40:46:556,06304,04941,05376,05842,
2025-07-27,19:40:46:804,05281,04861,05251,05847,
2025-07-27,19:40:47:078,05300,04861,05255,06116,
2025-07-27,19:40:47:324,05619,04869,05352,06155,
2025-07-27,19:40:47:574,06100,04935,05353,06431,
2025-07-27,19:40:47:828,06096,04938,05347,06429,
2025-07-27,19:40:48:069,06096,04941,05344,06428,
2025-07-27,19:40:48:337,06091,04946,05293,06427,
2025-07-27,19:40:48:612,05926,04945,05268,06409,
2025-07-27,19:40:48:861,05863,04353,04724,06104,
2025-07-27,19:40:49:107,05095,04219,03836,06117,
2025-07-27,19:40:49:351,06178,03088,03805,06494,
2025-07-27,19:40:49:609,06173,03072,03560,06504,
2025-07-27,19:40:49:858,06179,02922,03607,06658,
2025-07-27,19:40:50:100,06175,02925,03919,06669,
2025-07-27,19:40:50:357,06169,02962,04242,06756,
2025-07-27,19:40:50:605,06190,02996,04279,06758,
2025-07-27,19:40:50:850,06194,03512,04601,06758,
2025-07-27,19:40:51:108,06300,03939,04630,06760,
2025-07-27,19:40:51:417,06300,03939,04884,06761,
2025-07-27,19:40:51:674,06351,04228,05031,06764,
2025-07-27,19:40:51:919,06356,04388,05042,06768,
2025-07-27,19:40:52:166,06383,04400,05130,06773,
2025-07-27,19:40:52:425,06383,04505,05196,06776,
2025-07-27,19:40:52:730,06383,04505,05202,06787,
2025-07-27,19:40:52:977,06391,04607,05250,06794,
2025-07-27,19:40:53:232,06397,04678,05253,06797,
2025-07-27,19:40:53:791,06397,04678,05297,06806,
2025-07-27,19:40:54:051,06414,04783,05329,06809,
2025-07-27,19:40:54:290,06419,04787,05331,06811,
2025-07-27,19:40:54:550,06422,04834,05336,06813,
2025-07-27,19:40:54:796,06423,04835,05365,06814,
2025-07-27,19:40:55:037,06425,04840,05367,06814,
2025-07-27,19:40:55:297,06427,04873,05372,06815,
2025-07-27,19:40:55:541,06426,04876,05398,06815,
2025-07-27,19:40:55:795,06426,04903,05397,06815,
2025-07-27,19:40:56:046,06428,04903,05397,06814,
2025-07-27,19:40:56:289,06428,04906,05399,06813,
2025-07-27,19:40:56:547,06429,04911,05403,06813,
2025-07-27,19:40:56:787,06431,04935,05429,06814,
2025-07-27,19:40:57:041,06433,04934,05421,06689,
2025-07-27,19:40:57:301,06310,04922,05402,05665,
2025-07-27,19:40:57:552,05114,04846,05322,05747,
2025-07-27,19:40:57:800,05855,04851,05376,06268,
2025-07-27,19:40:58:051,05891,04902,05379,06509,
2025-07-27,19:40:58:298,06166,04906,05409,06521,
2025-07-27,19:40:58:542,06178,04908,05409,06569,
2025-07-27,19:40:58:797,06222,04931,05400,06560,
2025-07-27,19:40:59:043,06154,04931,05358,06556,
2025-07-27,19:40:59:292,06153,04930,05353,06552,
2025-07-27,19:40:59:550,06143,04927,05345,06548,
2025-07-27,19:40:59:798,05949,04517,05078,06495,
2025-07-27,19:41:00:046,05815,04325,03539,06501,
2025-07-27,19:41:00:294,05894,02918,03579,06656,
2025-07-27,19:41:00:542,06377,02933,03755,06668,
2025-07-27,19:41:00:789,06391,02935,03772,06745,
2025-07-27,19:41:01:038,06196,03258,04170,06744,
2025-07-27,19:41:01:302,06192,03326,04555,06745,
2025-07-27,19:41:01:551,06208,03785,04578,06751,
2025-07-27,19:41:01:799,06338,04057,04799,06782,
2025-07-27,19:41:02:048,06344,04068,04816,06781,
2025-07-27,19:41:02:299,06392,04317,05010,06782,
2025-07-27,19:41:02:607,06392,04317,05101,06785,
2025-07-27,19:41:02:856,06443,04471,05108,06790,
2025-07-27,19:41:03:102,06449,04571,05165,06796,
2025-07-27,19:41:03:349,06475,04579,05173,06804,
2025-07-27,19:41:03:600,06475,04647,05224,06812,
2025-07-27,19:41:03:862,06474,04653,05227,06815,
2025-07-27,19:41:04:108,06473,04708,05267,06821,
2025-07-27,19:41:04:354,06473,04757,05269,06826,
2025-07-27,19:41:04:602,06472,04761,05275,06830,
2025-07-27,19:41:04:852,06471,04765,05305,06831,
2025-07-27,19:41:05:101,06471,04809,05307,06834,
2025-07-27,19:41:05:350,06471,04814,05311,06836,
2025-07-27,19:41:05:599,06471,04847,05339,06837,
2025-07-27,19:41:05:862,06472,04851,05340,06839,
2025-07-27,19:41:06:109,06474,04854,05341,06840,
2025-07-27,19:41:06:361,06477,04884,05345,06841,
2025-07-27,19:41:06:611,06480,04887,05350,06842,
2025-07-27,19:41:06:861,06481,04892,05372,06843,
2025-07-27,19:41:07:109,06483,04916,05373,06844,
2025-07-27,19:41:07:354,06484,04917,05374,06844,
2025-07-27,19:41:07:602,06463,04918,05372,06797,
2025-07-27,19:41:07:849,05567,04908,05244,06066,
2025-07-27,19:41:08:112,05528,04782,05243,06041,
2025-07-27,19:41:08:362,05628,04794,05299,06080,
2025-07-27,19:41:08:609,05695,04868,05305,06440,
2025-07-27,19:41:08:856,06140,04872,05346,06454,
2025-07-27,19:41:09:107,06229,04905,05346,06559,
2025-07-27,19:41:09:355,06233,04907,05346,06616,
2025-07-27,19:41:09:603,06237,04908,05345,06615,
2025-07-27,19:41:09:850,06256,04911,05334,06605,
2025-07-27,19:41:10:113,06117,04909,05244,06549,
2025-07-27,19:41:10:360,06096,04821,05074,06543,
2025-07-27,19:41:10:611,05851,04760,05007,06537,
2025-07-27,19:41:10:857,05842,04160,04535,06536,
2025-07-27,19:41:11:106,05795,04100,04441,06523,
2025-07-27,19:41:11:354,05814,03360,03837,06527,
2025-07-27,19:41:11:601,06600,02946,03806,06800,
2025-07-27,19:41:11:865,06647,02939,03849,06810,
2025-07-27,19:41:12:128,06508,02925,03857,06884,
2025-07-27,19:41:12:376,06482,02937,04260,06882,
2025-07-27,19:41:12:624,06317,03305,04303,06875,
2025-07-27,19:41:12:875,06412,03782,04647,06844,
2025-07-27,19:41:13:122,06415,03809,04846,06846,
2025-07-27,19:41:13:370,06459,04043,04851,06848,
2025-07-27,19:41:13:619,06459,04068,05022,06848,
2025-07-27,19:41:13:867,06460,04286,05032,06849,
2025-07-27,19:41:14:115,06461,04428,05114,06851,
2025-07-27,19:41:14:395,06469,04439,05165,06851,
2025-07-27,19:41:14:642,06520,04537,05167,06851,
2025-07-27,19:41:14:886,06525,04545,05174,06852,
2025-07-27,19:41:15:134,06591,04622,05215,06854,
2025-07-27,19:41:15:382,06592,04679,05220,06856,
2025-07-27,19:41:15:643,06594,04684,05253,06859,
2025-07-27,19:41:15:894,06595,04725,05256,06862,
2025-07-27,19:41:16:141,06596,04729,05261,06863,
2025-07-27,19:41:16:389,06596,04774,05291,06866,
2025-07-27,19:41:16:638,06595,04777,05294,06869,
2025-07-27,19:41:16:889,06599,04816,05295,06870,
2025-07-27,19:41:17:134,06666,04817,05298,06871,
2025-07-27,19:41:17:383,06667,04821,05303,06872,
2025-07-27,19:41:17:646,06669,04857,05309,06872,
2025-07-27,19:41:17:910,06670,04860,05330,06873,
2025-07-27,19:41:18:159,06673,04865,05331,06874,
