DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,19:33:10:656,05820,05708,05427,06819,
2025-07-27,19:33:10:904,05821,05709,05428,06819,
2025-07-27,19:33:11:154,05821,05710,05429,06820,
2025-07-27,19:33:11:403,05821,05711,05430,06820,
2025-07-27,19:33:11:651,05821,05712,05431,06820,
2025-07-27,19:33:11:898,05821,05713,05431,06821,
2025-07-27,19:33:12:146,05821,05714,05432,06821,
2025-07-27,19:33:12:411,05821,05715,05433,06821,
2025-07-27,19:33:12:660,05821,05716,05434,06822,
2025-07-27,19:33:12:907,05821,05717,05435,06822,
2025-07-27,19:33:13:158,05821,05718,05435,06822,
2025-07-27,19:33:13:405,05822,05719,05436,06823,
2025-07-27,19:33:13:652,05822,05720,05437,06823,
2025-07-27,19:33:13:900,05822,05718,05407,06620,
2025-07-27,19:33:14:149,05732,05500,04723,05295,
2025-07-27,19:33:14:398,05077,05501,04739,05339,
2025-07-27,19:33:14:650,05224,05510,04866,05572,
2025-07-27,19:33:14:899,05230,05570,05130,05897,
2025-07-27,19:33:15:148,05398,05577,05139,05922,
2025-07-27,19:33:15:397,05411,05621,05224,06133,
2025-07-27,19:33:15:661,05508,05622,05219,06147,
2025-07-27,19:33:15:910,05561,05623,05215,06283,
2025-07-27,19:33:16:160,05562,05616,05008,05437,
2025-07-27,19:33:16:403,05566,05216,03342,05465,
2025-07-27,19:33:16:652,05555,05203,03339,05595,
2025-07-27,19:33:16:901,05528,05191,03575,05622,
2025-07-27,19:33:17:151,05532,05199,04284,05894,
2025-07-27,19:33:17:397,05535,05331,04331,06138,
2025-07-27,19:33:17:657,05561,05403,04702,06144,
2025-07-27,19:33:17:904,05562,05404,04714,06300,
2025-07-27,19:33:18:154,05562,05411,04889,06312,
2025-07-27,19:33:18:401,05561,05453,04996,06415,
2025-07-27,19:33:18:647,05559,05458,05005,06496,
2025-07-27,19:33:18:910,05556,05491,05091,06498,
2025-07-27,19:33:19:162,05553,05492,05100,06509,
2025-07-27,19:33:19:425,05550,05495,05169,06575,
2025-07-27,19:33:19:673,05545,05496,05172,06580,
2025-07-27,19:33:19:920,05468,05497,05178,06620,
2025-07-27,19:33:20:165,05472,05500,05212,06620,
2025-07-27,19:33:20:413,05462,05498,05204,06617,
2025-07-27,19:33:20:676,05297,05437,05111,06608,
2025-07-27,19:33:20:911,05303,05440,05112,06561,
2025-07-27,19:33:21:177,05313,05500,05190,06570,
2025-07-27,19:33:21:422,05422,05507,05195,06639,
2025-07-27,19:33:21:669,05558,05542,05275,06644,
2025-07-27,19:33:21:918,05562,05542,05275,06690,
2025-07-27,19:33:22:167,05660,05545,05277,06692,
2025-07-27,19:33:22:413,05664,05549,05279,06697,
2025-07-27,19:33:22:676,05700,05551,05284,06700,
2025-07-27,19:33:22:924,05702,05556,05306,06729,
2025-07-27,19:33:23:169,05704,05561,05308,06730,
2025-07-27,19:33:23:415,05708,05566,05311,06732,
2025-07-27,19:33:23:663,05714,05570,05312,06733,
2025-07-27,19:33:23:924,05733,05573,05317,06737,
2025-07-27,19:33:24:170,05735,05574,05322,06741,
2025-07-27,19:33:24:418,05736,05577,05327,06746,
2025-07-27,19:33:24:665,05738,05580,05332,06750,
2025-07-27,19:33:24:912,05741,05582,05334,06752,
2025-07-27,19:33:25:176,05745,05583,05338,06755,
2025-07-27,19:33:25:420,05749,05585,05341,06758,
2025-07-27,19:33:25:668,05751,05586,05343,06704,
2025-07-27,19:33:25:916,05718,05575,05204,04885,
2025-07-27,19:33:26:163,04876,05361,04526,04932,
2025-07-27,19:33:26:426,04961,05367,04596,05694,
2025-07-27,19:33:26:672,05442,05467,05000,05726,
2025-07-27,19:33:26:922,05457,05471,05030,05982,
2025-07-27,19:33:27:169,05568,05497,05020,06116,
2025-07-27,19:33:27:416,05633,05498,05017,06121,
2025-07-27,19:33:27:665,05638,05501,05014,06237,
2025-07-27,19:33:27:915,05682,05504,04922,06172,
2025-07-27,19:33:28:165,05671,05399,02740,05396,
2025-07-27,19:33:28:426,05588,05030,02816,05405,
2025-07-27,19:33:28:675,05589,05036,03638,05656,
2025-07-27,19:33:28:924,05596,05135,03923,05676,
2025-07-27,19:33:29:173,05598,05131,03897,05788,
2025-07-27,19:33:29:423,05600,05153,04019,05965,
2025-07-27,19:33:29:673,05596,05158,04040,05973,
2025-07-27,19:33:29:921,05591,05166,04388,06167,
2025-07-27,19:33:30:167,05559,05250,04651,06183,
2025-07-27,19:33:30:413,05559,05310,04667,06317,
2025-07-27,19:33:30:690,05552,05312,04773,06379,
2025-07-27,19:33:30:937,05450,05307,04772,06383,
2025-07-27,19:33:31:185,05350,05227,04776,06388,
2025-07-27,19:33:31:434,05360,05239,04903,06450,
2025-07-27,19:33:31:807,05360,05239,04909,06457,
2025-07-27,19:33:32:055,05496,05387,04924,06551,
2025-07-27,19:33:32:318,05510,05388,05085,06553,
2025-07-27,19:33:32:562,05632,05392,05093,06561,
2025-07-27,19:33:32:808,05635,05426,05145,06611,
2025-07-27,19:33:33:055,05676,05427,05150,06615,
2025-07-27,19:33:33:303,05679,05431,05181,06619,
2025-07-27,19:33:33:582,05707,05433,05183,06650,
2025-07-27,19:33:33:829,05708,05456,05187,06652,
2025-07-27,19:33:34:078,05709,05456,05211,06656,
2025-07-27,19:33:34:323,05712,05458,05213,06662,
2025-07-27,19:33:34:571,05716,05461,05215,06668,
2025-07-27,19:33:34:820,05721,05462,05220,06671,
2025-07-27,19:33:35:082,05726,05466,05241,06677,
2025-07-27,19:33:35:329,05728,05470,05242,06682,
2025-07-27,19:33:35:579,05732,05474,05244,06686,
2025-07-27,19:33:35:828,05727,05476,05247,06691,
2025-07-27,19:33:36:076,05632,05478,05289,06693,
2025-07-27,19:33:36:326,05632,05480,05291,06697,
2025-07-27,19:33:36:573,05630,05481,05294,06702,
2025-07-27,19:33:36:821,05630,05483,05294,06664,
2025-07-27,19:33:37:083,05592,05473,05258,06557,
2025-07-27,19:33:37:331,05215,05467,04939,05834,
2025-07-27,19:33:37:577,05216,05411,04941,05843,
2025-07-27,19:33:37:827,05242,05415,05065,06112,
2025-07-27,19:33:38:077,05410,05458,05076,06135,
2025-07-27,19:33:38:325,05506,05459,05195,06311,
2025-07-27,19:33:38:572,05510,05460,05196,06322,
2025-07-27,19:33:38:820,05514,05462,05199,06418,
2025-07-27,19:33:39:082,05553,05466,05251,06508,
2025-07-27,19:33:39:329,05557,05470,05252,06511,
2025-07-27,19:33:39:576,05585,05426,05109,06426,
2025-07-27,19:33:39:823,05585,05390,03490,05787,
2025-07-27,19:33:40:074,05590,05100,03524,05811,
2025-07-27,19:33:40:320,05653,05219,03947,06023,
2025-07-27,19:33:40:567,05650,05228,03980,06037,
2025-07-27,19:33:40:832,05646,05292,04390,06208,
2025-07-27,19:33:41:077,05598,05296,04611,06330,
2025-07-27,19:33:41:325,05593,05343,04631,06340,
2025-07-27,19:33:41:572,05557,05343,04738,06411,
2025-07-27,19:33:41:819,05520,05347,04752,06416,
2025-07-27,19:33:42:068,05520,05350,04883,06479,
2025-07-27,19:33:42:321,05515,05375,04944,06485,
2025-07-27,19:33:42:579,05462,05373,04958,06534,
2025-07-27,19:33:42:826,05469,05378,05072,06542,
2025-07-27,19:33:43:076,05517,05412,05079,06590,
2025-07-27,19:33:43:323,05519,05412,05130,06592,
2025-07-27,19:33:43:573,05522,05414,05133,06596,
2025-07-27,19:33:43:822,05520,05417,05140,06602,
2025-07-27,19:33:44:072,05522,05421,05145,06609,
2025-07-27,19:33:44:321,05525,05424,05184,06613,
2025-07-27,19:33:44:570,05526,05430,05191,06643,
2025-07-27,19:33:44:832,05589,05456,05240,06647,
2025-07-27,19:33:45:080,05598,05458,05239,06652,
2025-07-27,19:33:45:328,05667,05461,05239,06655,
2025-07-27,19:33:45:573,05669,05462,05240,06661,
2025-07-27,19:33:45:822,05674,05466,05243,06668,
2025-07-27,19:33:46:071,05702,05470,05246,06673,
2025-07-27,19:33:46:332,05703,05474,05249,06677,
2025-07-27,19:33:46:580,05706,05477,05254,06679,
2025-07-27,19:33:46:829,05710,05478,05259,06682,
2025-07-27,19:33:47:077,05713,05481,05264,06684,
2025-07-27,19:33:47:324,05718,05483,05268,06686,
2025-07-27,19:33:47:570,05723,05485,05270,06688,
2025-07-27,19:33:47:819,05726,05486,05274,06689,
2025-07-27,19:33:48:068,05728,05488,05278,06690,
2025-07-27,19:33:48:331,05731,05489,05281,06692,
