DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,19:50:36:483,06328,06119,05902,06730,
2025-07-27,19:50:36:732,06329,06119,05902,06730,
2025-07-27,19:50:36:982,06330,06121,05902,06730,
2025-07-27,19:50:37:229,06331,06122,05903,06730,
2025-07-27,19:50:37:479,06332,06123,05904,06730,
2025-07-27,19:50:37:727,06333,06124,05905,06729,
2025-07-27,19:50:37:976,06334,06126,05906,06729,
2025-07-27,19:50:38:227,06335,06127,05907,06729,
2025-07-27,19:50:38:476,06335,06129,05908,06729,
2025-07-27,19:50:38:725,06336,06131,05908,06728,
2025-07-27,19:50:38:988,06336,06131,05909,06727,
2025-07-27,19:50:39:235,06336,06133,05909,06727,
2025-07-27,19:50:39:486,06337,06134,05910,06727,
2025-07-27,19:50:39:732,06338,06136,05911,06727,
2025-07-27,19:50:39:979,06303,06135,05920,06727,
2025-07-27,19:50:40:227,05815,06130,06009,06727,
2025-07-27,19:50:40:476,05801,06090,06012,06727,
2025-07-27,19:50:40:726,05750,06089,06060,06728,
2025-07-27,19:50:40:987,05753,06088,06062,06730,
2025-07-27,19:50:41:237,05755,06087,06067,06732,
2025-07-27,19:50:41:486,05759,06084,06094,06734,
2025-07-27,19:50:41:724,05764,06082,06094,06735,
2025-07-27,19:50:41:984,05770,06080,06096,06716,
2025-07-27,19:50:42:233,05776,06065,05688,05562,
2025-07-27,19:50:42:482,06000,05987,03597,05550,
2025-07-27,19:50:42:729,06005,05988,03698,05582,
2025-07-27,19:50:42:979,05788,05993,05251,06140,
2025-07-27,19:50:43:226,05788,06024,05280,06163,
2025-07-27,19:50:43:475,05786,06024,05503,06351,
2025-07-27,19:50:43:736,05785,06026,05634,06473,
2025-07-27,19:50:43:985,05783,06028,05638,06476,
2025-07-27,19:50:44:233,05780,06031,05723,06557,
2025-07-27,19:50:44:482,05777,06033,05730,06563,
2025-07-27,19:50:44:728,05776,06035,05783,06610,
2025-07-27,19:50:44:975,05763,06030,05769,06603,
2025-07-27,19:50:45:254,05666,05961,05673,06599,
2025-07-27,19:50:45:503,05660,05936,05586,06346,
2025-07-27,19:50:45:751,05544,05252,03855,06278,
2025-07-27,19:50:46:001,05560,05611,05347,06276,
2025-07-27,19:50:46:250,05662,05616,05378,06494,
2025-07-27,19:50:46:498,05665,05727,05609,06499,
2025-07-27,19:50:46:749,05669,05733,05624,06603,
2025-07-27,19:50:46:999,05689,05784,05751,06611,
2025-07-27,19:50:47:251,05690,05787,05837,06672,
2025-07-27,19:50:47:499,05691,05828,05844,06680,
2025-07-27,19:50:47:746,05692,05830,05901,06725,
2025-07-27,19:50:47:990,05637,05826,05910,06671,
2025-07-27,19:50:48:241,04364,05741,06030,06107,
2025-07-27,19:50:48:503,04408,05740,06036,06357,
2025-07-27,19:50:48:753,04892,05743,06089,06364,
2025-07-27,19:50:49:002,05090,05746,06090,06373,
2025-07-27,19:50:49:251,05110,05752,06093,06502,
2025-07-27,19:50:49:499,05280,05781,06095,06572,
2025-07-27,19:50:49:748,05285,05781,06082,06574,
2025-07-27,19:50:49:997,05320,05774,05891,06575,
2025-07-27,19:50:50:246,05330,05746,05897,06585,
2025-07-27,19:50:50:496,05429,05746,05934,06647,
2025-07-27,19:50:50:743,05432,05691,04857,06647,
2025-07-27,19:50:51:004,05492,04977,04842,06650,
2025-07-27,19:50:51:250,05567,05017,04861,06653,
2025-07-27,19:50:51:497,05564,05465,05002,06718,
2025-07-27,19:50:51:746,05564,05609,05711,06722,
2025-07-27,19:50:51:996,05565,05612,05865,06728,
2025-07-27,19:50:52:243,05569,05681,05868,06760,
2025-07-27,19:50:52:505,05599,05686,05960,06761,
2025-07-27,19:50:52:752,05600,05741,05967,06765,
2025-07-27,19:50:53:001,05602,05744,06026,06769,
2025-07-27,19:50:53:250,05604,05747,06002,06750,
2025-07-27,19:50:53:497,05606,05750,05947,06337,
2025-07-27,19:50:53:745,05606,05747,05309,06342,
2025-07-27,19:50:53:996,05609,05748,05562,06462,
2025-07-27,19:50:54:241,05610,05751,05564,06466,
2025-07-27,19:50:54:493,05612,05752,05565,06472,
2025-07-27,19:50:54:755,05613,05749,05563,06476,
2025-07-27,19:50:55:005,05614,05749,05558,06486,
2025-07-27,19:50:55:240,05612,05748,05571,06570,
2025-07-27,19:50:55:502,05611,05748,05704,06576,
2025-07-27,19:50:55:750,05605,05746,05855,06657,
2025-07-27,19:50:55:999,05602,05749,05859,06659,
2025-07-27,19:50:56:248,05599,05786,05915,06665,
2025-07-27,19:50:56:497,05588,05754,05905,06669,
2025-07-27,19:50:56:743,05232,05380,05878,06674,
2025-07-27,19:50:56:992,05191,05282,05879,06685,
2025-07-27,19:50:57:254,05023,04256,05840,06750,
2025-07-27,19:50:57:502,05507,03405,05321,06760,
2025-07-27,19:50:57:750,05522,03399,05006,06848,
2025-07-27,19:50:57:998,05749,03414,05050,06834,
2025-07-27,19:50:58:245,05707,03619,05609,06769,
2025-07-27,19:50:58:495,05562,04787,05632,06769,
2025-07-27,19:50:58:743,05576,05029,05793,06771,
2025-07-27,19:50:58:992,05716,05048,05845,06769,
2025-07-27,19:50:59:255,05739,05218,05847,06766,
2025-07-27,19:50:59:502,05909,05232,05905,06762,
2025-07-27,19:50:59:750,05970,05354,05910,06759,
2025-07-27,19:50:59:998,05974,05447,05962,06754,
2025-07-27,19:51:00:244,05977,05450,05965,06748,
2025-07-27,19:51:00:491,06014,05523,05969,06746,
2025-07-27,19:51:00:741,06018,05529,06005,06745,
2025-07-27,19:51:01:003,06021,05588,06009,06744,
2025-07-27,19:51:01:249,06051,05644,06042,06742,
2025-07-27,19:51:01:497,06053,05646,06043,06741,
2025-07-27,19:51:01:746,06056,05654,06045,06740,
2025-07-27,19:51:01:995,06060,05711,06050,06739,
2025-07-27,19:51:02:242,06063,05718,06081,06738,
2025-07-27,19:51:02:490,06069,05765,06082,06737,
2025-07-27,19:51:02:752,06076,05768,06085,06736,
2025-07-27,19:51:02:996,06082,05810,06087,06735,
2025-07-27,19:51:03:244,06079,05813,06095,06735,
2025-07-27,19:51:03:491,06065,05817,06150,06735,
2025-07-27,19:51:03:753,05927,05820,06153,06735,
2025-07-27,19:51:04:003,05932,05856,06158,06735,
2025-07-27,19:51:04:252,05984,05859,06160,06735,
2025-07-27,19:51:04:500,06032,05865,06163,06735,
2025-07-27,19:51:04:748,06034,05901,06167,06735,
2025-07-27,19:51:04:998,06038,05902,06168,06734,
2025-07-27,19:51:05:247,06043,05906,06169,06733,
2025-07-27,19:51:05:495,06043,05932,06172,06733,
2025-07-27,19:51:05:743,06041,05933,06176,06733,
2025-07-27,19:51:05:993,06004,05936,06183,06734,
2025-07-27,19:51:06:255,06004,05939,06189,06734,
2025-07-27,19:51:06:502,06008,05945,06193,06734,
2025-07-27,19:51:06:750,06048,05971,06198,06734,
2025-07-27,19:51:06:996,06048,05973,06202,06734,
2025-07-27,19:51:07:244,06047,05978,06206,06733,
2025-07-27,19:51:07:494,06044,05980,06207,06733,
2025-07-27,19:51:07:741,06041,05987,06211,06732,
2025-07-27,19:51:08:005,06036,06009,06215,06733,
2025-07-27,19:51:08:267,06008,06010,06221,06734,
2025-07-27,19:51:08:516,06007,06013,06227,06734,
2025-07-27,19:51:08:765,06004,06015,06139,06672,
2025-07-27,19:51:09:010,06011,06016,04259,05803,
2025-07-27,19:51:09:259,06028,06019,04166,05795,
2025-07-27,19:51:09:507,06237,06020,05247,06057,
2025-07-27,19:51:09:769,05981,06024,05659,06314,
2025-07-27,19:51:10:018,05974,06026,05683,06329,
2025-07-27,19:51:10:267,05824,06030,05864,06454,
2025-07-27,19:51:10:514,05825,06041,05876,06460,
2025-07-27,19:51:10:762,05830,06047,05973,06539,
2025-07-27,19:51:11:011,05860,06049,05919,06527,
2025-07-27,19:51:11:259,05680,06046,05914,06443,
2025-07-27,19:51:11:508,05685,06003,05916,06450,
2025-07-27,19:51:11:760,05720,06002,05744,06499,
2025-07-27,19:51:12:009,05719,05707,05589,06460,
2025-07-27,19:51:12:258,05716,05677,04073,06178,
2025-07-27,19:51:12:506,05728,05635,04194,06419,
2025-07-27,19:51:12:756,05805,05652,05466,06424,
2025-07-27,19:51:13:019,05808,05854,05687,06529,
2025-07-27,19:51:13:266,05898,05924,05700,06536,
2025-07-27,19:51:13:512,05904,05926,05812,06592,
2025-07-27,19:51:13:761,05954,05934,05818,06598,
2025-07-27,19:51:14:007,05955,05984,05899,06601,
2025-07-27,19:51:14:257,05899,05967,06077,06536,
2025-07-27,19:51:14:518,04590,05790,06085,06149,
2025-07-27,19:51:14:765,04616,05794,06094,06160,
2025-07-27,19:51:15:014,04862,05836,06184,06255,
2025-07-27,19:51:15:263,04882,05841,06187,06267,
2025-07-27,19:51:15:512,05182,05884,06184,06369,
2025-07-27,19:51:15:758,05417,05886,06180,06464,
2025-07-27,19:51:16:021,05434,05892,06179,06472,
2025-07-27,19:51:16:271,05577,05936,06179,06535,
2025-07-27,19:51:16:536,05676,05942,06177,06540,
2025-07-27,19:51:16:785,05678,05974,06171,06588,
2025-07-27,19:51:17:033,05678,05974,05295,06584,
2025-07-27,19:51:17:282,05719,05223,05216,06584,
2025-07-27,19:51:17:530,05853,05149,04406,06588,
2025-07-27,19:51:17:777,05841,05002,04531,06637,
2025-07-27,19:51:18:023,05745,05615,05503,06640,
2025-07-27,19:51:18:271,05748,05620,05713,06647,
2025-07-27,19:51:18:534,05773,05743,05718,06683,
2025-07-27,19:51:18:784,05773,05751,05838,06684,
2025-07-27,19:51:19:033,05774,05823,05846,06687,
2025-07-27,19:51:19:283,05775,05853,05638,06618,
2025-07-27,19:51:19:528,05776,05842,04466,05606,
2025-07-27,19:51:19:778,05779,05750,04462,05820,
2025-07-27,19:51:20:023,05785,05759,04724,05828,
2025-07-27,19:51:20:286,05810,05831,04759,06037,
2025-07-27,19:51:20:535,05809,05835,05008,06053,
2025-07-27,19:51:20:781,05804,05834,04998,06100,
2025-07-27,19:51:21:027,05693,05813,04865,06109,
2025-07-27,19:51:21:276,05680,05592,04827,06157,
2025-07-27,19:51:21:522,05401,05494,04837,06163,
2025-07-27,19:51:21:775,05408,05487,05014,06269,
2025-07-27,19:51:22:025,05422,05467,05018,06278,
2025-07-27,19:51:22:285,05471,05453,05132,06357,
2025-07-27,19:51:22:552,05451,05263,05144,06363,
2025-07-27,19:51:22:797,05279,05122,05271,06423,
2025-07-27,19:51:23:046,05295,05129,05451,06505,
2025-07-27,19:51:23:292,05397,05131,05461,06514,
2025-07-27,19:51:23:542,05391,05066,05726,06600,
2025-07-27,19:51:23:789,05389,04442,05736,06607,
2025-07-27,19:51:24:037,05412,03400,05582,06731,
2025-07-27,19:51:24:302,05958,03397,04997,06813,
2025-07-27,19:51:24:549,06416,03398,04988,06818,
2025-07-27,19:51:24:797,06414,03401,04894,06820,
2025-07-27,19:51:25:048,06384,03453,04899,06819,
2025-07-27,19:51:25:296,06331,03534,05265,06579,
2025-07-27,19:51:25:544,05775,04591,05306,06584,
2025-07-27,19:51:25:790,05784,04618,05555,06610,
2025-07-27,19:51:26:038,05939,04951,05562,06610,
2025-07-27,19:51:26:302,05952,05169,05673,06613,
2025-07-27,19:51:26:552,06036,05185,05680,06617,
2025-07-27,19:51:26:799,06041,05325,05743,06622,
2025-07-27,19:51:27:046,06075,05337,05749,06628,
2025-07-27,19:51:27:294,06078,05450,05811,06632,
2025-07-27,19:51:27:542,06081,05543,05815,06638,
2025-07-27,19:51:27:791,06087,05551,05862,06644,
2025-07-27,19:51:28:036,06110,05622,05863,06649,
2025-07-27,19:51:28:300,06112,05628,05868,06653,
2025-07-27,19:51:28:548,06113,05691,05900,06654,
2025-07-27,19:51:28:797,06117,05745,05904,06658,
2025-07-27,19:51:29:047,06122,05750,05936,06660,
2025-07-27,19:51:29:295,06127,05755,05937,06663,
2025-07-27,19:51:29:541,06133,05810,05940,06664,
2025-07-27,19:51:29:790,06136,05817,05945,06666,
2025-07-27,19:51:30:039,06140,05864,05975,06668,
2025-07-27,19:51:30:300,06145,05867,05975,06670,
2025-07-27,19:51:30:547,06149,05910,05978,06672,
2025-07-27,19:51:30:793,06152,05913,05982,06672,
2025-07-27,19:51:31:040,06155,05951,05987,06674,
2025-07-27,19:51:31:288,06159,05953,06012,06675,
2025-07-27,19:51:31:553,06163,05956,06012,06676,
2025-07-27,19:51:31:803,06166,05995,06014,06677,
2025-07-27,19:51:32:064,06168,05997,06016,06678,
2025-07-27,19:51:32:311,06170,06002,06020,06679,
2025-07-27,19:51:32:560,06173,06032,06026,06679,
2025-07-27,19:51:32:807,06175,06034,06029,06680,
2025-07-27,19:51:33:058,06176,06039,06035,06681,
2025-07-27,19:51:33:305,06178,06073,06041,06681,
2025-07-27,19:51:33:552,06179,06075,06047,06682,
