DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:30:43:425,06731,----,
2025-06-24,21:30:43:913,06854,----,
2025-06-24,21:30:44:168,06922,----,
2025-06-24,21:30:44:550,06687,----,
2025-06-24,21:30:44:652,04841,----,
2025-06-24,21:30:44:819,04736,----,
2025-06-24,21:30:44:849,03679,----,
2025-06-24,21:30:45:633,02924,----,
2025-06-24,21:30:45:809,02033,----,
2025-06-24,21:30:45:837,02007,----,
2025-06-24,21:30:46:243,02000,----,
2025-06-24,21:30:46:434,01949,----,
2025-06-24,21:30:46:546,01992,----,
2025-06-24,21:30:46:705,02007,----,
2025-06-24,21:30:47:170,01994,----,
2025-06-24,21:30:47:444,04330,----,
2025-06-24,21:30:48:815,04807,----,
2025-06-24,21:30:49:030,02280,----,
2025-06-24,21:30:49:314,02160,----,
2025-06-24,21:30:49:535,02050,----,
2025-06-24,21:30:50:192,01998,----,
2025-06-24,21:30:50:212,01998,----,
2025-06-24,21:30:50:321,02012,----,
2025-06-24,21:30:51:162,02133,----,
2025-06-24,21:30:51:632,05062,----,
2025-06-24,21:30:51:655,05062,----,
2025-06-24,21:30:52:240,05031,----,
2025-06-24,21:30:52:300,02425,----,
2025-06-24,21:30:53:265,02424,----,
2025-06-24,21:30:53:506,02026,----,
2025-06-24,21:30:53:824,02050,----,
2025-06-24,21:30:54:116,02050,----,
2025-06-24,21:30:54:158,03185,----,
2025-06-24,21:30:54:267,03479,----,
2025-06-24,21:30:54:376,04110,----,
2025-06-24,21:30:54:489,04367,----,
2025-06-24,21:30:54:608,04565,----,
2025-06-24,21:30:54:706,04746,----,
2025-06-24,21:30:54:813,04852,----,
2025-06-24,21:30:54:925,04958,----,
2025-06-24,21:30:55:037,05066,----,
2025-06-24,21:30:55:150,05187,----,
2025-06-24,21:30:55:252,05203,----,
2025-06-24,21:30:55:365,05030,----,
2025-06-24,21:30:55:472,04379,----,
2025-06-24,21:30:55:581,04226,----,
2025-06-24,21:30:55:693,03200,----,
2025-06-24,21:30:55:797,02486,----,
2025-06-24,21:30:55:922,02347,----,
2025-06-24,21:30:56:032,02329,----,
2025-06-24,21:30:56:146,02349,----,
2025-06-24,21:30:56:265,02310,----,
2025-06-24,21:30:56:365,02249,----,
2025-06-24,21:30:56:470,02119,----,
2025-06-24,21:30:56:582,02093,----,
2025-06-24,21:30:56:692,02057,----,
2025-06-24,21:30:56:804,02033,----,
2025-06-24,21:30:56:914,02011,----,
2025-06-24,21:30:57:015,02024,----,
2025-06-24,21:30:57:132,02051,----,
2025-06-24,21:30:57:235,02073,----,
2025-06-24,21:30:57:353,02083,----,
2025-06-24,21:30:57:462,02068,----,
2025-06-24,21:30:57:589,02061,----,
2025-06-24,21:30:57:672,02327,----,
2025-06-24,21:30:57:796,03095,----,
2025-06-24,21:30:57:894,03975,----,
2025-06-24,21:30:58:008,04217,----,
2025-06-24,21:30:58:114,04432,----,
2025-06-24,21:30:58:229,04589,----,
2025-06-24,21:30:58:342,04732,----,
2025-06-24,21:30:58:438,04855,----,
2025-06-24,21:30:58:554,04955,----,
2025-06-24,21:30:58:662,05020,----,
2025-06-24,21:30:58:770,05038,----,
2025-06-24,21:30:58:884,04649,----,
2025-06-24,21:30:58:987,04114,----,
2025-06-24,21:30:59:101,04081,----,
2025-06-24,21:30:59:204,04016,----,
2025-06-24,21:30:59:316,02518,----,
2025-06-24,21:30:59:434,02382,----,
2025-06-24,21:30:59:539,02371,----,
2025-06-24,21:30:59:645,02409,----,
2025-06-24,21:30:59:759,02407,----,
2025-06-24,21:30:59:876,02340,----,
2025-06-24,21:30:59:973,02263,----,
2025-06-24,21:31:00:079,02194,----,
2025-06-24,21:31:00:196,02147,----,
2025-06-24,21:31:00:310,02072,----,
2025-06-24,21:31:00:412,02029,----,
2025-06-24,21:31:00:524,02021,----,
2025-06-24,21:31:00:628,02059,----,
2025-06-24,21:31:00:735,02061,----,
2025-06-24,21:31:00:851,02030,----,
2025-06-24,21:31:00:969,02048,----,
2025-06-24,21:31:01:063,02040,----,
2025-06-24,21:31:01:182,02039,----,
2025-06-24,21:31:01:282,02903,----,
2025-06-24,21:31:01:392,03615,----,
2025-06-24,21:31:01:505,04100,----,
2025-06-24,21:31:01:614,04330,----,
2025-06-24,21:31:01:730,04521,----,
2025-06-24,21:31:01:831,04669,----,
2025-06-24,21:31:01:980,04791,----,
2025-06-24,21:31:02:054,04945,----,
2025-06-24,21:31:02:171,05016,----,
2025-06-24,21:31:02:274,05131,----,
2025-06-24,21:31:02:385,05111,----,
2025-06-24,21:31:02:494,04686,----,
2025-06-24,21:31:02:607,04359,----,
2025-06-24,21:31:02:713,04187,----,
2025-06-24,21:31:02:813,02735,----,
2025-06-24,21:31:02:939,02506,----,
2025-06-24,21:31:03:057,02519,----,
2025-06-24,21:31:03:165,02482,----,
2025-06-24,21:31:03:271,02415,----,
2025-06-24,21:31:03:378,02366,----,
2025-06-24,21:31:03:497,02323,----,
2025-06-24,21:31:03:595,02232,----,
2025-06-24,21:31:03:711,02168,----,
2025-06-24,21:31:03:827,02080,----,
2025-06-24,21:31:03:924,02056,----,
2025-06-24,21:31:04:038,02119,----,
2025-06-24,21:31:04:153,02399,----,
2025-06-24,21:31:04:250,02304,----,
