DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,23:21:07:343,06316,----,
2025-07-13,23:21:07:456,06343,----,
2025-07-13,23:21:07:568,06344,----,
2025-07-13,23:21:07:671,06345,----,
2025-07-13,23:21:07:785,06345,----,
2025-07-13,23:21:07:891,06346,----,
2025-07-13,23:21:08:000,06348,----,
2025-07-13,23:21:08:111,06350,----,
2025-07-13,23:21:08:224,06353,----,
2025-07-13,23:21:08:327,06353,----,
2025-07-13,23:21:08:440,06356,----,
2025-07-13,23:21:08:553,06360,----,
2025-07-13,23:21:08:657,06364,----,
2025-07-13,23:21:08:768,06364,----,
2025-07-13,23:21:08:881,06295,----,
2025-07-13,23:21:08:984,04204,----,
2025-07-13,23:21:09:097,04208,----,
2025-07-13,23:21:09:202,04207,----,
2025-07-13,23:21:09:315,04207,----,
2025-07-13,23:21:09:431,03807,----,
2025-07-13,23:21:09:530,03820,----,
2025-07-13,23:21:09:644,03859,----,
2025-07-13,23:21:09:755,03859,----,
2025-07-13,23:21:09:859,02887,----,
2025-07-13,23:21:09:973,02879,----,
2025-07-13,23:21:10:088,02870,----,
2025-07-13,23:21:10:190,02641,----,
2025-07-13,23:21:10:305,02641,----,
2025-07-13,23:21:10:408,02489,----,
2025-07-13,23:21:10:519,02501,----,
2025-07-13,23:21:10:632,02084,----,
2025-07-13,23:21:10:735,01963,----,
2025-07-13,23:21:10:848,01963,----,
2025-07-13,23:21:10:959,01835,----,
2025-07-13,23:21:11:063,00759,----,
2025-07-13,23:21:11:174,00756,----,
2025-07-13,23:21:11:281,00756,----,
2025-07-13,23:21:11:396,00751,----,
2025-07-13,23:21:11:509,00705,----,
2025-07-13,23:21:11:609,00704,----,
2025-07-13,23:21:11:721,00704,----,
2025-07-13,23:21:11:828,00704,----,
2025-07-13,23:21:11:943,00704,----,
2025-07-13,23:21:12:045,00704,----,
2025-07-13,23:21:12:155,00703,----,
2025-07-13,23:21:12:269,00703,----,
2025-07-13,23:21:12:381,00704,----,
2025-07-13,23:21:12:484,00727,----,
2025-07-13,23:21:12:595,01267,----,
2025-07-13,23:21:12:708,01287,----,
2025-07-13,23:21:12:821,01287,----,
2025-07-13,23:21:12:922,01320,----,
2025-07-13,23:21:13:035,01698,----,
2025-07-13,23:21:13:146,01707,----,
2025-07-13,23:21:13:250,01723,----,
2025-07-13,23:21:13:362,01723,----,
2025-07-13,23:21:13:474,01903,----,
2025-07-13,23:21:13:576,01899,----,
2025-07-13,23:21:13:687,01858,----,
2025-07-13,23:21:13:800,01858,----,
2025-07-13,23:21:13:912,00927,----,
2025-07-13,23:21:14:015,00916,----,
2025-07-13,23:21:14:129,00899,----,
2025-07-13,23:21:14:242,00699,----,
2025-07-13,23:21:14:344,00699,----,
2025-07-13,23:21:14:457,00695,----,
2025-07-13,23:21:14:571,00691,----,
2025-07-13,23:21:14:675,00645,----,
2025-07-13,23:21:14:785,00645,----,
2025-07-13,23:21:14:897,00644,----,
2025-07-13,23:21:15:000,00643,----,
2025-07-13,23:21:15:114,00642,----,
2025-07-13,23:21:15:219,00641,----,
2025-07-13,23:21:15:327,00641,----,
2025-07-13,23:21:15:443,00640,----,
2025-07-13,23:21:15:547,00640,----,
2025-07-13,23:21:15:662,00651,----,
2025-07-13,23:21:15:765,00695,----,
2025-07-13,23:21:15:879,00695,----,
2025-07-13,23:21:15:983,01296,----,
2025-07-13,23:21:16:097,01310,----,
2025-07-13,23:21:16:209,01335,----,
2025-07-13,23:21:16:313,01335,----,
2025-07-13,23:21:16:427,01639,----,
2025-07-13,23:21:16:539,01647,----,
2025-07-13,23:21:16:643,01664,----,
2025-07-13,23:21:16:755,01876,----,
2025-07-13,23:21:16:860,01876,----,
2025-07-13,23:21:16:975,01878,----,
2025-07-13,23:21:17:076,01875,----,
2025-07-13,23:21:17:191,01845,----,
2025-07-13,23:21:17:300,01845,----,
2025-07-13,23:21:17:406,01826,----,
2025-07-13,23:21:17:520,01738,----,
2025-07-13,23:21:17:633,00904,----,
2025-07-13,23:21:17:733,00889,----,
2025-07-13,23:21:17:847,00889,----,
2025-07-13,23:21:17:961,00868,----,
2025-07-13,23:21:18:064,00652,----,
2025-07-13,23:21:18:181,00649,----,
2025-07-13,23:21:18:280,00646,----,
2025-07-13,23:21:18:395,00646,----,
2025-07-13,23:21:18:508,00609,----,
2025-07-13,23:21:18:610,00608,----,
2025-07-13,23:21:18:722,00607,----,
2025-07-13,23:21:18:836,00607,----,
2025-07-13,23:21:18:939,00605,----,
2025-07-13,23:21:19:052,00604,----,
2025-07-13,23:21:19:156,00603,----,
2025-07-13,23:21:19:269,00602,----,
2025-07-13,23:21:19:384,00602,----,
2025-07-13,23:21:19:489,00601,----,
2025-07-13,23:21:19:599,00616,----,
2025-07-13,23:21:19:704,00661,----,
2025-07-13,23:21:19:816,00661,----,
2025-07-13,23:21:19:920,01251,----,
2025-07-13,23:21:20:035,01265,----,
2025-07-13,23:21:20:139,01288,----,
2025-07-13,23:21:20:253,01570,----,
2025-07-13,23:21:20:366,01570,----,
2025-07-13,23:21:20:470,01577,----,
2025-07-13,23:21:20:584,01592,----,
2025-07-13,23:21:20:688,01761,----,
2025-07-13,23:21:20:798,01758,----,
2025-07-13,23:21:20:914,01758,----,
