DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-14,15:33:23:798,05686,----,
2025-07-14,15:33:23:910,05686,----,
2025-07-14,15:33:24:024,05686,----,
2025-07-14,15:33:24:127,05687,----,
2025-07-14,15:33:24:241,05687,----,
2025-07-14,15:33:24:344,05687,----,
2025-07-14,15:33:24:462,05687,----,
2025-07-14,15:33:24:562,05687,----,
2025-07-14,15:33:24:675,05687,----,
2025-07-14,15:33:24:787,05687,----,
2025-07-14,15:33:24:890,05687,----,
2025-07-14,15:33:25:006,05687,----,
2025-07-14,15:33:25:110,05687,----,
2025-07-14,15:33:25:223,05687,----,
2025-07-14,15:33:25:326,05687,----,
2025-07-14,15:33:25:441,05687,----,
2025-07-14,15:33:25:546,05688,----,
2025-07-14,15:33:25:658,05686,----,
2025-07-14,15:33:25:774,05686,----,
2025-07-14,15:33:25:875,05680,----,
2025-07-14,15:33:25:990,05672,----,
2025-07-14,15:33:26:094,05602,----,
2025-07-14,15:33:26:208,05602,----,
2025-07-14,15:33:26:313,05602,----,
2025-07-14,15:33:26:428,05596,----,
2025-07-14,15:33:26:541,05582,----,
2025-07-14,15:33:26:643,04705,----,
2025-07-14,15:33:26:754,04701,----,
2025-07-14,15:33:26:867,04701,----,
2025-07-14,15:33:26:969,04685,----,
2025-07-14,15:33:27:082,04127,----,
2025-07-14,15:33:27:186,04123,----,
2025-07-14,15:33:27:299,04123,----,
2025-07-14,15:33:27:412,04118,----,
2025-07-14,15:33:27:524,04080,----,
2025-07-14,15:33:27:625,04080,----,
2025-07-14,15:33:27:736,04079,----,
2025-07-14,15:33:27:848,04079,----,
2025-07-14,15:33:27:959,04079,----,
2025-07-14,15:33:28:061,04079,----,
2025-07-14,15:33:28:175,04079,----,
2025-07-14,15:33:28:284,04079,----,
2025-07-14,15:33:28:396,04080,----,
2025-07-14,15:33:28:510,04082,----,
2025-07-14,15:33:28:609,04083,----,
2025-07-14,15:33:28:721,04085,----,
2025-07-14,15:33:28:833,04085,----,
2025-07-14,15:33:28:945,04087,----,
2025-07-14,15:33:29:046,04113,----,
2025-07-14,15:33:29:157,04113,----,
2025-07-14,15:33:29:268,04113,----,
2025-07-14,15:33:29:380,04114,----,
2025-07-14,15:33:29:491,04114,----,
2025-07-14,15:33:29:601,04115,----,
2025-07-14,15:33:29:703,04103,----,
2025-07-14,15:33:29:815,04103,----,
2025-07-14,15:33:29:927,03859,----,
2025-07-14,15:33:30:039,01205,----,
2025-07-14,15:33:30:141,01189,----,
2025-07-14,15:33:30:251,01169,----,
2025-07-14,15:33:30:364,01169,----,
2025-07-14,15:33:30:475,01018,----,
2025-07-14,15:33:30:586,01024,----,
2025-07-14,15:33:30:686,01032,----,
2025-07-14,15:33:30:797,01032,----,
2025-07-14,15:33:30:907,01012,----,
2025-07-14,15:33:31:019,01007,----,
2025-07-14,15:33:31:132,01002,----,
2025-07-14,15:33:31:233,01001,----,
2025-07-14,15:33:31:345,01001,----,
2025-07-14,15:33:31:458,01005,----,
2025-07-14,15:33:31:564,01010,----,
2025-07-14,15:33:31:675,01054,----,
2025-07-14,15:33:31:786,01104,----,
2025-07-14,15:33:31:898,01104,----,
2025-07-14,15:33:31:999,01191,----,
2025-07-14,15:33:32:110,02159,----,
2025-07-14,15:33:32:223,02175,----,
2025-07-14,15:33:32:334,02175,----,
2025-07-14,15:33:32:436,02204,----,
2025-07-14,15:33:32:547,02548,----,
2025-07-14,15:33:32:659,02556,----,
2025-07-14,15:33:32:770,02571,----,
2025-07-14,15:33:32:882,02571,----,
2025-07-14,15:33:32:984,02759,----,
2025-07-14,15:33:33:096,02765,----,
2025-07-14,15:33:33:208,02774,----,
2025-07-14,15:33:33:319,02774,----,
2025-07-14,15:33:33:420,02900,----,
2025-07-14,15:33:33:532,02903,----,
2025-07-14,15:33:33:649,02807,----,
2025-07-14,15:33:33:759,01380,----,
2025-07-14,15:33:33:862,01380,----,
2025-07-14,15:33:33:976,01366,----,
2025-07-14,15:33:34:080,01347,----,
2025-07-14,15:33:34:193,01184,----,
2025-07-14,15:33:34:305,01187,----,
2025-07-14,15:33:34:408,01187,----,
2025-07-14,15:33:34:521,01183,----,
2025-07-14,15:33:34:632,01070,----,
2025-07-14,15:33:34:736,01068,----,
2025-07-14,15:33:34:853,01068,----,
2025-07-14,15:33:34:957,01070,----,
2025-07-14,15:33:35:069,01129,----,
2025-07-14,15:33:35:181,01128,----,
2025-07-14,15:33:35:282,01125,----,
2025-07-14,15:33:35:396,01125,----,
2025-07-14,15:33:35:500,01124,----,
2025-07-14,15:33:35:615,01166,----,
2025-07-14,15:33:35:717,01241,----,
2025-07-14,15:33:35:826,01241,----,
2025-07-14,15:33:35:946,02090,----,
2025-07-14,15:33:36:048,02105,----,
2025-07-14,15:33:36:162,02132,----,
2025-07-14,15:33:36:275,02456,----,
2025-07-14,15:33:36:378,02456,----,
2025-07-14,15:33:36:491,02464,----,
2025-07-14,15:33:36:600,02479,----,
2025-07-14,15:33:36:707,02663,----,
2025-07-14,15:33:36:812,02668,----,
2025-07-14,15:33:36:925,02668,----,
2025-07-14,15:33:37:040,02678,----,
2025-07-14,15:33:37:139,02802,----,
2025-07-14,15:33:37:255,02806,----,
2025-07-14,15:33:37:367,02806,----,
