DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:49:49:195,06624,----,
2025-06-24,21:49:49:298,06650,----,
2025-06-24,21:49:49:413,06654,----,
2025-06-24,21:49:49:525,06681,----,
2025-06-24,21:49:49:626,06677,----,
2025-06-24,21:49:49:741,06631,----,
2025-06-24,21:49:49:853,06578,----,
2025-06-24,21:49:49:955,06465,----,
2025-06-24,21:49:50:067,05823,----,
2025-06-24,21:49:50:175,04914,----,
2025-06-24,21:49:50:288,04586,----,
2025-06-24,21:49:50:393,04447,----,
2025-06-24,21:49:50:506,04460,----,
2025-06-24,21:49:50:616,02047,----,
2025-06-24,21:49:50:720,01719,----,
2025-06-24,21:49:50:833,01606,----,
2025-06-24,21:49:50:944,01561,----,
2025-06-24,21:49:51:057,01555,----,
2025-06-24,21:49:51:158,01572,----,
2025-06-24,21:49:51:270,01584,----,
2025-06-24,21:49:51:382,01568,----,
2025-06-24,21:49:51:494,01520,----,
2025-06-24,21:49:51:594,01493,----,
2025-06-24,21:49:51:708,01477,----,
2025-06-24,21:49:51:821,01455,----,
2025-06-24,21:49:51:928,01453,----,
2025-06-24,21:49:52:039,01462,----,
2025-06-24,21:49:52:141,01475,----,
2025-06-24,21:49:52:251,01595,----,
2025-06-24,21:49:52:362,02629,----,
2025-06-24,21:49:52:473,03515,----,
2025-06-24,21:49:52:583,03886,----,
2025-06-24,21:49:52:697,04123,----,
2025-06-24,21:49:52:801,04361,----,
2025-06-24,21:49:52:909,04510,----,
2025-06-24,21:49:53:024,04578,----,
2025-06-24,21:49:53:136,04225,----,
2025-06-24,21:49:53:244,04068,----,
2025-06-24,21:49:53:348,03800,----,
2025-06-24,21:49:53:458,02024,----,
2025-06-24,21:49:53:566,01732,----,
2025-06-24,21:49:53:680,01643,----,
2025-06-24,21:49:53:790,01630,----,
2025-06-24,21:49:53:893,01624,----,
2025-06-24,21:49:54:007,01616,----,
2025-06-24,21:49:54:119,01559,----,
2025-06-24,21:49:54:224,01518,----,
2025-06-24,21:49:54:340,01491,----,
2025-06-24,21:49:54:443,01461,----,
2025-06-24,21:49:54:556,01456,----,
2025-06-24,21:49:54:657,01468,----,
2025-06-24,21:49:54:770,01479,----,
2025-06-24,21:49:54:886,01879,----,
2025-06-24,21:49:54:988,03162,----,
2025-06-24,21:49:55:100,03620,----,
2025-06-24,21:49:55:212,03946,----,
2025-06-24,21:49:55:313,04185,----,
2025-06-24,21:49:55:425,04358,----,
2025-06-24,21:49:55:539,04548,----,
2025-06-24,21:49:55:641,04702,----,
2025-06-24,21:49:55:759,04824,----,
2025-06-24,21:49:55:866,04690,----,
2025-06-24,21:49:55:971,04009,----,
2025-06-24,21:49:56:083,03866,----,
2025-06-24,21:49:56:195,02335,----,
2025-06-24,21:49:56:304,01736,----,
2025-06-24,21:49:56:408,01630,----,
2025-06-24,21:49:56:521,01604,----,
2025-06-24,21:49:56:633,01605,----,
2025-06-24,21:49:56:734,01612,----,
2025-06-24,21:49:56:847,01613,----,
2025-06-24,21:49:56:959,01564,----,
2025-06-24,21:49:57:071,01517,----,
2025-06-24,21:49:57:172,01498,----,
2025-06-24,21:49:57:285,01477,----,
2025-06-24,21:49:57:398,01464,----,
2025-06-24,21:49:57:511,01471,----,
2025-06-24,21:49:57:610,01484,----,
2025-06-24,21:49:57:721,01554,----,
2025-06-24,21:49:57:837,02587,----,
2025-06-24,21:49:57:937,03469,----,
2025-06-24,21:49:58:050,03759,----,
2025-06-24,21:49:58:167,04035,----,
2025-06-24,21:49:58:271,04263,----,
2025-06-24,21:49:58:381,04434,----,
2025-06-24,21:49:58:485,04613,----,
2025-06-24,21:49:58:599,04761,----,
2025-06-24,21:49:58:712,04907,----,
2025-06-24,21:49:58:814,04993,----,
2025-06-24,21:49:58:926,04933,----,
2025-06-24,21:49:59:048,04093,----,
2025-06-24,21:49:59:152,03594,----,
2025-06-24,21:49:59:255,02062,----,
2025-06-24,21:49:59:371,01816,----,
2025-06-24,21:49:59:470,01655,----,
2025-06-24,21:49:59:582,01649,----,
2025-06-24,21:49:59:695,01637,----,
2025-06-24,21:49:59:807,01580,----,
2025-06-24,21:49:59:920,01540,----,
2025-06-24,21:50:00:021,01500,----,
2025-06-24,21:50:00:131,01488,----,
2025-06-24,21:50:00:243,01469,----,
2025-06-24,21:50:00:345,01459,----,
2025-06-24,21:50:00:456,01469,----,
2025-06-24,21:50:00:568,01480,----,
2025-06-24,21:50:00:679,01492,----,
2025-06-24,21:50:00:791,01931,----,
2025-06-24,21:50:00:893,03073,----,
2025-06-24,21:50:01:004,03545,----,
2025-06-24,21:50:01:118,03867,----,
2025-06-24,21:50:01:220,04073,----,
2025-06-24,21:50:01:331,04244,----,
2025-06-24,21:50:01:441,04411,----,
2025-06-24,21:50:01:554,04552,----,
2025-06-24,21:50:01:656,04690,----,
2025-06-24,21:50:01:769,04594,----,
2025-06-24,21:50:01:880,04092,----,
2025-06-24,21:50:01:984,03891,----,
2025-06-24,21:50:02:096,03696,----,
2025-06-24,21:50:02:206,01972,----,
2025-06-24,21:50:02:319,01789,----,
2025-06-24,21:50:02:431,01689,----,
2025-06-24,21:50:02:540,01618,----,
2025-06-24,21:50:02:641,01604,----,
2025-06-24,21:50:02:751,01610,----,
