DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-10,21:05:50:195,01011,----,
2025-07-10,21:05:50:297,01011,----,
2025-07-10,21:05:50:412,01017,----,
2025-07-10,21:05:50:515,01081,----,
2025-07-10,21:05:50:628,01081,----,
2025-07-10,21:05:50:743,01083,----,
2025-07-10,21:05:50:846,01083,----,
2025-07-10,21:05:50:961,01085,----,
2025-07-10,21:05:51:065,01100,----,
2025-07-10,21:05:51:171,01100,----,
2025-07-10,21:05:51:291,01100,----,
2025-07-10,21:05:51:393,01099,----,
2025-07-10,21:05:51:503,01097,----,
2025-07-10,21:05:51:615,01083,----,
2025-07-10,21:05:51:726,01084,----,
2025-07-10,21:05:51:830,01084,----,
2025-07-10,21:05:51:943,01085,----,
2025-07-10,21:05:52:047,01087,----,
2025-07-10,21:05:52:161,01092,----,
2025-07-10,21:05:52:274,01128,----,
2025-07-10,21:05:52:377,01128,----,
2025-07-10,21:05:52:492,01123,----,
2025-07-10,21:05:52:595,01117,----,
2025-07-10,21:05:52:703,01033,----,
2025-07-10,21:05:52:813,01033,----,
2025-07-10,21:05:52:925,01022,----,
2025-07-10,21:05:53:039,01015,----,
2025-07-10,21:05:53:143,01014,----,
2025-07-10,21:05:53:255,01015,----,
2025-07-10,21:05:53:359,01015,----,
2025-07-10,21:05:53:472,01017,----,
2025-07-10,21:05:53:586,01073,----,
2025-07-10,21:05:53:690,01075,----,
2025-07-10,21:05:53:803,01075,----,
2025-07-10,21:05:53:905,01078,----,
2025-07-10,21:05:54:018,01049,----,
2025-07-10,21:05:54:132,01051,----,
2025-07-10,21:05:54:234,01045,----,
2025-07-10,21:05:54:349,01045,----,
2025-07-10,21:05:54:454,01045,----,
2025-07-10,21:05:54:566,01049,----,
2025-07-10,21:05:54:681,01056,----,
2025-07-10,21:05:54:784,01140,----,
2025-07-10,21:05:54:897,01140,----,
2025-07-10,21:05:55:004,01142,----,
2025-07-10,21:05:55:113,01144,----,
2025-07-10,21:05:55:224,01169,----,
2025-07-10,21:05:55:336,01169,----,
2025-07-10,21:05:55:441,01170,----,
2025-07-10,21:05:55:547,01170,----,
2025-07-10,21:05:55:661,01171,----,
2025-07-10,21:05:55:766,01173,----,
2025-07-10,21:05:55:888,01173,----,
2025-07-10,21:05:55:984,01176,----,
2025-07-10,21:05:56:095,01189,----,
2025-07-10,21:05:56:203,01189,----,
2025-07-10,21:05:56:312,01189,----,
2025-07-10,21:05:56:421,01191,----,
2025-07-10,21:05:56:536,01194,----,
2025-07-10,21:05:56:646,01219,----,
2025-07-10,21:05:56:754,01219,----,
2025-07-10,21:05:56:860,01219,----,
