DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-06,10:26:12:115,02559,----,
2025-07-06,10:26:12:219,02582,----,
2025-07-06,10:26:12:332,02585,----,
2025-07-06,10:26:12:444,02542,----,
2025-07-06,10:26:12:547,02522,----,
2025-07-06,10:26:12:660,02591,----,
2025-07-06,10:26:12:767,02603,----,
2025-07-06,10:26:12:878,02572,----,
2025-07-06,10:26:12:991,02525,----,
2025-07-06,10:26:13:100,02549,----,
2025-07-06,10:26:13:203,02596,----,
2025-07-06,10:26:13:316,02608,----,
2025-07-06,10:26:13:430,02566,----,
2025-07-06,10:26:13:532,02536,----,
2025-07-06,10:26:13:646,02575,----,
2025-07-06,10:26:13:759,02628,----,
2025-07-06,10:26:13:861,02585,----,
2025-07-06,10:26:13:974,02474,----,
2025-07-06,10:26:14:087,02550,----,
2025-07-06,10:26:14:189,02413,----,
2025-07-06,10:26:14:311,01939,----,
2025-07-06,10:26:14:428,01959,----,
2025-07-06,10:26:14:544,01983,----,
2025-07-06,10:26:14:653,01968,----,
2025-07-06,10:26:14:754,01908,----,
2025-07-06,10:26:14:862,01989,----,
2025-07-06,10:26:14:977,02017,----,
2025-07-06,10:26:15:080,02021,----,
2025-07-06,10:26:15:197,02045,----,
2025-07-06,10:26:15:305,02070,----,
2025-07-06,10:26:15:406,02077,----,
2025-07-06,10:26:15:522,01882,----,
2025-07-06,10:26:15:629,01814,----,
2025-07-06,10:26:15:737,01768,----,
2025-07-06,10:26:15:848,01600,----,
2025-07-06,10:26:15:956,01595,----,
2025-07-06,10:26:16:070,01577,----,
2025-07-06,10:26:16:171,01293,----,
2025-07-06,10:26:16:287,01202,----,
2025-07-06,10:26:16:398,01205,----,
2025-07-06,10:26:16:502,01171,----,
2025-07-06,10:26:16:612,01129,----,
2025-07-06,10:26:16:719,01096,----,
2025-07-06,10:26:16:835,01077,----,
2025-07-06,10:26:16:938,01018,----,
2025-07-06,10:26:17:051,00962,----,
2025-07-06,10:26:17:157,00948,----,
2025-07-06,10:26:17:271,00959,----,
2025-07-06,10:26:17:380,00974,----,
2025-07-06,10:26:17:487,00993,----,
2025-07-06,10:26:17:609,00999,----,
2025-07-06,10:26:17:703,01286,----,
2025-07-06,10:26:17:825,01490,----,
2025-07-06,10:26:17:935,01620,----,
2025-07-06,10:26:18:042,01662,----,
2025-07-06,10:26:18:156,01638,----,
2025-07-06,10:26:18:255,01652,----,
2025-07-06,10:26:18:371,01691,----,
2025-07-06,10:26:18:479,01720,----,
2025-07-06,10:26:18:586,01714,----,
2025-07-06,10:26:18:694,01695,----,
2025-07-06,10:26:18:804,01712,----,
2025-07-06,10:26:18:917,01712,----,
2025-07-06,10:26:19:018,01621,----,
2025-07-06,10:26:19:128,01537,----,
2025-07-06,10:26:19:245,01479,----,
2025-07-06,10:26:19:351,01491,----,
2025-07-06,10:26:19:459,01504,----,
2025-07-06,10:26:19:567,01253,----,
2025-07-06,10:26:19:676,01169,----,
2025-07-06,10:26:19:783,01163,----,
2025-07-06,10:26:19:905,01166,----,
2025-07-06,10:26:20:015,01159,----,
2025-07-06,10:26:20:126,01127,----,
2025-07-06,10:26:20:237,01064,----,
2025-07-06,10:26:20:349,00997,----,
2025-07-06,10:26:20:462,00977,----,
2025-07-06,10:26:20:572,00971,----,
2025-07-06,10:26:20:681,00978,----,
2025-07-06,10:26:20:789,00974,----,
2025-07-06,10:26:20:898,00989,----,
2025-07-06,10:26:21:006,01007,----,
2025-07-06,10:26:21:115,01083,----,
2025-07-06,10:26:21:219,01372,----,
2025-07-06,10:26:21:343,01478,----,
2025-07-06,10:26:21:440,01523,----,
2025-07-06,10:26:21:550,01578,----,
2025-07-06,10:26:21:659,01610,----,
2025-07-06,10:26:21:767,01589,----,
2025-07-06,10:26:21:889,01574,----,
2025-07-06,10:26:21:991,01589,----,
2025-07-06,10:26:22:100,01641,----,
2025-07-06,10:26:22:209,01653,----,
2025-07-06,10:26:22:318,01637,----,
2025-07-06,10:26:22:430,01607,----,
2025-07-06,10:26:22:539,01624,----,
2025-07-06,10:26:22:648,01649,----,
2025-07-06,10:26:22:752,01592,----,
2025-07-06,10:26:22:874,01514,----,
2025-07-06,10:26:22:984,01474,----,
2025-07-06,10:26:23:093,01454,----,
2025-07-06,10:26:23:200,01447,----,
2025-07-06,10:26:23:309,01227,----,
2025-07-06,10:26:23:417,01162,----,
2025-07-06,10:26:23:527,01141,----,
2025-07-06,10:26:23:636,01133,----,
2025-07-06,10:26:23:745,01123,----,
2025-07-06,10:26:23:846,01082,----,
2025-07-06,10:26:23:963,01014,----,
2025-07-06,10:26:24:071,00978,----,
2025-07-06,10:26:24:177,00973,----,
2025-07-06,10:26:24:287,00984,----,
2025-07-06,10:26:24:396,00988,----,
2025-07-06,10:26:24:506,00986,----,
2025-07-06,10:26:24:617,01272,----,
2025-07-06,10:26:24:726,01498,----,
2025-07-06,10:26:24:835,01606,----,
2025-07-06,10:26:24:940,01622,----,
2025-07-06,10:26:25:049,01608,----,
2025-07-06,10:26:25:160,01642,----,
2025-07-06,10:26:25:270,01705,----,
2025-07-06,10:26:25:378,01718,----,
2025-07-06,10:26:25:487,01683,----,
2025-07-06,10:26:25:595,01681,----,
2025-07-06,10:26:25:708,01702,----,
