Ê±¼ä,µç×è
2025-07-07 00:03:19,333.61
2025-07-07 00:03:20,900.04
2025-07-07 00:03:21,670.27
2025-07-07 00:03:22,747.21
2025-07-07 00:03:23,856.77
2025-07-07 00:03:24,561.63
2025-07-07 00:03:25,570.51
2025-07-07 00:03:26,168.93
2025-07-07 00:03:27,479.08
2025-07-07 00:03:28,625.24
2025-07-07 00:03:29,615.12
2025-07-07 00:03:30,327.91
2025-07-07 00:03:31,828.08
2025-07-07 00:03:32,457.61
2025-07-07 00:03:33,128.23
2025-07-07 00:03:34,129.52
2025-07-07 00:03:35,931.1
2025-07-07 00:03:36,312.7
2025-07-07 00:03:37,515.18
2025-07-07 00:03:38,528.01
2025-07-07 00:03:39,625.58
2025-07-07 00:03:40,564.74
2025-07-07 00:03:41,661.77
2025-07-07 00:03:42,533.89
2025-07-07 00:03:43,745.05
2025-07-07 00:03:44,614.68
2025-07-07 00:03:45,598.0
2025-07-07 00:03:46,589.26
2025-07-07 00:03:47,619.18
2025-07-07 00:03:48,504.94
2025-07-07 00:03:49,693.53
2025-07-07 00:03:50,203.0
2025-07-07 00:03:51,256.94
2025-07-07 00:03:52,771.94
2025-07-07 00:03:53,813.61
2025-07-07 00:03:54,436.88
2025-07-07 00:03:55,313.38
2025-07-07 00:03:56,201.47
2025-07-07 00:03:57,802.12
2025-07-07 00:03:58,800.17
2025-07-07 00:03:59,281.91
2025-07-07 00:04:00,528.64
2025-07-07 00:04:01,225.11
2025-07-07 00:04:02,221.96
2025-07-07 00:04:03,498.54
2025-07-07 00:04:04,326.21
2025-07-07 00:04:05,134.17
2025-07-07 00:04:06,575.47
2025-07-07 00:04:07,381.06
2025-07-07 00:04:08,476.41
2025-07-07 00:04:09,282.06
2025-07-07 00:04:10,436.1
2025-07-07 00:04:11,803.54
2025-07-07 00:04:12,577.61
2025-07-07 00:04:13,806.23
2025-07-07 00:04:14,965.13
2025-07-07 00:04:15,161.07
2025-07-07 00:04:16,229.76
2025-07-07 00:04:17,852.42
2025-07-07 00:04:18,745.56
2025-07-07 00:04:19,711.81
2025-07-07 00:04:20,700.39
2025-07-07 00:04:21,489.39
2025-07-07 00:04:22,499.27
2025-07-07 00:04:23,844.34
2025-07-07 00:04:24,149.58
2025-07-07 00:04:25,797.42
2025-07-07 00:04:26,459.35
2025-07-07 00:04:27,633.22
2025-07-07 00:04:28,830.06
2025-07-07 00:04:29,572.81
2025-07-07 00:04:30,617.97
2025-07-07 00:04:31,843.9
2025-07-07 00:04:32,124.82
2025-07-07 00:04:33,580.75
2025-07-07 00:04:34,160.29
2025-07-07 00:04:35,397.33
2025-07-07 00:04:36,438.89
2025-07-07 00:04:37,894.49
2025-07-07 00:04:38,746.26
2025-07-07 00:04:39,219.47
2025-07-07 00:04:40,254.97
2025-07-07 00:04:41,440.46
2025-07-07 00:04:42,588.44
2025-07-07 00:04:43,801.53
2025-07-07 00:04:44,170.71
2025-07-07 00:04:45,634.37
2025-07-07 00:04:46,837.58
2025-07-07 00:04:47,661.59
2025-07-07 00:04:48,106.6
2025-07-07 00:04:50,305.21
2025-07-07 00:04:51,368.58
2025-07-07 00:04:52,228.04
2025-07-07 00:04:53,372.01
2025-07-07 00:04:54,945.18
2025-07-07 00:04:55,503.09
2025-07-07 00:04:56,227.14
2025-07-07 00:04:57,314.47
2025-07-07 00:04:58,870.61
2025-07-07 00:04:59,298.5
2025-07-07 00:05:00,390.49
2025-07-07 00:05:01,209.12
2025-07-07 00:05:02,321.25
2025-07-07 00:05:03,620.3
2025-07-07 00:05:04,761.01
2025-07-07 00:05:05,858.62
2025-07-07 00:05:06,893.63
2025-07-07 00:05:07,932.95
2025-07-07 00:05:08,300.7
2025-07-07 00:05:09,898.98
2025-07-07 00:05:10,670.1
2025-07-07 00:05:11,114.61
2025-07-07 00:05:12,667.41
2025-07-07 00:05:13,401.43
2025-07-07 00:05:14,564.02
2025-07-07 00:05:15,167.02
2025-07-07 00:05:16,879.71
2025-07-07 00:05:17,271.11
2025-07-07 00:05:18,603.02
2025-07-07 00:05:19,577.87
2025-07-07 00:05:20,975.15
2025-07-07 00:05:21,508.54
2025-07-07 00:05:22,135.55
2025-07-07 00:05:23,914.73
2025-07-07 00:05:24,504.92
2025-07-07 00:05:25,632.61
2025-07-07 00:05:26,435.87
2025-07-07 00:05:27,828.95
2025-07-07 00:05:28,542.29
2025-07-07 00:05:29,523.55
2025-07-07 00:05:30,962.17
2025-07-07 00:05:31,639.28
2025-07-07 00:05:32,394.43
2025-07-07 00:05:33,552.92
2025-07-07 00:05:34,966.43
2025-07-07 00:05:35,196.68
2025-07-07 00:05:36,232.08
2025-07-07 00:05:37,238.1
2025-07-07 00:05:38,630.85
2025-07-07 00:05:39,282.68
2025-07-07 00:05:40,596.53
2025-07-07 00:05:41,670.4
2025-07-07 00:05:42,792.73
2025-07-07 00:05:43,845.63
2025-07-07 00:05:44,312.24
2025-07-07 00:05:45,657.22
2025-07-07 00:05:46,258.03
2025-07-07 00:05:47,507.45
2025-07-07 00:05:48,502.89
2025-07-07 00:05:49,311.79
2025-07-07 00:05:50,268.33
2025-07-07 00:05:51,924.1
2025-07-07 00:05:52,101.12
2025-07-07 00:05:53,220.91
2025-07-07 00:05:54,123.35
2025-07-07 00:05:55,568.85
2025-07-07 00:05:56,628.89
2025-07-07 00:05:57,382.42
2025-07-07 00:05:58,945.77
2025-07-07 00:05:59,687.09
2025-07-07 00:06:00,923.4
2025-07-07 00:06:01,609.78
2025-07-07 00:06:02,597.37
2025-07-07 00:06:03,832.9
2025-07-07 00:06:04,665.35
2025-07-07 00:06:05,876.4
2025-07-07 00:06:06,959.01
2025-07-07 00:06:07,774.16
2025-07-07 00:06:08,833.11
2025-07-07 00:06:09,650.77
2025-07-07 00:06:10,820.04
2025-07-07 00:06:11,832.75
2025-07-07 00:06:12,953.77
2025-07-07 00:06:13,863.78
2025-07-07 00:06:14,919.67
2025-07-07 00:06:15,346.02
2025-07-07 00:06:16,242.21
2025-07-07 00:06:18,761.39
2025-07-07 00:06:19,751.83
2025-07-07 00:06:20,840.21
2025-07-07 00:06:21,534.94
2025-07-07 00:06:22,116.78
2025-07-07 00:06:23,921.3
2025-07-07 00:06:24,673.08
2025-07-07 00:06:25,160.57
2025-07-07 00:06:26,795.64
2025-07-07 00:06:27,722.25
2025-07-07 00:06:28,140.74
2025-07-07 00:06:29,844.27
2025-07-07 00:06:30,997.72
2025-07-07 00:06:31,573.65
2025-07-07 00:06:32,489.65
2025-07-07 00:06:33,546.56
2025-07-07 00:06:34,482.42
2025-07-07 00:06:35,119.37
2025-07-07 00:06:36,899.79
2025-07-07 00:06:37,849.97
2025-07-07 00:06:38,956.21
2025-07-07 00:06:39,181.62
2025-07-07 00:06:40,606.91
2025-07-07 00:06:41,786.65
2025-07-07 00:06:42,388.57
2025-07-07 00:06:43,548.55
2025-07-07 00:06:44,453.82
2025-07-07 00:06:45,349.61
2025-07-07 00:06:46,151.43
2025-07-07 00:06:47,648.69
2025-07-07 00:06:48,522.06
2025-07-07 00:06:49,901.24
2025-07-07 00:06:50,743.38
2025-07-07 00:06:51,451.88
2025-07-07 00:06:52,188.7
2025-07-07 00:06:53,228.83
2025-07-07 00:06:54,961.94
2025-07-07 00:06:55,338.35
2025-07-07 00:06:56,965.29
2025-07-07 00:06:57,781.51
2025-07-07 00:06:58,394.78
2025-07-07 00:06:59,610.9
2025-07-07 00:07:00,671.47
2025-07-07 00:07:01,732.18
2025-07-07 00:07:02,964.22
2025-07-07 00:07:03,309.36
2025-07-07 00:07:04,404.34
2025-07-07 00:07:05,341.3
2025-07-07 00:07:06,861.02
2025-07-07 00:07:07,734.44
2025-07-07 00:07:08,483.8
2025-07-07 00:07:09,575.89
2025-07-07 00:07:10,278.79
2025-07-07 00:07:11,528.2
2025-07-07 00:07:12,754.11
2025-07-07 00:07:13,619.28
2025-07-07 00:07:14,582.03
2025-07-07 00:07:15,264.96
2025-07-07 00:07:16,408.06
2025-07-07 00:07:17,600.82
2025-07-07 00:07:18,431.48
2025-07-07 00:07:19,556.14
2025-07-07 00:07:20,251.71
2025-07-07 00:07:21,603.32
2025-07-07 00:07:22,190.89
2025-07-07 00:07:23,425.57
2025-07-07 00:07:24,290.1
2025-07-07 00:07:25,965.54
2025-07-07 00:07:26,425.01
2025-07-07 00:07:27,732.91
2025-07-07 00:07:28,431.73
2025-07-07 00:07:29,399.99
2025-07-07 00:07:30,814.25
2025-07-07 00:07:31,773.82
2025-07-07 00:07:32,739.54
2025-07-07 00:07:33,824.78
2025-07-07 00:07:34,104.53
2025-07-07 00:07:35,711.36
2025-07-07 00:07:36,864.19
2025-07-07 00:07:37,455.85
2025-07-07 00:07:38,625.44
2025-07-07 00:07:39,792.77
2025-07-07 00:07:40,270.62
2025-07-07 00:07:41,841.25
2025-07-07 00:07:42,869.12
2025-07-07 00:07:43,337.5
