DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-10,19:03:58:628,00241,----,
2025-07-10,19:03:58:741,00240,----,
2025-07-10,19:03:58:843,00239,----,
2025-07-10,19:03:58:957,00239,----,
2025-07-10,19:03:59:070,00239,----,
2025-07-10,19:03:59:174,00238,----,
2025-07-10,19:03:59:284,00237,----,
2025-07-10,19:03:59:398,00237,----,
2025-07-10,19:03:59:500,00237,----,
2025-07-10,19:03:59:613,00236,----,
2025-07-10,19:03:59:727,00236,----,
2025-07-10,19:03:59:827,00235,----,
2025-07-10,19:03:59:943,00235,----,
2025-07-10,19:04:00:054,00235,----,
2025-07-10,19:04:00:155,00234,----,
2025-07-10,19:04:00:268,00233,----,
2025-07-10,19:04:00:374,00249,----,
2025-07-10,19:04:00:492,00249,----,
2025-07-10,19:04:00:595,00284,----,
2025-07-10,19:04:00:708,00570,----,
2025-07-10,19:04:00:821,00567,----,
2025-07-10,19:04:00:923,00562,----,
2025-07-10,19:04:01:035,00562,----,
2025-07-10,19:04:01:149,00504,----,
2025-07-10,19:04:01:253,00504,----,
2025-07-10,19:04:01:365,00504,----,
2025-07-10,19:04:01:479,00501,----,
2025-07-10,19:04:01:577,00501,----,
2025-07-10,19:04:01:697,00497,----,
2025-07-10,19:04:01:797,00453,----,
2025-07-10,19:04:01:912,00453,----,
2025-07-10,19:04:02:017,00453,----,
2025-07-10,19:04:02:127,00454,----,
2025-07-10,19:04:02:241,00457,----,
2025-07-10,19:04:02:344,00458,----,
2025-07-10,19:04:02:456,00454,----,
2025-07-10,19:04:02:573,00454,----,
2025-07-10,19:04:02:673,00445,----,
2025-07-10,19:04:02:784,00445,----,
2025-07-10,19:04:02:896,00441,----,
2025-07-10,19:04:03:001,00441,----,
2025-07-10,19:04:03:115,00437,----,
2025-07-10,19:04:03:226,00399,----,
2025-07-10,19:04:03:328,00401,----,
2025-07-10,19:04:03:441,00406,----,
2025-07-10,19:04:03:554,00406,----,
2025-07-10,19:04:03:658,00468,----,
2025-07-10,19:04:03:769,00467,----,
2025-07-10,19:04:03:882,00466,----,
2025-07-10,19:04:03:988,00462,----,
2025-07-10,19:04:04:098,00462,----,
2025-07-10,19:04:04:211,00414,----,
2025-07-10,19:04:04:312,00411,----,
2025-07-10,19:04:04:424,00407,----,
2025-07-10,19:04:04:538,00407,----,
2025-07-10,19:04:04:642,00373,----,
2025-07-10,19:04:04:754,00376,----,
2025-07-10,19:04:04:868,00381,----,
2025-07-10,19:04:04:974,00451,----,
2025-07-10,19:04:05:078,00451,----,
2025-07-10,19:04:05:196,00451,----,
2025-07-10,19:04:05:298,00451,----,
2025-07-10,19:04:05:412,00447,----,
2025-07-10,19:04:05:523,00447,----,
2025-07-10,19:04:05:626,00441,----,
2025-07-10,19:04:05:739,00387,----,
2025-07-10,19:04:05:853,00390,----,
2025-07-10,19:04:05:955,00393,----,
2025-07-10,19:04:06:068,00393,----,
2025-07-10,19:04:06:180,00413,----,
2025-07-10,19:04:06:284,00413,----,
2025-07-10,19:04:06:397,00412,----,
2025-07-10,19:04:06:502,00410,----,
2025-07-10,19:04:06:613,00410,----,
2025-07-10,19:04:06:727,00407,----,
2025-07-10,19:04:06:832,00384,----,
2025-07-10,19:04:06:942,00385,----,
2025-07-10,19:04:07:054,00385,----,
2025-07-10,19:04:07:159,00392,----,
2025-07-10,19:04:07:272,00393,----,
2025-07-10,19:04:07:375,00392,----,
2025-07-10,19:04:07:487,00389,----,
2025-07-10,19:04:07:599,00389,----,
2025-07-10,19:04:07:703,00336,----,
2025-07-10,19:04:07:817,00336,----,
2025-07-10,19:04:07:933,00342,----,
2025-07-10,19:04:08:032,00350,----,
2025-07-10,19:04:08:145,00350,----,
2025-07-10,19:04:08:255,00407,----,
2025-07-10,19:04:08:361,00406,----,
2025-07-10,19:04:08:473,00405,----,
2025-07-10,19:04:08:580,00405,----,
2025-07-10,19:04:08:689,00404,----,
2025-07-10,19:04:08:799,00402,----,
2025-07-10,19:04:08:913,00392,----,
2025-07-10,19:04:09:018,00392,----,
2025-07-10,19:04:09:130,00392,----,
2025-07-10,19:04:09:234,00389,----,
2025-07-10,19:04:09:345,00384,----,
2025-07-10,19:04:09:458,00370,----,
2025-07-10,19:04:09:563,00370,----,
2025-07-10,19:04:09:673,00370,----,
2025-07-10,19:04:09:786,00370,----,
2025-07-10,19:04:09:898,00370,----,
2025-07-10,19:04:10:003,00370,----,
2025-07-10,19:04:10:114,00370,----,
2025-07-10,19:04:10:227,00369,----,
2025-07-10,19:04:10:330,00369,----,
2025-07-10,19:04:10:443,00370,----,
2025-07-10,19:04:10:556,00370,----,
2025-07-10,19:04:10:658,00370,----,
2025-07-10,19:04:10:771,00370,----,
2025-07-10,19:04:10:876,00368,----,
2025-07-10,19:04:10:990,00366,----,
2025-07-10,19:04:11:098,00366,----,
2025-07-10,19:04:11:211,00365,----,
2025-07-10,19:04:11:314,00366,----,
2025-07-10,19:04:11:426,00368,----,
2025-07-10,19:04:11:538,00414,----,
2025-07-10,19:04:11:642,00414,----,
2025-07-10,19:04:11:754,00416,----,
2025-07-10,19:04:11:868,00411,----,
2025-07-10,19:04:11:972,00327,----,
2025-07-10,19:04:12:078,00327,----,
2025-07-10,19:04:12:190,00324,----,
