DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:30:00:892,06649,----,
2025-06-24,21:30:01:003,06658,----,
2025-06-24,21:30:01:111,06685,----,
2025-06-24,21:30:01:230,06690,----,
2025-06-24,21:30:01:331,06702,----,
2025-06-24,21:30:01:439,06725,----,
2025-06-24,21:30:01:557,06752,----,
2025-06-24,21:30:01:664,06754,----,
2025-06-24,21:30:01:776,06757,----,
2025-06-24,21:30:01:881,06754,----,
2025-06-24,21:30:01:988,06756,----,
2025-06-24,21:30:02:100,06764,----,
2025-06-24,21:30:02:221,06793,----,
2025-06-24,21:30:02:337,06764,----,
2025-06-24,21:30:02:442,06436,----,
2025-06-24,21:30:02:552,06361,----,
2025-06-24,21:30:02:664,06339,----,
2025-06-24,21:30:02:766,05220,----,
2025-06-24,21:30:02:880,04842,----,
2025-06-24,21:30:02:995,04689,----,
2025-06-24,21:30:03:096,03413,----,
2025-06-24,21:30:03:209,02184,----,
2025-06-24,21:30:03:313,02167,----,
2025-06-24,21:30:03:425,02122,----,
2025-06-24,21:30:03:540,02142,----,
2025-06-24,21:30:03:651,02064,----,
2025-06-24,21:30:03:756,01914,----,
2025-06-24,21:30:03:867,01897,----,
2025-06-24,21:30:03:971,01918,----,
2025-06-24,21:30:04:085,01933,----,
2025-06-24,21:30:04:187,01920,----,
2025-06-24,21:30:04:305,01887,----,
2025-06-24,21:30:04:411,01878,----,
2025-06-24,21:30:04:518,01901,----,
2025-06-24,21:30:04:629,01933,----,
2025-06-24,21:30:04:742,01947,----,
2025-06-24,21:30:04:845,01932,----,
2025-06-24,21:30:04:958,01919,----,
2025-06-24,21:30:05:073,01925,----,
2025-06-24,21:30:05:177,01934,----,
2025-06-24,21:30:05:289,01934,----,
2025-06-24,21:30:05:391,02143,----,
2025-06-24,21:30:05:504,03273,----,
2025-06-24,21:30:05:618,04149,----,
2025-06-24,21:30:05:719,04415,----,
2025-06-24,21:30:05:833,04560,----,
2025-06-24,21:30:05:946,04727,----,
2025-06-24,21:30:06:056,04859,----,
2025-06-24,21:30:06:164,04984,----,
2025-06-24,21:30:06:273,05062,----,
2025-06-24,21:30:06:382,04780,----,
2025-06-24,21:30:06:495,04496,----,
2025-06-24,21:30:06:597,04451,----,
2025-06-24,21:30:06:711,02521,----,
2025-06-24,21:30:06:815,02417,----,
2025-06-24,21:30:06:929,02316,----,
2025-06-24,21:30:07:040,02290,----,
2025-06-24,21:30:07:142,02217,----,
2025-06-24,21:30:07:255,02092,----,
2025-06-24,21:30:07:360,02084,----,
2025-06-24,21:30:07:474,01971,----,
2025-06-24,21:30:07:589,01955,----,
2025-06-24,21:30:07:689,01968,----,
2025-06-24,21:30:07:801,01968,----,
2025-06-24,21:30:07:917,01940,----,
2025-06-24,21:30:08:018,01874,----,
2025-06-24,21:30:08:131,01844,----,
2025-06-24,21:30:08:235,01858,----,
2025-06-24,21:30:08:347,01876,----,
2025-06-24,21:30:08:460,01882,----,
2025-06-24,21:30:08:574,01887,----,
2025-06-24,21:30:08:676,01886,----,
2025-06-24,21:30:08:788,01885,----,
2025-06-24,21:30:08:891,02317,----,
2025-06-24,21:30:09:006,03373,----,
2025-06-24,21:30:09:120,04051,----,
2025-06-24,21:30:09:223,04266,----,
2025-06-24,21:30:09:336,04433,----,
2025-06-24,21:30:09:441,04601,----,
2025-06-24,21:30:09:550,04701,----,
2025-06-24,21:30:09:664,04821,----,
2025-06-24,21:30:09:775,04926,----,
2025-06-24,21:30:09:878,05043,----,
2025-06-24,21:30:09:991,05081,----,
2025-06-24,21:30:10:094,05117,----,
2025-06-24,21:30:10:207,04890,----,
2025-06-24,21:30:10:319,04717,----,
2025-06-24,21:30:10:427,04547,----,
2025-06-24,21:30:10:536,04235,----,
2025-06-24,21:30:10:649,02541,----,
2025-06-24,21:30:10:763,02384,----,
2025-06-24,21:30:10:864,02285,----,
2025-06-24,21:30:10:976,02216,----,
2025-06-24,21:30:11:078,02166,----,
2025-06-24,21:30:11:197,02084,----,
2025-06-24,21:30:11:309,02061,----,
2025-06-24,21:30:11:417,01937,----,
2025-06-24,21:30:11:524,01931,----,
2025-06-24,21:30:11:632,01938,----,
2025-06-24,21:30:11:745,01930,----,
2025-06-24,21:30:11:846,01922,----,
2025-06-24,21:30:11:960,01897,----,
2025-06-24,21:30:12:064,01890,----,
2025-06-24,21:30:12:173,01906,----,
2025-06-24,21:30:12:283,01899,----,
2025-06-24,21:30:12:395,01907,----,
2025-06-24,21:30:12:509,01907,----,
2025-06-24,21:30:12:610,01905,----,
2025-06-24,21:30:12:724,02204,----,
2025-06-24,21:30:12:838,03508,----,
2025-06-24,21:30:12:940,03957,----,
2025-06-24,21:30:13:048,04230,----,
2025-06-24,21:30:13:157,04417,----,
2025-06-24,21:30:13:270,04552,----,
2025-06-24,21:30:13:384,04697,----,
2025-06-24,21:30:13:485,04800,----,
2025-06-24,21:30:13:599,04893,----,
2025-06-24,21:30:13:703,05013,----,
2025-06-24,21:30:13:818,05097,----,
2025-06-24,21:30:13:928,05200,----,
2025-06-24,21:30:14:033,05221,----,
2025-06-24,21:30:14:145,05222,----,
2025-06-24,21:30:14:257,04797,----,
2025-06-24,21:30:14:373,04484,----,
2025-06-24,21:30:14:472,02997,----,
