DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,16:55:30:877,05036,----,
2025-07-13,16:55:30:991,05036,----,
2025-07-13,16:55:31:095,05034,----,
2025-07-13,16:55:31:208,05032,----,
2025-07-13,16:55:31:313,05032,----,
2025-07-13,16:55:31:423,05035,----,
2025-07-13,16:55:31:537,05035,----,
2025-07-13,16:55:31:640,05045,----,
2025-07-13,16:55:31:753,05116,----,
2025-07-13,16:55:31:868,05119,----,
2025-07-13,16:55:31:973,05119,----,
2025-07-13,16:55:32:084,05055,----,
2025-07-13,16:55:32:195,03737,----,
2025-07-13,16:55:32:303,03665,----,
2025-07-13,16:55:32:407,03505,----,
2025-07-13,16:55:32:522,03505,----,
2025-07-13,16:55:32:624,02005,----,
2025-07-13,16:55:32:739,02001,----,
2025-07-13,16:55:32:842,01984,----,
2025-07-13,16:55:32:956,01984,----,
2025-07-13,16:55:33:071,01870,----,
2025-07-13,16:55:33:177,01874,----,
2025-07-13,16:55:33:282,01877,----,
2025-07-13,16:55:33:396,01911,----,
2025-07-13,16:55:33:503,01911,----,
2025-07-13,16:55:33:614,01914,----,
2025-07-13,16:55:33:720,01918,----,
2025-07-13,16:55:33:831,02177,----,
2025-07-13,16:55:33:944,02207,----,
2025-07-13,16:55:34:047,02207,----,
2025-07-13,16:55:34:162,02306,----,
2025-07-13,16:55:34:265,03338,----,
2025-07-13,16:55:34:381,03296,----,
2025-07-13,16:55:34:485,03296,----,
2025-07-13,16:55:34:602,03141,----,
2025-07-13,16:55:34:704,01749,----,
2025-07-13,16:55:34:819,01747,----,
2025-07-13,16:55:34:922,01745,----,
2025-07-13,16:55:35:036,01745,----,
2025-07-13,16:55:35:141,01744,----,
2025-07-13,16:55:35:255,01743,----,
2025-07-13,16:55:35:359,01743,----,
2025-07-13,16:55:35:472,01743,----,
2025-07-13,16:55:35:584,01743,----,
2025-07-13,16:55:35:687,01744,----,
2025-07-13,16:55:35:805,01744,----,
2025-07-13,16:55:35:907,01984,----,
2025-07-13,16:55:36:021,01984,----,
2025-07-13,16:55:36:125,07929,----,
2025-07-13,16:55:36:238,07781,----,
2025-07-13,16:55:36:352,07643,----,
2025-07-13,16:55:36:456,06467,----,
2025-07-13,16:55:36:570,06467,----,
2025-07-13,16:55:36:673,06445,----,
2025-07-13,16:55:36:786,06370,----,
2025-07-13,16:55:36:891,03776,----,
2025-07-13,16:55:37:005,03776,----,
2025-07-13,16:55:37:110,03678,----,
2025-07-13,16:55:37:224,03568,----,
2025-07-13,16:55:37:336,02583,----,
2025-07-13,16:55:37:439,02579,----,
2025-07-13,16:55:37:553,02579,----,
2025-07-13,16:55:37:655,02576,----,
2025-07-13,16:55:37:772,02538,----,
2025-07-13,16:55:37:875,02540,----,
2025-07-13,16:55:37:987,02540,----,
2025-07-13,16:55:38:102,02545,----,
2025-07-13,16:55:38:205,02615,----,
2025-07-13,16:55:38:321,02595,----,
2025-07-13,16:55:38:424,02615,----,
2025-07-13,16:55:38:540,02615,----,
2025-07-13,16:55:38:644,02025,----,
2025-07-13,16:55:38:755,02013,----,
2025-07-13,16:55:38:867,01996,----,
2025-07-13,16:55:38:971,01848,----,
2025-07-13,16:55:39:086,01848,----,
2025-07-13,16:55:39:187,01846,----,
2025-07-13,16:55:39:300,01844,----,
2025-07-13,16:55:39:416,01819,----,
2025-07-13,16:55:39:518,01818,----,
2025-07-13,16:55:39:631,01818,----,
2025-07-13,16:55:39:734,01818,----,
2025-07-13,16:55:39:847,01938,----,
2025-07-13,16:55:39:959,02650,----,
2025-07-13,16:55:40:070,02650,----,
2025-07-13,16:55:40:171,03456,----,
2025-07-13,16:55:40:284,03343,----,
2025-07-13,16:55:40:397,03317,----,
2025-07-13,16:55:40:499,03542,----,
2025-07-13,16:55:40:612,03542,----,
2025-07-13,16:55:40:722,03533,----,
2025-07-13,16:55:40:833,03519,----,
2025-07-13,16:55:40:945,03368,----,
2025-07-13,16:55:41:048,03368,----,
2025-07-13,16:55:41:159,03373,----,
2025-07-13,16:55:41:270,03371,----,
2025-07-13,16:55:41:382,03352,----,
2025-07-13,16:55:41:493,03347,----,
2025-07-13,16:55:41:594,03347,----,
2025-07-13,16:55:41:706,03350,----,
2025-07-13,16:55:41:816,03307,----,
2025-07-13,16:55:41:927,03311,----,
2025-07-13,16:55:42:038,03311,----,
2025-07-13,16:55:42:149,03319,----,
2025-07-13,16:55:42:251,03321,----,
2025-07-13,16:55:42:362,03315,----,
2025-07-13,16:55:42:475,03260,----,
2025-07-13,16:55:42:577,03260,----,
2025-07-13,16:55:42:688,02194,----,
2025-07-13,16:55:42:800,02162,----,
2025-07-13,16:55:42:912,02126,----,
2025-07-13,16:55:43:022,01824,----,
2025-07-13,16:55:43:124,01824,----,
2025-07-13,16:55:43:235,01824,----,
2025-07-13,16:55:43:347,01822,----,
2025-07-13,16:55:43:458,01820,----,
2025-07-13,16:55:43:568,01820,----,
2025-07-13,16:55:43:680,01799,----,
2025-07-13,16:55:43:782,01799,----,
2025-07-13,16:55:43:892,01800,----,
2025-07-13,16:55:44:003,02197,----,
2025-07-13,16:55:44:114,02197,----,
2025-07-13,16:55:44:226,02589,----,
2025-07-13,16:55:44:327,07432,----,
2025-07-13,16:55:44:437,07353,----,
