DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,23:04:28:124,03181,----,
2025-07-13,23:04:28:238,03181,----,
2025-07-13,23:04:28:351,03188,----,
2025-07-13,23:04:28:453,03264,----,
2025-07-13,23:04:28:567,03266,----,
2025-07-13,23:04:28:670,03266,----,
2025-07-13,23:04:28:783,03271,----,
2025-07-13,23:04:28:901,03321,----,
2025-07-13,23:04:28:998,03324,----,
2025-07-13,23:04:29:110,03328,----,
2025-07-13,23:04:29:222,03328,----,
2025-07-13,23:04:29:337,03365,----,
2025-07-13,23:04:29:437,03365,----,
2025-07-13,23:04:29:548,03313,----,
2025-07-13,23:04:29:660,03313,----,
2025-07-13,23:04:29:770,03223,----,
2025-07-13,23:04:29:881,02351,----,
2025-07-13,23:04:29:990,02340,----,
2025-07-13,23:04:30:102,02320,----,
2025-07-13,23:04:30:204,02320,----,
2025-07-13,23:04:30:314,02023,----,
2025-07-13,23:04:30:426,01982,----,
2025-07-13,23:04:30:537,01889,----,
2025-07-13,23:04:30:647,00979,----,
2025-07-13,23:04:30:758,00979,----,
2025-07-13,23:04:30:860,00975,----,
2025-07-13,23:04:30:972,00954,----,
2025-07-13,23:04:31:085,00679,----,
2025-07-13,23:04:31:187,00679,----,
2025-07-13,23:04:31:300,00690,----,
2025-07-13,23:04:31:412,00681,----,
2025-07-13,23:04:31:514,00562,----,
2025-07-13,23:04:31:627,00564,----,
2025-07-13,23:04:31:740,00564,----,
2025-07-13,23:04:31:843,00563,----,
2025-07-13,23:04:31:957,00533,----,
2025-07-13,23:04:32:070,00532,----,
2025-07-13,23:04:32:173,00532,----,
2025-07-13,23:04:32:286,00526,----,
2025-07-13,23:04:32:390,00519,----,
2025-07-13,23:04:32:502,02035,----,
2025-07-13,23:04:32:616,01905,----,
2025-07-13,23:04:32:719,01905,----,
2025-07-13,23:04:32:833,01789,----,
2025-07-13,23:04:32:936,00967,----,
2025-07-13,23:04:33:049,00975,----,
2025-07-13,23:04:33:166,00987,----,
2025-07-13,23:04:33:267,00987,----,
2025-07-13,23:04:33:380,01139,----,
2025-07-13,23:04:33:484,01143,----,
2025-07-13,23:04:33:596,01145,----,
2025-07-13,23:04:33:709,01145,----,
2025-07-13,23:04:33:813,01133,----,
2025-07-13,23:04:33:926,01124,----,
2025-07-13,23:04:34:031,01086,----,
2025-07-13,23:04:34:144,00689,----,
2025-07-13,23:04:34:257,00689,----,
2025-07-13,23:04:34:361,00686,----,
2025-07-13,23:04:34:473,00844,----,
2025-07-13,23:04:34:576,00909,----,
2025-07-13,23:04:34:694,00909,----,
2025-07-13,23:04:34:796,00858,----,
2025-07-13,23:04:34:907,00805,----,
2025-07-13,23:04:35:020,00365,----,
2025-07-13,23:04:35:123,00364,----,
2025-07-13,23:04:35:237,00364,----,
2025-07-13,23:04:35:351,00362,----,
2025-07-13,23:04:35:455,00350,----,
2025-07-13,23:04:35:568,00350,----,
2025-07-13,23:04:35:679,00348,----,
2025-07-13,23:04:35:782,00348,----,
2025-07-13,23:04:35:899,00346,----,
2025-07-13,23:04:35:998,00346,----,
2025-07-13,23:04:36:111,00387,----,
2025-07-13,23:04:36:219,00387,----,
2025-07-13,23:04:36:333,00415,----,
2025-07-13,23:04:36:445,00735,----,
2025-07-13,23:04:36:549,00742,----,
2025-07-13,23:04:36:662,00755,----,
2025-07-13,23:04:36:766,00755,----,
2025-07-13,23:04:36:880,00913,----,
2025-07-13,23:04:37:001,00917,----,
2025-07-13,23:04:37:116,00925,----,
2025-07-13,23:04:37:228,01021,----,
2025-07-13,23:04:37:332,01021,----,
2025-07-13,23:04:37:438,01024,----,
2025-07-13,23:04:37:550,01029,----,
2025-07-13,23:04:37:664,01098,----,
2025-07-13,23:04:37:769,01100,----,
2025-07-13,23:04:37:883,01100,----,
2025-07-13,23:04:37:985,01104,----,
2025-07-13,23:04:38:099,01061,----,
2025-07-13,23:04:38:211,01031,----,
2025-07-13,23:04:38:314,01031,----,
2025-07-13,23:04:38:427,01008,----,
2025-07-13,23:04:38:542,00637,----,
2025-07-13,23:04:38:647,00622,----,
2025-07-13,23:04:38:756,00601,----,
2025-07-13,23:04:38:859,00601,----,
2025-07-13,23:04:38:973,00327,----,
2025-07-13,23:04:39:086,00326,----,
2025-07-13,23:04:39:188,00323,----,
2025-07-13,23:04:39:304,00323,----,
2025-07-13,23:04:39:405,00290,----,
2025-07-13,23:04:39:519,00290,----,
2025-07-13,23:04:39:631,00290,----,
2025-07-13,23:04:39:738,00289,----,
2025-07-13,23:04:39:848,00289,----,
2025-07-13,23:04:39:951,00287,----,
2025-07-13,23:04:40:066,00476,----,
2025-07-13,23:04:40:179,00482,----,
2025-07-13,23:04:40:283,00501,----,
2025-07-13,23:04:40:397,00501,----,
2025-07-13,23:04:40:499,00756,----,
2025-07-13,23:04:40:613,00763,----,
2025-07-13,23:04:40:724,00775,----,
2025-07-13,23:04:40:827,00775,----,
2025-07-13,23:04:40:940,00921,----,
2025-07-13,23:04:41:054,00924,----,
2025-07-13,23:04:41:157,00930,----,
2025-07-13,23:04:41:264,01013,----,
2025-07-13,23:04:41:379,01013,----,
2025-07-13,23:04:41:491,01016,----,
2025-07-13,23:04:41:594,01020,----,
2025-07-13,23:04:41:703,01075,----,
