DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:36:53:962,03036,----,
2025-06-24,21:36:54:063,03121,----,
2025-06-24,21:36:54:177,03161,----,
2025-06-24,21:36:54:290,03323,----,
2025-06-24,21:36:54:402,03426,----,
2025-06-24,21:36:54:505,03483,----,
2025-06-24,21:36:54:617,03512,----,
2025-06-24,21:36:54:730,02868,----,
2025-06-24,21:36:54:831,02387,----,
2025-06-24,21:36:54:944,02236,----,
2025-06-24,21:36:55:058,02078,----,
2025-06-24,21:36:55:160,02054,----,
2025-06-24,21:36:55:274,02047,----,
2025-06-24,21:36:55:376,02096,----,
2025-06-24,21:36:55:490,02143,----,
2025-06-24,21:36:55:602,02145,----,
2025-06-24,21:36:55:703,02120,----,
2025-06-24,21:36:55:815,02057,----,
2025-06-24,21:36:55:928,02019,----,
2025-06-24,21:36:56:040,02012,----,
2025-06-24,21:36:56:143,02006,----,
2025-06-24,21:36:56:256,01977,----,
2025-06-24,21:36:56:371,01914,----,
2025-06-24,21:36:56:471,01841,----,
2025-06-24,21:36:56:583,01771,----,
2025-06-24,21:36:56:696,01743,----,
2025-06-24,21:36:56:799,01717,----,
2025-06-24,21:36:56:913,01705,----,
2025-06-24,21:36:57:025,01686,----,
2025-06-24,21:36:57:127,01673,----,
2025-06-24,21:36:57:239,01688,----,
2025-06-24,21:36:57:352,01972,----,
2025-06-24,21:36:57:455,02203,----,
2025-06-24,21:36:57:570,02329,----,
2025-06-24,21:36:57:680,02398,----,
2025-06-24,21:36:57:786,02360,----,
2025-06-24,21:36:57:897,02329,----,
2025-06-24,21:36:58:000,02264,----,
2025-06-24,21:36:58:115,02149,----,
2025-06-24,21:36:58:228,02010,----,
2025-06-24,21:36:58:331,01931,----,
2025-06-24,21:36:58:444,01888,----,
2025-06-24,21:36:58:549,01873,----,
2025-06-24,21:36:58:660,01872,----,
2025-06-24,21:36:58:771,01873,----,
2025-06-24,21:36:58:888,01886,----,
2025-06-24,21:36:58:986,01905,----,
2025-06-24,21:36:59:100,01913,----,
2025-06-24,21:36:59:213,01928,----,
2025-06-24,21:36:59:314,01949,----,
2025-06-24,21:36:59:428,01950,----,
2025-06-24,21:36:59:531,01956,----,
2025-06-24,21:36:59:647,01955,----,
2025-06-24,21:36:59:759,01953,----,
2025-06-24,21:36:59:860,01962,----,
2025-06-24,21:36:59:974,01968,----,
2025-06-24,21:37:00:087,01966,----,
2025-06-24,21:37:00:190,01963,----,
2025-06-24,21:37:00:304,01961,----,
2025-06-24,21:37:00:421,01932,----,
2025-06-24,21:37:00:518,01885,----,
2025-06-24,21:37:00:632,01854,----,
2025-06-24,21:37:00:736,01803,----,
2025-06-24,21:37:00:849,01760,----,
2025-06-24,21:37:00:964,01959,----,
2025-06-24,21:37:01:065,02198,----,
2025-06-24,21:37:01:178,02318,----,
2025-06-24,21:37:01:292,02389,----,
2025-06-24,21:37:01:394,02432,----,
2025-06-24,21:37:01:503,02463,----,
2025-06-24,21:37:01:613,02502,----,
2025-06-24,21:37:01:727,02537,----,
2025-06-24,21:37:01:828,02547,----,
2025-06-24,21:37:01:944,02565,----,
2025-06-24,21:37:02:056,02574,----,
2025-06-24,21:37:02:160,02407,----,
2025-06-24,21:37:02:273,02299,----,
2025-06-24,21:37:02:377,02157,----,
2025-06-24,21:37:02:489,02079,----,
2025-06-24,21:37:02:602,02053,----,
2025-06-24,21:37:02:704,02045,----,
2025-06-24,21:37:02:816,02043,----,
2025-06-24,21:37:02:931,02058,----,
2025-06-24,21:37:03:032,02072,----,
2025-06-24,21:37:03:145,02065,----,
2025-06-24,21:37:03:259,02016,----,
2025-06-24,21:37:03:363,01987,----,
2025-06-24,21:37:03:477,01971,----,
2025-06-24,21:37:03:581,01943,----,
2025-06-24,21:37:03:693,01926,----,
2025-06-24,21:37:03:797,01918,----,
2025-06-24,21:37:03:910,01895,----,
2025-06-24,21:37:04:023,01869,----,
2025-06-24,21:37:04:128,01811,----,
2025-06-24,21:37:04:241,01768,----,
2025-06-24,21:37:04:344,01738,----,
2025-06-24,21:37:04:459,01717,----,
2025-06-24,21:37:04:572,01785,----,
2025-06-24,21:37:04:675,02074,----,
2025-06-24,21:37:04:788,02245,----,
2025-06-24,21:37:04:892,02350,----,
2025-06-24,21:37:05:005,02477,----,
2025-06-24,21:37:05:119,02597,----,
2025-06-24,21:37:05:222,02647,----,
2025-06-24,21:37:05:337,02678,----,
2025-06-24,21:37:05:440,02707,----,
2025-06-24,21:37:05:547,02725,----,
2025-06-24,21:37:05:658,02737,----,
2025-06-24,21:37:05:771,02686,----,
2025-06-24,21:37:05:884,02308,----,
2025-06-24,21:37:05:988,02165,----,
2025-06-24,21:37:06:101,02046,----,
2025-06-24,21:37:06:203,02012,----,
2025-06-24,21:37:06:316,02005,----,
2025-06-24,21:37:06:430,02003,----,
2025-06-24,21:37:06:532,02001,----,
2025-06-24,21:37:06:646,02009,----,
2025-06-24,21:37:06:761,02039,----,
2025-06-24,21:37:06:864,02068,----,
2025-06-24,21:37:06:977,02076,----,
2025-06-24,21:37:07:080,02083,----,
2025-06-24,21:37:07:193,02068,----,
2025-06-24,21:37:07:308,02034,----,
2025-06-24,21:37:07:410,01981,----,
2025-06-24,21:37:07:524,01951,----,
