DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:44:53:594,07106,----,
2025-06-24,21:44:53:697,07134,----,
2025-06-24,21:44:53:799,07160,----,
2025-06-24,21:44:53:913,07190,----,
2025-06-24,21:44:54:033,07215,----,
2025-06-24,21:44:54:138,07246,----,
2025-06-24,21:44:54:237,07275,----,
2025-06-24,21:44:54:347,07303,----,
2025-06-24,21:44:54:460,07336,----,
2025-06-24,21:44:54:582,06967,----,
2025-06-24,21:44:54:693,06725,----,
2025-06-24,21:44:54:806,05212,----,
2025-06-24,21:44:54:909,05200,----,
2025-06-24,21:44:55:022,05256,----,
2025-06-24,21:44:55:131,05242,----,
2025-06-24,21:44:55:236,04798,----,
2025-06-24,21:44:55:351,04885,----,
2025-06-24,21:44:55:464,04883,----,
2025-06-24,21:44:55:563,04812,----,
2025-06-24,21:44:55:675,04807,----,
2025-06-24,21:44:55:787,04802,----,
2025-06-24,21:44:55:901,02357,----,
2025-06-24,21:44:56:011,02005,----,
2025-06-24,21:44:56:116,01843,----,
2025-06-24,21:44:56:228,01756,----,
2025-06-24,21:44:56:331,01756,----,
2025-06-24,21:44:56:443,01763,----,
2025-06-24,21:44:56:547,01770,----,
2025-06-24,21:44:56:658,01762,----,
2025-06-24,21:44:56:772,01750,----,
2025-06-24,21:44:56:885,01731,----,
2025-06-24,21:44:56:985,01711,----,
2025-06-24,21:44:57:099,01704,----,
2025-06-24,21:44:57:212,01703,----,
2025-06-24,21:44:57:313,01709,----,
2025-06-24,21:44:57:427,01720,----,
2025-06-24,21:44:57:547,01787,----,
2025-06-24,21:44:57:649,02948,----,
2025-06-24,21:44:57:750,03732,----,
2025-06-24,21:44:57:862,04143,----,
2025-06-24,21:44:57:977,04402,----,
2025-06-24,21:44:58:081,04584,----,
2025-06-24,21:44:58:194,04705,----,
2025-06-24,21:44:58:300,04812,----,
2025-06-24,21:44:58:412,04552,----,
2025-06-24,21:44:58:527,04169,----,
2025-06-24,21:44:58:627,04133,----,
2025-06-24,21:44:58:740,04129,----,
2025-06-24,21:44:58:855,04190,----,
2025-06-24,21:44:58:956,04239,----,
2025-06-24,21:44:59:071,03467,----,
2025-06-24,21:44:59:172,02013,----,
2025-06-24,21:44:59:285,01882,----,
2025-06-24,21:44:59:403,01798,----,
2025-06-24,21:44:59:501,01785,----,
2025-06-24,21:44:59:615,01784,----,
2025-06-24,21:44:59:729,01797,----,
2025-06-24,21:44:59:828,01810,----,
2025-06-24,21:44:59:942,01818,----,
2025-06-24,21:45:00:057,01825,----,
2025-06-24,21:45:00:159,01794,----,
2025-06-24,21:45:00:272,01773,----,
2025-06-24,21:45:00:386,01772,----,
2025-06-24,21:45:00:487,01770,----,
2025-06-24,21:45:00:602,01757,----,
2025-06-24,21:45:00:703,01743,----,
2025-06-24,21:45:00:814,01741,----,
2025-06-24,21:45:00:927,01746,----,
2025-06-24,21:45:01:040,01909,----,
2025-06-24,21:45:01:152,03054,----,
2025-06-24,21:45:01:262,03774,----,
2025-06-24,21:45:01:362,04156,----,
2025-06-24,21:45:01:472,04372,----,
2025-06-24,21:45:01:584,04570,----,
2025-06-24,21:45:01:689,04736,----,
2025-06-24,21:45:01:805,04867,----,
2025-06-24,21:45:01:908,05025,----,
2025-06-24,21:45:02:022,05125,----,
2025-06-24,21:45:02:133,05248,----,
2025-06-24,21:45:02:244,05330,----,
2025-06-24,21:45:02:351,05351,----,
2025-06-24,21:45:02:460,05310,----,
2025-06-24,21:45:02:572,04464,----,
2025-06-24,21:45:02:673,04128,----,
2025-06-24,21:45:02:785,04106,----,
2025-06-24,21:45:02:898,03076,----,
2025-06-24,21:45:03:011,02122,----,
2025-06-24,21:45:03:117,01975,----,
2025-06-24,21:45:03:225,01831,----,
2025-06-24,21:45:03:338,01816,----,
2025-06-24,21:45:03:439,01815,----,
2025-06-24,21:45:03:552,01815,----,
2025-06-24,21:45:03:663,01829,----,
2025-06-24,21:45:03:768,01790,----,
2025-06-24,21:45:03:882,01767,----,
2025-06-24,21:45:03:993,01749,----,
2025-06-24,21:45:04:095,01742,----,
2025-06-24,21:45:04:210,01736,----,
2025-06-24,21:45:04:320,01729,----,
2025-06-24,21:45:04:432,01730,----,
2025-06-24,21:45:04:535,01736,----,
2025-06-24,21:45:04:648,01755,----,
2025-06-24,21:45:04:750,02189,----,
2025-06-24,21:45:04:866,03177,----,
2025-06-24,21:45:04:979,03799,----,
2025-06-24,21:45:05:087,04156,----,
2025-06-24,21:45:05:192,04395,----,
2025-06-24,21:45:05:305,04595,----,
2025-06-24,21:45:05:407,04814,----,
2025-06-24,21:45:05:520,04931,----,
2025-06-24,21:45:05:628,05087,----,
2025-06-24,21:45:05:741,05192,----,
2025-06-24,21:45:05:844,05308,----,
2025-06-24,21:45:05:956,05347,----,
2025-06-24,21:45:06:064,05342,----,
2025-06-24,21:45:06:179,05082,----,
2025-06-24,21:45:06:289,04047,----,
2025-06-24,21:45:06:401,04019,----,
2025-06-24,21:45:06:502,03557,----,
2025-06-24,21:45:06:613,02152,----,
2025-06-24,21:45:06:724,01924,----,
2025-06-24,21:45:06:835,01848,----,
2025-06-24,21:45:06:946,01841,----,
2025-06-24,21:45:07:048,01847,----,
2025-06-24,21:45:07:161,01834,----,
