DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,16:49:53:486,04604,----,
2025-07-13,16:49:53:599,04606,----,
2025-07-13,16:49:53:709,04610,----,
2025-07-13,16:49:53:812,04610,----,
2025-07-13,16:49:53:930,04653,----,
2025-07-13,16:49:54:039,04653,----,
2025-07-13,16:49:54:142,04653,----,
2025-07-13,16:49:54:255,04658,----,
2025-07-13,16:49:54:368,04658,----,
2025-07-13,16:49:54:472,04664,----,
2025-07-13,16:49:54:585,04721,----,
2025-07-13,16:49:54:688,04720,----,
2025-07-13,16:49:54:802,04720,----,
2025-07-13,16:49:54:914,04720,----,
2025-07-13,16:49:55:017,04723,----,
2025-07-13,16:49:55:129,04709,----,
2025-07-13,16:49:55:245,03098,----,
2025-07-13,16:49:55:346,03098,----,
2025-07-13,16:49:55:458,03127,----,
2025-07-13,16:49:55:562,03014,----,
2025-07-13,16:49:55:674,01997,----,
2025-07-13,16:49:55:789,02005,----,
2025-07-13,16:49:55:892,02005,----,
2025-07-13,16:49:56:005,02029,----,
2025-07-13,16:49:56:108,02519,----,
2025-07-13,16:49:56:222,02532,----,
2025-07-13,16:49:56:335,02532,----,
2025-07-13,16:49:56:439,02622,----,
2025-07-13,16:49:56:553,03151,----,
2025-07-13,16:49:56:656,03048,----,
2025-07-13,16:49:56:769,02947,----,
2025-07-13,16:49:56:873,02947,----,
2025-07-13,16:49:56:986,02143,----,
2025-07-13,16:49:57:099,02143,----,
2025-07-13,16:49:57:205,02144,----,
2025-07-13,16:49:57:315,02144,----,
2025-07-13,16:49:57:429,02144,----,
2025-07-13,16:49:57:532,02140,----,
2025-07-13,16:49:57:646,02126,----,
2025-07-13,16:49:57:751,01853,----,
2025-07-13,16:49:57:862,01853,----,
2025-07-13,16:49:57:975,01845,----,
2025-07-13,16:49:58:079,01832,----,
2025-07-13,16:49:58:191,01666,----,
2025-07-13,16:49:58:304,01663,----,
2025-07-13,16:49:58:405,01663,----,
2025-07-13,16:49:58:519,01659,----,
2025-07-13,16:49:58:624,01616,----,
2025-07-13,16:49:58:738,01616,----,
2025-07-13,16:49:58:851,01616,----,
2025-07-13,16:49:58:955,01615,----,
2025-07-13,16:49:59:067,01614,----,
2025-07-13,16:49:59:180,01612,----,
2025-07-13,16:49:59:289,01663,----,
2025-07-13,16:49:59:391,01663,----,
2025-07-13,16:49:59:502,01680,----,
2025-07-13,16:49:59:616,01715,----,
2025-07-13,16:49:59:718,02122,----,
2025-07-13,16:49:59:832,02122,----,
2025-07-13,16:49:59:944,02128,----,
2025-07-13,16:50:00:050,02140,----,
2025-07-13,16:50:00:160,02282,----,
2025-07-13,16:50:00:268,02286,----,
2025-07-13,16:50:00:378,02286,----,
2025-07-13,16:50:00:484,02291,----,
2025-07-13,16:50:00:597,02364,----,
2025-07-13,16:50:00:709,02366,----,
2025-07-13,16:50:00:811,02370,----,
2025-07-13,16:50:00:925,02370,----,
2025-07-13,16:50:01:038,02415,----,
2025-07-13,16:50:01:140,02416,----,
2025-07-13,16:50:01:250,02418,----,
2025-07-13,16:50:01:364,02418,----,
2025-07-13,16:50:01:467,02418,----,
2025-07-13,16:50:01:581,02420,----,
2025-07-13,16:50:01:696,02423,----,
2025-07-13,16:50:01:798,02399,----,
2025-07-13,16:50:01:911,02399,----,
2025-07-13,16:50:02:026,02371,----,
2025-07-13,16:50:02:129,02319,----,
2025-07-13,16:50:02:244,01758,----,
2025-07-13,16:50:02:345,01751,----,
2025-07-13,16:50:02:457,01751,----,
2025-07-13,16:50:02:570,01738,----,
2025-07-13,16:50:02:672,01611,----,
2025-07-13,16:50:02:785,01611,----,
2025-07-13,16:50:02:897,01611,----,
2025-07-13,16:50:03:000,01611,----,
2025-07-13,16:50:03:114,01611,----,
2025-07-13,16:50:03:227,01612,----,
2025-07-13,16:50:03:332,01610,----,
2025-07-13,16:50:03:444,01610,----,
2025-07-13,16:50:03:547,01611,----,
2025-07-13,16:50:03:660,01628,----,
2025-07-13,16:50:03:773,01654,----,
2025-07-13,16:50:03:876,01654,----,
2025-07-13,16:50:03:990,01940,----,
2025-07-13,16:50:04:094,01957,----,
2025-07-13,16:50:04:207,01982,----,
2025-07-13,16:50:04:312,02270,----,
2025-07-13,16:50:04:424,02270,----,
2025-07-13,16:50:04:533,02278,----,
2025-07-13,16:50:04:646,02298,----,
2025-07-13,16:50:04:750,02543,----,
2025-07-13,16:50:04:862,02543,----,
2025-07-13,16:50:04:975,02535,----,
2025-07-13,16:50:05:078,02528,----,
2025-07-13,16:50:05:191,02475,----,
2025-07-13,16:50:05:297,02485,----,
2025-07-13,16:50:05:407,02485,----,
2025-07-13,16:50:05:519,02504,----,
2025-07-13,16:50:05:632,02628,----,
2025-07-13,16:50:05:735,02617,----,
2025-07-13,16:50:05:850,02596,----,
2025-07-13,16:50:05:953,02596,----,
2025-07-13,16:50:06:066,02421,----,
2025-07-13,16:50:06:179,02422,----,
2025-07-13,16:50:06:284,02425,----,
2025-07-13,16:50:06:396,02425,----,
2025-07-13,16:50:06:499,02428,----,
2025-07-13,16:50:06:613,02399,----,
2025-07-13,16:50:06:726,02355,----,
2025-07-13,16:50:06:830,02294,----,
2025-07-13,16:50:06:943,02294,----,
2025-07-13,16:50:07:049,01638,----,
