DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,17:57:46:234,05189,----,
2025-07-13,17:57:46:348,05238,----,
2025-07-13,17:57:46:461,05240,----,
2025-07-13,17:57:46:564,05243,----,
2025-07-13,17:57:46:677,05243,----,
2025-07-13,17:57:46:790,05197,----,
2025-07-13,17:57:46:893,03757,----,
2025-07-13,17:57:47:008,03709,----,
2025-07-13,17:57:47:111,03653,----,
2025-07-13,17:57:47:224,03653,----,
2025-07-13,17:57:47:338,03206,----,
2025-07-13,17:57:47:439,03207,----,
2025-07-13,17:57:47:553,03210,----,
2025-07-13,17:57:47:656,03210,----,
2025-07-13,17:57:47:769,03203,----,
2025-07-13,17:57:47:881,03093,----,
2025-07-13,17:57:47:985,03093,----,
2025-07-13,17:57:48:097,03094,----,
2025-07-13,17:57:48:211,03094,----,
2025-07-13,17:57:48:315,03097,----,
2025-07-13,17:57:48:428,03116,----,
2025-07-13,17:57:48:530,03117,----,
2025-07-13,17:57:48:643,03117,----,
2025-07-13,17:57:48:756,03112,----,
2025-07-13,17:57:48:859,03052,----,
2025-07-13,17:57:48:970,02316,----,
2025-07-13,17:57:49:086,02320,----,
2025-07-13,17:57:49:186,02320,----,
2025-07-13,17:57:49:299,02341,----,
2025-07-13,17:57:49:413,02436,----,
2025-07-13,17:57:49:515,02431,----,
2025-07-13,17:57:49:626,02576,----,
2025-07-13,17:57:49:738,02576,----,
2025-07-13,17:57:49:850,03913,----,
2025-07-13,17:57:49:952,03975,----,
2025-07-13,17:57:50:070,04010,----,
2025-07-13,17:57:50:176,04010,----,
2025-07-13,17:57:50:284,04622,----,
2025-07-13,17:57:50:394,04642,----,
2025-07-13,17:57:50:508,04635,----,
2025-07-13,17:57:50:609,04635,----,
2025-07-13,17:57:50:725,04635,----,
2025-07-13,17:57:50:846,04651,----,
2025-07-13,17:57:50:940,04617,----,
2025-07-13,17:57:51:104,02477,----,
2025-07-13,17:57:51:170,02506,----,
2025-07-13,17:57:51:265,02506,----,
2025-07-13,17:57:51:381,02524,----,
2025-07-13,17:57:51:488,02565,----,
2025-07-13,17:57:51:593,02553,----,
2025-07-13,17:57:51:704,02553,----,
2025-07-13,17:57:51:814,02791,----,
2025-07-13,17:57:51:926,05019,----,
2025-07-13,17:57:52:046,04997,----,
2025-07-13,17:57:52:147,04974,----,
2025-07-13,17:57:52:249,04974,----,
2025-07-13,17:57:52:361,04824,----,
2025-07-13,17:57:52:474,04840,----,
2025-07-13,17:57:52:578,04854,----,
2025-07-13,17:57:52:686,04854,----,
2025-07-13,17:57:52:798,04963,----,
2025-07-13,17:57:52:909,04957,----,
2025-07-13,17:57:53:024,04853,----,
2025-07-13,17:57:53:127,02552,----,
2025-07-13,17:57:53:240,02552,----,
2025-07-13,17:57:53:343,02530,----,
2025-07-13,17:57:53:458,02510,----,
2025-07-13,17:57:53:562,02766,----,
2025-07-13,17:57:53:676,02766,----,
2025-07-13,17:57:53:780,02930,----,
2025-07-13,17:57:53:894,02918,----,
2025-07-13,17:57:54:007,04734,----,
2025-07-13,17:57:54:118,04587,----,
2025-07-13,17:57:54:219,04587,----,
2025-07-13,17:57:54:332,04434,----,
2025-07-13,17:57:54:436,03250,----,
2025-07-13,17:57:54:549,03260,----,
2025-07-13,17:57:54:662,03341,----,
2025-07-13,17:57:54:766,03341,----,
2025-07-13,17:57:54:879,04200,----,
2025-07-13,17:57:54:991,04231,----,
2025-07-13,17:57:55:095,04243,----,
2025-07-13,17:57:55:208,04243,----,
2025-07-13,17:57:55:312,03870,----,
2025-07-13,17:57:55:427,03851,----,
2025-07-13,17:57:55:529,03832,----,
2025-07-13,17:57:55:640,03646,----,
2025-07-13,17:57:55:754,03646,----,
2025-07-13,17:57:55:858,03583,----,
2025-07-13,17:57:55:973,03455,----,
2025-07-13,17:57:56:084,02325,----,
2025-07-13,17:57:56:188,02455,----,
2025-07-13,17:57:56:299,02455,----,
2025-07-13,17:57:56:413,02624,----,
2025-07-13,17:57:56:516,03886,----,
2025-07-13,17:57:56:630,03874,----,
2025-07-13,17:57:56:734,03874,----,
2025-07-13,17:57:56:850,04030,----,
2025-07-13,17:57:56:953,05429,----,
2025-07-13,17:57:57:066,05446,----,
2025-07-13,17:57:57:179,05461,----,
2025-07-13,17:57:57:281,05461,----,
2025-07-13,17:57:57:396,05598,----,
2025-07-13,17:57:57:509,05594,----,
2025-07-13,17:57:57:609,05573,----,
2025-07-13,17:57:57:723,05573,----,
2025-07-13,17:57:57:826,05299,----,
2025-07-13,17:57:57:942,05288,----,
2025-07-13,17:57:58:054,05274,----,
2025-07-13,17:57:58:156,05402,----,
2025-07-13,17:57:58:269,05402,----,
2025-07-13,17:57:58:374,05415,----,
2025-07-13,17:57:58:486,05414,----,
2025-07-13,17:57:58:592,05217,----,
2025-07-13,17:57:58:704,05217,----,
2025-07-13,17:57:58:817,04910,----,
2025-07-13,17:57:58:921,02333,----,
2025-07-13,17:57:59:034,02575,----,
2025-07-13,17:57:59:147,02689,----,
2025-07-13,17:57:59:249,02689,----,
2025-07-13,17:57:59:364,02896,----,
2025-07-13,17:57:59:470,03056,----,
2025-07-13,17:57:59:586,03200,----,
2025-07-13,17:57:59:690,04531,----,
2025-07-13,17:57:59:803,04531,----,
