DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,20:01:39:710,05529,----,
2025-07-13,20:01:39:814,05530,----,
2025-07-13,20:01:39:927,05532,----,
2025-07-13,20:01:40:030,05535,----,
2025-07-13,20:01:40:145,05535,----,
2025-07-13,20:01:40:248,05567,----,
2025-07-13,20:01:40:364,05568,----,
2025-07-13,20:01:40:475,05570,----,
2025-07-13,20:01:40:578,05572,----,
2025-07-13,20:01:40:690,05572,----,
2025-07-13,20:01:40:803,05576,----,
2025-07-13,20:01:40:910,05610,----,
2025-07-13,20:01:41:021,05610,----,
2025-07-13,20:01:41:124,05612,----,
2025-07-13,20:01:41:239,05612,----,
2025-07-13,20:01:41:344,05553,----,
2025-07-13,20:01:41:458,05296,----,
2025-07-13,20:01:41:561,02621,----,
2025-07-13,20:01:41:674,02621,----,
2025-07-13,20:01:41:788,02627,----,
2025-07-13,20:01:41:893,02637,----,
2025-07-13,20:01:42:007,02739,----,
2025-07-13,20:01:42:111,02742,----,
2025-07-13,20:01:42:226,02742,----,
2025-07-13,20:01:42:330,02749,----,
2025-07-13,20:01:42:442,02880,----,
2025-07-13,20:01:42:547,02887,----,
2025-07-13,20:01:42:662,02887,----,
2025-07-13,20:01:42:764,02900,----,
2025-07-13,20:01:42:877,03044,----,
2025-07-13,20:01:42:989,03047,----,
2025-07-13,20:01:43:101,03052,----,
2025-07-13,20:01:43:207,03052,----,
2025-07-13,20:01:43:317,03116,----,
2025-07-13,20:01:43:429,03118,----,
2025-07-13,20:01:43:539,03122,----,
2025-07-13,20:01:43:641,03164,----,
2025-07-13,20:01:43:754,03164,----,
2025-07-13,20:01:43:866,03165,----,
2025-07-13,20:01:43:968,03167,----,
2025-07-13,20:01:44:080,03185,----,
2025-07-13,20:01:44:188,03185,----,
2025-07-13,20:01:44:300,03183,----,
2025-07-13,20:01:44:414,03180,----,
2025-07-13,20:01:44:517,02685,----,
2025-07-13,20:01:44:629,02654,----,
2025-07-13,20:01:44:743,02654,----,
2025-07-13,20:01:44:848,02615,----,
2025-07-13,20:01:44:959,02253,----,
2025-07-13,20:01:45:062,02255,----,
2025-07-13,20:01:45:176,02255,----,
2025-07-13,20:01:45:288,02261,----,
2025-07-13,20:01:45:390,02326,----,
2025-07-13,20:01:45:504,02329,----,
2025-07-13,20:01:45:608,02346,----,
2025-07-13,20:01:45:723,02346,----,
2025-07-13,20:01:45:835,02645,----,
2025-07-13,20:01:45:937,02653,----,
2025-07-13,20:01:46:049,02668,----,
2025-07-13,20:01:46:162,02838,----,
2025-07-13,20:01:46:275,02838,----,
2025-07-13,20:01:46:377,02842,----,
2025-07-13,20:01:46:492,02851,----,
2025-07-13,20:01:46:594,02961,----,
2025-07-13,20:01:46:710,02961,----,
2025-07-13,20:01:46:822,02964,----,
2025-07-13,20:01:46:926,02971,----,
2025-07-13,20:01:47:040,03052,----,
2025-07-13,20:01:47:142,03055,----,
2025-07-13,20:01:47:256,03055,----,
2025-07-13,20:01:47:358,03059,----,
2025-07-13,20:01:47:473,03119,----,
2025-07-13,20:01:47:585,03121,----,
2025-07-13,20:01:47:688,03124,----,
2025-07-13,20:01:47:801,03124,----,
2025-07-13,20:01:47:905,03172,----,
2025-07-13,20:01:48:018,03174,----,
2025-07-13,20:01:48:134,03177,----,
2025-07-13,20:01:48:237,03177,----,
2025-07-13,20:01:48:350,03215,----,
2025-07-13,20:01:48:463,03216,----,
2025-07-13,20:01:48:570,03219,----,
2025-07-13,20:01:48:675,03246,----,
2025-07-13,20:01:48:790,03246,----,
2025-07-13,20:01:48:893,03246,----,
2025-07-13,20:01:49:000,03247,----,
2025-07-13,20:01:49:112,03193,----,
2025-07-13,20:01:49:226,03193,----,
2025-07-13,20:01:49:328,03111,----,
2025-07-13,20:01:49:444,02375,----,
2025-07-13,20:01:49:550,02373,----,
2025-07-13,20:01:49:654,02371,----,
2025-07-13,20:01:49:769,02371,----,
2025-07-13,20:01:49:883,02372,----,
2025-07-13,20:01:49:985,02376,----,
2025-07-13,20:01:50:099,02559,----,
2025-07-13,20:01:50:202,02577,----,
2025-07-13,20:01:50:316,02577,----,
2025-07-13,20:01:50:428,02605,----,
2025-07-13,20:01:50:530,02906,----,
2025-07-13,20:01:50:644,02911,----,
2025-07-13,20:01:50:750,02911,----,
2025-07-13,20:01:50:863,02921,----,
2025-07-13,20:01:50:976,03044,----,
2025-07-13,20:01:51:080,03048,----,
2025-07-13,20:01:51:195,03054,----,
2025-07-13,20:01:51:298,03054,----,
2025-07-13,20:01:51:411,03137,----,
2025-07-13,20:01:51:519,03139,----,
2025-07-13,20:01:51:628,03144,----,
2025-07-13,20:01:51:742,03144,----,
2025-07-13,20:01:51:845,03201,----,
2025-07-13,20:01:51:958,03202,----,
2025-07-13,20:01:52:063,03205,----,
2025-07-13,20:01:52:177,03246,----,
2025-07-13,20:01:52:280,03246,----,
2025-07-13,20:01:52:394,03247,----,
2025-07-13,20:01:52:507,03249,----,
2025-07-13,20:01:52:609,03252,----,
2025-07-13,20:01:52:723,03252,----,
2025-07-13,20:01:52:837,03289,----,
2025-07-13,20:01:52:941,03290,----,
2025-07-13,20:01:53:055,03291,----,
2025-07-13,20:01:53:156,03241,----,
2025-07-13,20:01:53:271,03241,----,
