DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,20:12:24:318,06479,----,
2025-07-13,20:12:24:422,06479,----,
2025-07-13,20:12:24:533,06473,----,
2025-07-13,20:12:24:647,06487,----,
2025-07-13,20:12:24:750,06834,----,
2025-07-13,20:12:24:864,06834,----,
2025-07-13,20:12:24:977,06834,----,
2025-07-13,20:12:25:079,06827,----,
2025-07-13,20:12:25:193,06828,----,
2025-07-13,20:12:25:296,06828,----,
2025-07-13,20:12:25:410,06820,----,
2025-07-13,20:12:25:523,06810,----,
2025-07-13,20:12:25:627,06744,----,
2025-07-13,20:12:25:742,06731,----,
2025-07-13,20:12:25:845,06731,----,
2025-07-13,20:12:25:958,06723,----,
2025-07-13,20:12:26:071,06645,----,
2025-07-13,20:12:26:175,06642,----,
2025-07-13,20:12:26:288,06642,----,
2025-07-13,20:12:26:393,06635,----,
2025-07-13,20:12:26:503,06603,----,
2025-07-13,20:12:26:617,06607,----,
2025-07-13,20:12:26:719,06601,----,
2025-07-13,20:12:26:833,06601,----,
2025-07-13,20:12:26:945,06602,----,
2025-07-13,20:12:27:049,06599,----,
2025-07-13,20:12:27:162,06590,----,
2025-07-13,20:12:27:266,06588,----,
2025-07-13,20:12:27:378,06588,----,
2025-07-13,20:12:27:493,06584,----,
2025-07-13,20:12:27:594,06583,----,
2025-07-13,20:12:27:707,06580,----,
2025-07-13,20:12:27:819,06580,----,
2025-07-13,20:12:27:923,06581,----,
2025-07-13,20:12:28:037,06579,----,
2025-07-13,20:12:28:140,06606,----,
2025-07-13,20:12:28:257,06596,----,
2025-07-13,20:12:28:358,06596,----,
2025-07-13,20:12:28:471,06589,----,
2025-07-13,20:12:28:582,06524,----,
2025-07-13,20:12:28:689,06523,----,
2025-07-13,20:12:28:799,06523,----,
2025-07-13,20:12:28:912,06524,----,
2025-07-13,20:12:29:014,06524,----,
2025-07-13,20:12:29:128,06528,----,
2025-07-13,20:12:29:242,06532,----,
2025-07-13,20:12:29:346,06532,----,
2025-07-13,20:12:29:456,05612,----,
2025-07-13,20:12:29:570,05545,----,
2025-07-13,20:12:29:671,05386,----,
2025-07-13,20:12:29:785,02488,----,
2025-07-13,20:12:29:890,02488,----,
2025-07-13,20:12:30:002,02467,----,
2025-07-13,20:12:30:114,02447,----,
2025-07-13,20:12:30:221,02309,----,
2025-07-13,20:12:30:330,02309,----,
2025-07-13,20:12:30:444,02309,----,
2025-07-13,20:12:30:554,02310,----,
2025-07-13,20:12:30:664,02313,----,
2025-07-13,20:12:30:766,02355,----,
2025-07-13,20:12:30:880,02355,----,
2025-07-13,20:12:30:991,02365,----,
2025-07-13,20:12:31:094,02411,----,
2025-07-13,20:12:31:206,02931,----,
2025-07-13,20:12:31:316,02931,----,
2025-07-13,20:12:31:426,02918,----,
2025-07-13,20:12:31:537,02934,----,
2025-07-13,20:12:31:640,03150,----,
2025-07-13,20:12:31:753,03137,----,
2025-07-13,20:12:31:864,03137,----,
2025-07-13,20:12:31:973,03121,----,
2025-07-13,20:12:32:085,03017,----,
2025-07-13,20:12:32:189,03020,----,
2025-07-13,20:12:32:298,03020,----,
2025-07-13,20:12:32:406,03020,----,
2025-07-13,20:12:32:517,03023,----,
2025-07-13,20:12:32:630,03027,----,
2025-07-13,20:12:32:743,03060,----,
2025-07-13,20:12:32:847,03060,----,
2025-07-13,20:12:32:961,03062,----,
2025-07-13,20:12:33:064,03065,----,
2025-07-13,20:12:33:177,03107,----,
2025-07-13,20:12:33:282,03093,----,
2025-07-13,20:12:33:396,03093,----,
2025-07-13,20:12:33:499,03038,----,
2025-07-13,20:12:33:613,02304,----,
2025-07-13,20:12:33:727,02309,----,
2025-07-13,20:12:33:830,02316,----,
2025-07-13,20:12:33:944,02316,----,
2025-07-13,20:12:34:047,02356,----,
2025-07-13,20:12:34:160,02374,----,
2025-07-13,20:12:34:273,02382,----,
2025-07-13,20:12:34:377,02382,----,
2025-07-13,20:12:34:491,03531,----,
2025-07-13,20:12:34:593,03456,----,
2025-07-13,20:12:34:707,03410,----,
2025-07-13,20:12:34:811,03596,----,
2025-07-13,20:12:34:925,03596,----,
2025-07-13,20:12:35:039,03702,----,
2025-07-13,20:12:35:142,03817,----,
2025-07-13,20:12:35:258,04819,----,
2025-07-13,20:12:35:360,04811,----,
2025-07-13,20:12:35:473,04811,----,
2025-07-13,20:12:35:587,04798,----,
2025-07-13,20:12:35:690,04795,----,
2025-07-13,20:12:35:804,04770,----,
2025-07-13,20:12:35:909,04770,----,
2025-07-13,20:12:36:021,04617,----,
2025-07-13,20:12:36:125,02819,----,
2025-07-13,20:12:36:240,02820,----,
2025-07-13,20:12:36:350,02793,----,
2025-07-13,20:12:36:453,02793,----,
2025-07-13,20:12:36:567,02518,----,
2025-07-13,20:12:36:679,02517,----,
2025-07-13,20:12:36:786,02517,----,
2025-07-13,20:12:36:889,02517,----,
2025-07-13,20:12:37:000,02518,----,
2025-07-13,20:12:37:114,02519,----,
2025-07-13,20:12:37:227,02522,----,
2025-07-13,20:12:37:329,02555,----,
2025-07-13,20:12:37:443,02555,----,
2025-07-13,20:12:37:546,02556,----,
2025-07-13,20:12:37:659,02557,----,
2025-07-13,20:12:37:774,02560,----,
2025-07-13,20:12:37:875,02601,----,
