DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-07,15:08:09:432,03227,----,
2025-07-07,15:08:09:543,03253,----,
2025-07-07,15:08:09:659,03279,----,
2025-07-07,15:08:09:776,03314,----,
2025-07-07,15:08:09:889,03337,----,
2025-07-07,15:08:09:995,03362,----,
2025-07-07,15:08:10:107,03376,----,
2025-07-07,15:08:10:219,03399,----,
2025-07-07,15:08:10:331,03413,----,
2025-07-07,15:08:10:442,03428,----,
2025-07-07,15:08:10:548,03451,----,
2025-07-07,15:08:10:659,03464,----,
2025-07-07,15:08:10:771,03478,----,
2025-07-07,15:08:10:871,03481,----,
2025-07-07,15:08:10:978,03494,----,
2025-07-07,15:08:11:092,03508,----,
2025-07-07,15:08:11:203,03513,----,
2025-07-07,15:08:11:316,03525,----,
2025-07-07,15:08:11:427,03540,----,
2025-07-07,15:08:11:524,03543,----,
2025-07-07,15:08:11:637,03549,----,
2025-07-07,15:08:11:747,03557,----,
2025-07-07,15:08:11:854,03573,----,
2025-07-07,15:08:11:960,03575,----,
2025-07-07,15:08:12:080,03582,----,
2025-07-07,15:08:12:191,03591,----,
2025-07-07,15:08:12:303,03599,----,
2025-07-07,15:08:12:399,03607,----,
2025-07-07,15:08:12:511,03613,----,
2025-07-07,15:08:12:620,03621,----,
2025-07-07,15:08:12:731,03628,----,
2025-07-07,15:08:12:839,03634,----,
2025-07-07,15:08:12:957,03640,----,
2025-07-07,15:08:13:061,03645,----,
2025-07-07,15:08:13:173,03644,----,
2025-07-07,15:08:13:285,03640,----,
2025-07-07,15:08:13:397,03600,----,
2025-07-07,15:08:13:492,03426,----,
2025-07-07,15:08:13:603,03302,----,
2025-07-07,15:08:13:714,03450,----,
2025-07-07,15:08:13:820,03505,----,
2025-07-07,15:08:13:940,03548,----,
2025-07-07,15:08:14:043,03584,----,
2025-07-07,15:08:14:154,03610,----,
2025-07-07,15:08:14:266,03636,----,
2025-07-07,15:08:14:378,03651,----,
2025-07-07,15:08:14:489,03666,----,
2025-07-07,15:08:14:587,03669,----,
2025-07-07,15:08:14:699,03683,----,
2025-07-07,15:08:14:819,03688,----,
2025-07-07,15:08:14:940,03695,----,
2025-07-07,15:08:15:043,03704,----,
2025-07-07,15:08:15:155,03710,----,
2025-07-07,15:08:15:268,03714,----,
2025-07-07,15:08:15:379,03715,----,
2025-07-07,15:08:15:491,03715,----,
2025-07-07,15:08:15:588,03717,----,
2025-07-07,15:08:15:700,03723,----,
2025-07-07,15:08:15:818,03727,----,
2025-07-07,15:08:15:924,03733,----,
2025-07-07,15:08:16:028,03737,----,
2025-07-07,15:08:16:139,03460,----,
2025-07-07,15:08:16:251,03266,----,
2025-07-07,15:08:16:363,03419,----,
2025-07-07,15:08:16:474,03527,----,
2025-07-07,15:08:16:572,03551,----,
2025-07-07,15:08:16:679,03565,----,
2025-07-07,15:08:16:804,03579,----,
2025-07-07,15:08:16:924,03550,----,
2025-07-07,15:08:17:026,03393,----,
2025-07-07,15:08:17:138,02937,----,
2025-07-07,15:08:17:250,03214,----,
2025-07-07,15:08:17:362,03257,----,
2025-07-07,15:08:17:475,03311,----,
2025-07-07,15:08:17:587,03299,----,
2025-07-07,15:08:17:696,03193,----,
2025-07-07,15:08:17:807,03182,----,
2025-07-07,15:08:17:924,03226,----,
2025-07-07,15:08:18:025,03242,----,
2025-07-07,15:08:18:137,03268,----,
2025-07-07,15:08:18:248,03278,----,
2025-07-07,15:08:18:360,03246,----,
2025-07-07,15:08:18:471,03300,----,
2025-07-07,15:08:18:587,03473,----,
2025-07-07,15:08:18:699,03529,----,
2025-07-07,15:08:18:807,03559,----,
2025-07-07,15:08:18:924,03598,----,
2025-07-07,15:08:19:027,03611,----,
2025-07-07,15:08:19:138,03636,----,
2025-07-07,15:08:19:251,03649,----,
2025-07-07,15:08:19:363,03663,----,
2025-07-07,15:08:19:469,03677,----,
2025-07-07,15:08:19:587,03680,----,
2025-07-07,15:08:19:699,03693,----,
2025-07-07,15:08:19:818,03697,----,
2025-07-07,15:08:19:924,03705,----,
2025-07-07,15:08:20:026,03721,----,
2025-07-07,15:08:20:137,03689,----,
2025-07-07,15:08:20:249,03690,----,
2025-07-07,15:08:20:361,03705,----,
2025-07-07,15:08:20:473,03709,----,
2025-07-07,15:08:20:571,03710,----,
2025-07-07,15:08:20:690,03724,----,
2025-07-07,15:08:20:802,03738,----,
2025-07-07,15:08:20:908,03742,----,
2025-07-07,15:08:21:010,03749,----,
2025-07-07,15:08:21:122,03756,----,
2025-07-07,15:08:21:234,03762,----,
2025-07-07,15:08:21:347,03766,----,
2025-07-07,15:08:21:459,03770,----,
2025-07-07,15:08:21:555,03774,----,
2025-07-07,15:08:21:675,03779,----,
2025-07-07,15:08:21:774,03783,----,
2025-07-07,15:08:21:886,03787,----,
2025-07-07,15:08:21:994,03790,----,
2025-07-07,15:08:22:107,03794,----,
2025-07-07,15:08:22:218,03797,----,
2025-07-07,15:08:22:330,03800,----,
2025-07-07,15:08:22:443,03802,----,
2025-07-07,15:08:22:542,03805,----,
2025-07-07,15:08:22:662,03807,----,
2025-07-07,15:08:22:759,03809,----,
2025-07-07,15:08:22:868,03811,----,
2025-07-07,15:08:22:978,03813,----,
2025-07-07,15:08:23:089,03816,----,
