DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,20:56:54:375,05998,----,
2025-07-13,20:56:54:483,05999,----,
2025-07-13,20:56:54:601,05999,----,
2025-07-13,20:56:54:704,06002,----,
2025-07-13,20:56:54:820,06006,----,
2025-07-13,20:56:54:921,06043,----,
2025-07-13,20:56:55:036,06041,----,
2025-07-13,20:56:55:149,06041,----,
2025-07-13,20:56:55:251,06037,----,
2025-07-13,20:56:55:364,06032,----,
2025-07-13,20:56:55:468,06003,----,
2025-07-13,20:56:55:579,06003,----,
2025-07-13,20:56:55:694,06004,----,
2025-07-13,20:56:55:798,06005,----,
2025-07-13,20:56:55:909,06007,----,
2025-07-13,20:56:56:023,06007,----,
2025-07-13,20:56:56:125,06007,----,
2025-07-13,20:56:56:237,06007,----,
2025-07-13,20:56:56:352,06008,----,
2025-07-13,20:56:56:453,06002,----,
2025-07-13,20:56:56:568,06002,----,
2025-07-13,20:56:56:680,05992,----,
2025-07-13,20:56:56:782,05810,----,
2025-07-13,20:56:56:895,05812,----,
2025-07-13,20:56:57:009,05821,----,
2025-07-13,20:56:57:111,05821,----,
2025-07-13,20:56:57:223,05934,----,
2025-07-13,20:56:57:335,05937,----,
2025-07-13,20:56:57:438,05943,----,
2025-07-13,20:56:57:546,06021,----,
2025-07-13,20:56:57:655,06021,----,
2025-07-13,20:56:57:768,06023,----,
2025-07-13,20:56:57:882,06026,----,
2025-07-13,20:56:57:983,06031,----,
2025-07-13,20:56:58:100,06031,----,
2025-07-13,20:56:58:209,06077,----,
2025-07-13,20:56:58:311,06078,----,
2025-07-13,20:56:58:424,06081,----,
2025-07-13,20:56:58:537,05952,----,
2025-07-13,20:56:58:640,05952,----,
2025-07-13,20:56:58:755,02626,----,
2025-07-13,20:56:58:867,02617,----,
2025-07-13,20:56:58:970,02612,----,
2025-07-13,20:56:59:085,02612,----,
2025-07-13,20:56:59:188,02561,----,
2025-07-13,20:56:59:301,02558,----,
2025-07-13,20:56:59:412,02552,----,
2025-07-13,20:56:59:515,02527,----,
2025-07-13,20:56:59:628,02527,----,
2025-07-13,20:56:59:741,02537,----,
2025-07-13,20:56:59:843,02552,----,
2025-07-13,20:56:59:957,02731,----,
2025-07-13,20:57:00:069,02743,----,
2025-07-13,20:57:00:172,02743,----,
2025-07-13,20:57:00:286,02799,----,
2025-07-13,20:57:00:398,03998,----,
2025-07-13,20:57:00:501,04047,----,
2025-07-13,20:57:00:613,04047,----,
2025-07-13,20:57:00:725,04131,----,
2025-07-13,20:57:00:828,05089,----,
2025-07-13,20:57:00:941,05108,----,
2025-07-13,20:57:01:054,05142,----,
2025-07-13,20:57:01:156,05142,----,
2025-07-13,20:57:01:270,05561,----,
2025-07-13,20:57:01:382,05572,----,
2025-07-13,20:57:01:486,05593,----,
2025-07-13,20:57:01:599,05593,----,
2025-07-13,20:57:01:715,05846,----,
2025-07-13,20:57:01:814,05853,----,
2025-07-13,20:57:01:926,05866,----,
2025-07-13,20:57:02:038,06033,----,
2025-07-13,20:57:02:143,06033,----,
2025-07-13,20:57:02:255,06038,----,
2025-07-13,20:57:02:358,06047,----,
2025-07-13,20:57:02:472,06161,----,
2025-07-13,20:57:02:586,06120,----,
2025-07-13,20:57:02:688,06120,----,
2025-07-13,20:57:02:801,05813,----,
2025-07-13,20:57:02:907,02678,----,
2025-07-13,20:57:03:018,02665,----,
2025-07-13,20:57:03:131,02665,----,
2025-07-13,20:57:03:237,02645,----,
2025-07-13,20:57:03:345,02519,----,
2025-07-13,20:57:03:459,02523,----,
2025-07-13,20:57:03:570,02528,----,
2025-07-13,20:57:03:672,02528,----,
2025-07-13,20:57:03:783,02558,----,
2025-07-13,20:57:03:901,02569,----,
2025-07-13,20:57:03:999,02589,----,
2025-07-13,20:57:04:112,02589,----,
2025-07-13,20:57:04:226,03031,----,
2025-07-13,20:57:04:328,03088,----,
2025-07-13,20:57:04:441,03192,----,
2025-07-13,20:57:04:558,04385,----,
2025-07-13,20:57:04:656,04385,----,
2025-07-13,20:57:04:769,04408,----,
2025-07-13,20:57:04:882,04450,----,
2025-07-13,20:57:04:985,04950,----,
2025-07-13,20:57:05:099,04963,----,
2025-07-13,20:57:05:213,04963,----,
2025-07-13,20:57:05:318,04986,----,
2025-07-13,20:57:05:428,05278,----,
2025-07-13,20:57:05:540,05286,----,
2025-07-13,20:57:05:650,05301,----,
2025-07-13,20:57:05:761,05301,----,
2025-07-13,20:57:05:860,05488,----,
2025-07-13,20:57:05:971,05493,----,
2025-07-13,20:57:06:081,05504,----,
2025-07-13,20:57:06:192,05504,----,
2025-07-13,20:57:06:305,05637,----,
2025-07-13,20:57:06:407,05642,----,
2025-07-13,20:57:06:518,05652,----,
2025-07-13,20:57:06:631,05652,----,
2025-07-13,20:57:06:734,05771,----,
2025-07-13,20:57:06:845,05759,----,
2025-07-13,20:57:06:957,05481,----,
2025-07-13,20:57:07:070,02694,----,
2025-07-13,20:57:07:172,02694,----,
2025-07-13,20:57:07:285,02688,----,
2025-07-13,20:57:07:398,02683,----,
2025-07-13,20:57:07:501,02610,----,
2025-07-13,20:57:07:612,02610,----,
2025-07-13,20:57:07:723,02610,----,
2025-07-13,20:57:07:826,02611,----,
2025-07-13,20:57:07:939,02614,----,
