DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-07,15:41:26:467,03703,----,
2025-07-07,15:41:26:572,03703,----,
2025-07-07,15:41:26:688,03705,----,
2025-07-07,15:41:26:801,03706,----,
2025-07-07,15:41:26:908,03706,----,
2025-07-07,15:41:27:010,03707,----,
2025-07-07,15:41:27:123,03707,----,
2025-07-07,15:41:27:235,03708,----,
2025-07-07,15:41:27:345,03708,----,
2025-07-07,15:41:27:457,03707,----,
2025-07-07,15:41:27:555,03707,----,
2025-07-07,15:41:27:673,03706,----,
2025-07-07,15:41:27:782,03706,----,
2025-07-07,15:41:27:884,03706,----,
2025-07-07,15:41:27:995,03706,----,
2025-07-07,15:41:28:107,03707,----,
2025-07-07,15:41:28:218,03707,----,
2025-07-07,15:41:28:330,03708,----,
2025-07-07,15:41:28:441,03708,----,
2025-07-07,15:41:28:546,03709,----,
2025-07-07,15:41:28:664,03710,----,
2025-07-07,15:41:28:787,03711,----,
2025-07-07,15:41:28:886,03712,----,
2025-07-07,15:41:28:994,03712,----,
2025-07-07,15:41:29:106,03529,----,
2025-07-07,15:41:29:218,03552,----,
2025-07-07,15:41:29:329,03515,----,
2025-07-07,15:41:29:441,03618,----,
2025-07-07,15:41:29:544,03643,----,
2025-07-07,15:41:29:658,03657,----,
2025-07-07,15:41:29:770,03661,----,
2025-07-07,15:41:29:868,03423,----,
2025-07-07,15:41:29:979,03567,----,
2025-07-07,15:41:30:090,03599,----,
2025-07-07,15:41:30:202,03560,----,
2025-07-07,15:41:30:314,03563,----,
2025-07-07,15:41:30:419,03539,----,
2025-07-07,15:41:30:526,03613,----,
2025-07-07,15:41:30:634,03637,----,
2025-07-07,15:41:30:747,03641,----,
2025-07-07,15:41:30:851,03654,----,
2025-07-07,15:41:30:963,03647,----,
2025-07-07,15:41:31:074,03381,----,
2025-07-07,15:41:31:185,03588,----,
2025-07-07,15:41:31:297,03615,----,
2025-07-07,15:41:31:409,03629,----,
2025-07-07,15:41:31:522,03642,----,
2025-07-07,15:41:31:618,03647,----,
2025-07-07,15:41:31:741,03652,----,
2025-07-07,15:41:31:848,03655,----,
2025-07-07,15:41:31:956,03658,----,
2025-07-07,15:41:32:058,03659,----,
2025-07-07,15:41:32:168,03660,----,
2025-07-07,15:41:32:279,03648,----,
2025-07-07,15:41:32:391,03651,----,
2025-07-07,15:41:32:503,03655,----,
2025-07-07,15:41:32:602,03658,----,
2025-07-07,15:41:32:711,03632,----,
2025-07-07,15:41:32:826,03633,----,
2025-07-07,15:41:32:939,03659,----,
2025-07-07,15:41:33:043,03661,----,
2025-07-07,15:41:33:154,03665,----,
2025-07-07,15:41:33:267,03669,----,
2025-07-07,15:41:33:378,03619,----,
2025-07-07,15:41:33:490,03433,----,
2025-07-07,15:41:33:586,03587,----,
2025-07-07,15:41:33:697,03612,----,
2025-07-07,15:41:33:809,03639,----,
2025-07-07,15:41:33:922,03641,----,
2025-07-07,15:41:34:025,03655,----,
2025-07-07,15:41:34:136,03199,----,
2025-07-07,15:41:34:246,02855,----,
2025-07-07,15:41:34:357,03395,----,
2025-07-07,15:41:34:468,03500,----,
2025-07-07,15:41:34:571,03539,----,
2025-07-07,15:41:34:690,03563,----,
2025-07-07,15:41:34:793,03588,----,
2025-07-07,15:41:34:907,03601,----,
2025-07-07,15:41:35:011,03604,----,
2025-07-07,15:41:35:122,03599,----,
2025-07-07,15:41:35:234,03560,----,
2025-07-07,15:41:35:346,03490,----,
2025-07-07,15:41:35:457,03590,----,
2025-07-07,15:41:35:558,03593,----,
2025-07-07,15:41:35:673,03609,----,
2025-07-07,15:41:35:776,03622,----,
2025-07-07,15:41:35:891,03621,----,
2025-07-07,15:41:35:994,03622,----,
2025-07-07,15:41:36:106,03625,----,
2025-07-07,15:41:36:218,03627,----,
2025-07-07,15:41:36:330,03639,----,
2025-07-07,15:41:36:441,03644,----,
2025-07-07,15:41:36:545,03649,----,
2025-07-07,15:41:36:657,03495,----,
2025-07-07,15:41:36:768,03419,----,
2025-07-07,15:41:36:870,03505,----,
2025-07-07,15:41:36:978,03532,----,
2025-07-07,15:41:37:089,03547,----,
2025-07-07,15:41:37:202,03562,----,
2025-07-07,15:41:37:314,03286,----,
2025-07-07,15:41:37:426,02744,----,
2025-07-07,15:41:37:529,02936,----,
2025-07-07,15:41:37:634,02930,----,
2025-07-07,15:41:37:749,03309,----,
2025-07-07,15:41:37:852,03410,----,
2025-07-07,15:41:37:970,03460,----,
2025-07-07,15:41:38:074,03495,----,
2025-07-07,15:41:38:186,03510,----,
2025-07-07,15:41:38:297,03523,----,
2025-07-07,15:41:38:410,03392,----,
2025-07-07,15:41:38:522,03531,----,
2025-07-07,15:41:38:617,03546,----,
2025-07-07,15:41:38:728,03559,----,
2025-07-07,15:41:38:843,03573,----,
2025-07-07,15:41:38:953,03576,----,
2025-07-07,15:41:39:058,03589,----,
2025-07-07,15:41:39:168,03571,----,
2025-07-07,15:41:39:280,03569,----,
2025-07-07,15:41:39:392,03554,----,
2025-07-07,15:41:39:505,03552,----,
2025-07-07,15:41:39:601,03549,----,
2025-07-07,15:41:39:711,03524,----,
2025-07-07,15:41:39:820,03525,----,
2025-07-07,15:41:39:932,03461,----,
2025-07-07,15:41:40:041,03340,----,
