DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-07,15:37:21:266,03711,----,
2025-07-07,15:37:21:375,03710,----,
2025-07-07,15:37:21:485,03710,----,
2025-07-07,15:37:21:587,03710,----,
2025-07-07,15:37:21:697,03710,----,
2025-07-07,15:37:21:814,03711,----,
2025-07-07,15:37:21:925,03711,----,
2025-07-07,15:37:22:028,03711,----,
2025-07-07,15:37:22:141,03711,----,
2025-07-07,15:37:22:253,03712,----,
2025-07-07,15:37:22:365,03712,----,
2025-07-07,15:37:22:460,03712,----,
2025-07-07,15:37:22:588,03712,----,
2025-07-07,15:37:22:694,03712,----,
2025-07-07,15:37:22:820,03712,----,
2025-07-07,15:37:22:937,03712,----,
2025-07-07,15:37:23:040,03711,----,
2025-07-07,15:37:23:153,03711,----,
2025-07-07,15:37:23:264,03712,----,
2025-07-07,15:37:23:376,03712,----,
2025-07-07,15:37:23:488,03712,----,
2025-07-07,15:37:23:588,03712,----,
2025-07-07,15:37:23:697,03712,----,
2025-07-07,15:37:23:818,03712,----,
2025-07-07,15:37:23:925,03712,----,
2025-07-07,15:37:24:026,03713,----,
2025-07-07,15:37:24:137,03713,----,
2025-07-07,15:37:24:249,03713,----,
2025-07-07,15:37:24:360,03713,----,
2025-07-07,15:37:24:471,03714,----,
2025-07-07,15:37:24:572,03714,----,
2025-07-07,15:37:24:693,03714,----,
2025-07-07,15:37:24:792,03714,----,
2025-07-07,15:37:24:909,03714,----,
2025-07-07,15:37:25:012,03714,----,
2025-07-07,15:37:25:122,03714,----,
2025-07-07,15:37:25:232,03715,----,
2025-07-07,15:37:25:343,03524,----,
2025-07-07,15:37:25:454,03318,----,
2025-07-07,15:37:25:560,03535,----,
2025-07-07,15:37:25:675,03598,----,
2025-07-07,15:37:25:779,03625,----,
2025-07-07,15:37:25:889,03639,----,
2025-07-07,15:37:25:994,03651,----,
2025-07-07,15:37:26:105,03655,----,
2025-07-07,15:37:26:217,03661,----,
2025-07-07,15:37:26:328,03667,----,
2025-07-07,15:37:26:439,03504,----,
2025-07-07,15:37:26:543,03023,----,
2025-07-07,15:37:26:658,03450,----,
2025-07-07,15:37:26:766,03553,----,
2025-07-07,15:37:26:875,03591,----,
2025-07-07,15:37:26:979,03605,----,
2025-07-07,15:37:27:090,03620,----,
2025-07-07,15:37:27:202,03634,----,
2025-07-07,15:37:27:313,03636,----,
2025-07-07,15:37:27:425,03641,----,
2025-07-07,15:37:27:528,03647,----,
2025-07-07,15:37:27:639,03651,----,
2025-07-07,15:37:27:746,03654,----,
2025-07-07,15:37:27:856,03657,----,
2025-07-07,15:37:27:965,03640,----,
2025-07-07,15:37:28:079,03636,----,
2025-07-07,15:37:28:191,03619,----,
2025-07-07,15:37:28:303,03460,----,
2025-07-07,15:37:28:399,03217,----,
2025-07-07,15:37:28:511,03388,----,
2025-07-07,15:37:28:620,03548,----,
2025-07-07,15:37:28:726,03574,----,
2025-07-07,15:37:28:840,03599,----,
2025-07-07,15:37:28:957,03603,----,
2025-07-07,15:37:29:058,03619,----,
2025-07-07,15:37:29:170,03623,----,
2025-07-07,15:37:29:283,03584,----,
2025-07-07,15:37:29:395,03538,----,
2025-07-07,15:37:29:507,02954,----,
2025-07-07,15:37:29:619,03441,----,
2025-07-07,15:37:29:727,03534,----,
2025-07-07,15:37:29:836,03562,----,
2025-07-07,15:37:29:959,03586,----,
2025-07-07,15:37:30:066,03576,----,
2025-07-07,15:37:30:178,03576,----,
2025-07-07,15:37:30:273,03604,----,
2025-07-07,15:37:30:385,03381,----,
2025-07-07,15:37:30:496,03322,----,
2025-07-07,15:37:30:603,03404,----,
2025-07-07,15:37:30:713,03462,----,
2025-07-07,15:37:30:823,03471,----,
2025-07-07,15:37:30:940,03498,----,
2025-07-07,15:37:31:042,03512,----,
2025-07-07,15:37:31:153,03499,----,
2025-07-07,15:37:31:264,03498,----,
2025-07-07,15:37:31:376,03511,----,
2025-07-07,15:37:31:487,03477,----,
2025-07-07,15:37:31:587,03463,----,
2025-07-07,15:37:31:700,03390,----,
2025-07-07,15:37:31:818,02935,----,
2025-07-07,15:37:31:924,03085,----,
2025-07-07,15:37:32:027,03407,----,
2025-07-07,15:37:32:138,03469,----,
2025-07-07,15:37:32:251,03508,----,
2025-07-07,15:37:32:362,03534,----,
2025-07-07,15:37:32:474,03547,----,
2025-07-07,15:37:32:587,03561,----,
2025-07-07,15:37:32:696,03576,----,
2025-07-07,15:37:32:805,03591,----,
2025-07-07,15:37:32:924,03593,----,
2025-07-07,15:37:33:027,03395,----,
2025-07-07,15:37:33:140,03494,----,
2025-07-07,15:37:33:251,03537,----,
2025-07-07,15:37:33:362,03540,----,
2025-07-07,15:37:33:474,03565,----,
2025-07-07,15:37:33:587,03578,----,
2025-07-07,15:37:33:698,03580,----,
2025-07-07,15:37:33:806,03582,----,
2025-07-07,15:37:33:923,03596,----,
2025-07-07,15:37:34:026,03596,----,
2025-07-07,15:37:34:138,03611,----,
2025-07-07,15:37:34:249,03616,----,
2025-07-07,15:37:34:362,03622,----,
2025-07-07,15:37:34:473,03628,----,
2025-07-07,15:37:34:586,03633,----,
2025-07-07,15:37:34:696,03636,----,
2025-07-07,15:37:34:806,03638,----,
2025-07-07,15:37:34:923,03638,----,
