DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,17:44:31:848,03121,----,
2025-07-28,17:44:31:947,03122,----,
2025-07-28,17:44:32:058,03123,----,
2025-07-28,17:44:32:166,03137,----,
2025-07-28,17:44:32:275,03137,----,
2025-07-28,17:44:32:386,03136,----,
2025-07-28,17:44:32:493,03116,----,
2025-07-28,17:44:32:603,03116,----,
2025-07-28,17:44:32:710,03136,----,
2025-07-28,17:44:33:042,03129,----,
2025-07-28,17:44:33:154,02661,----,
2025-07-28,17:44:33:265,02662,----,
2025-07-28,17:44:33:371,02692,----,
2025-07-28,17:44:33:479,02665,----,
2025-07-28,17:44:33:588,02538,----,
2025-07-28,17:44:33:697,02556,----,
2025-07-28,17:44:33:812,02207,----,
2025-07-28,17:44:33:918,02075,----,
2025-07-28,17:44:34:027,01980,----,
2025-07-28,17:44:34:406,00897,----,
2025-07-28,17:44:34:516,00869,----,
2025-07-28,17:44:34:579,00815,----,
2025-07-28,17:44:34:689,00804,----,
2025-07-28,17:44:34:798,00870,----,
2025-07-28,17:44:34:906,01116,----,
2025-07-28,17:44:35:014,01300,----,
2025-07-28,17:44:35:121,01400,----,
2025-07-28,17:44:35:232,01464,----,
2025-07-28,17:44:35:340,00937,----,
2025-07-28,17:44:35:447,00884,----,
2025-07-28,17:44:35:552,00843,----,
2025-07-28,17:44:35:664,00866,----,
2025-07-28,17:44:35:773,00900,----,
2025-07-28,17:44:35:884,00900,----,
2025-07-28,17:44:35:989,00919,----,
2025-07-28,17:44:36:114,00919,----,
2025-07-28,17:44:36:223,00948,----,
2025-07-28,17:44:36:331,00947,----,
2025-07-28,17:44:36:438,00947,----,
2025-07-28,17:44:36:548,00947,----,
2025-07-28,17:44:36:655,00966,----,
2025-07-28,17:44:36:764,01207,----,
2025-07-28,17:44:36:872,01415,----,
2025-07-28,17:44:36:974,01568,----,
2025-07-28,17:44:37:089,01696,----,
2025-07-28,17:44:37:198,01799,----,
2025-07-28,17:44:37:306,01893,----,
2025-07-28,17:44:37:415,01972,----,
2025-07-28,17:44:37:524,02052,----,
2025-07-28,17:44:37:635,02087,----,
2025-07-28,17:44:37:744,02162,----,
2025-07-28,17:44:37:852,02227,----,
2025-07-28,17:44:37:961,02260,----,
2025-07-28,17:44:38:069,02309,----,
2025-07-28,17:44:38:177,02337,----,
2025-07-28,17:44:38:300,02388,----,
2025-07-28,17:44:38:411,02405,----,
2025-07-28,17:44:38:519,02441,----,
2025-07-28,17:44:38:627,02416,----,
2025-07-28,17:44:38:735,02317,----,
2025-07-28,17:44:38:843,02317,----,
2025-07-28,17:44:38:943,02423,----,
2025-07-28,17:44:39:062,02218,----,
2025-07-28,17:44:39:171,01023,----,
2025-07-28,17:44:39:280,00921,----,
2025-07-28,17:44:39:387,00895,----,
2025-07-28,17:44:39:489,00975,----,
2025-07-28,17:44:39:602,01297,----,
2025-07-28,17:44:39:710,01444,----,
2025-07-28,17:44:39:819,01546,----,
2025-07-28,17:44:39:929,01478,----,
2025-07-28,17:44:40:037,00931,----,
2025-07-28,17:44:40:160,00883,----,
2025-07-28,17:44:40:268,00882,----,
2025-07-28,17:44:40:378,00903,----,
2025-07-28,17:44:40:488,00941,----,
2025-07-28,17:44:40:594,00941,----,
2025-07-28,17:44:40:703,00941,----,
2025-07-28,17:44:40:809,00942,----,
2025-07-28,17:44:40:919,00956,----,
2025-07-28,17:44:41:026,00956,----,
2025-07-28,17:44:41:132,00957,----,
2025-07-28,17:44:41:241,00958,----,
2025-07-28,17:44:41:350,01085,----,
2025-07-28,17:44:41:458,01436,----,
2025-07-28,17:44:41:567,01581,----,
2025-07-28,17:44:41:678,01692,----,
2025-07-28,17:44:41:800,01787,----,
2025-07-28,17:44:41:909,01874,----,
2025-07-28,17:44:42:009,01965,----,
2025-07-28,17:44:42:127,02051,----,
2025-07-28,17:44:42:234,02112,----,
2025-07-28,17:44:42:342,02142,----,
2025-07-28,17:44:42:450,02195,----,
2025-07-28,17:44:42:559,02256,----,
2025-07-28,17:44:42:661,02299,----,
2025-07-28,17:44:42:770,02329,----,
2025-07-28,17:44:42:886,02382,----,
2025-07-28,17:44:42:994,02413,----,
2025-07-28,17:44:43:103,02430,----,
2025-07-28,17:44:43:211,02474,----,
2025-07-28,17:44:43:320,02493,----,
2025-07-28,17:44:43:428,02494,----,
2025-07-28,17:44:43:552,02479,----,
2025-07-28,17:44:43:662,02260,----,
2025-07-28,17:44:43:785,02169,----,
2025-07-28,17:44:43:895,01348,----,
2025-07-28,17:44:44:004,01023,----,
2025-07-28,17:44:44:110,00937,----,
2025-07-28,17:44:44:219,01120,----,
2025-07-28,17:44:44:327,01429,----,
2025-07-28,17:44:44:437,01554,----,
2025-07-28,17:44:44:546,01643,----,
2025-07-28,17:44:44:653,01028,----,
2025-07-28,17:44:44:758,00946,----,
2025-07-28,17:44:44:869,00967,----,
2025-07-28,17:44:44:975,00991,----,
2025-07-28,17:44:45:085,01008,----,
2025-07-28,17:44:45:195,00982,----,
2025-07-28,17:44:45:302,00981,----,
2025-07-28,17:44:45:412,00981,----,
2025-07-28,17:44:45:534,00980,----,
2025-07-28,17:44:45:642,00962,----,
2025-07-28,17:44:45:751,01038,----,
2025-07-28,17:44:45:859,01325,----,
