DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,19:07:52:879,03164,----,
2025-07-28,19:07:52:975,03165,----,
2025-07-28,19:07:53:094,03166,----,
2025-07-28,19:07:53:196,03166,----,
2025-07-28,19:07:53:311,03167,----,
2025-07-28,19:07:53:412,03168,----,
2025-07-28,19:07:53:528,03183,----,
2025-07-28,19:07:53:640,03182,----,
2025-07-28,19:07:53:745,03182,----,
2025-07-28,19:07:53:860,03181,----,
2025-07-28,19:07:53:961,03180,----,
2025-07-28,19:07:54:079,03179,----,
2025-07-28,19:07:54:179,03179,----,
2025-07-28,19:07:54:295,03178,----,
2025-07-28,19:07:54:411,03178,----,
2025-07-28,19:07:54:512,03195,----,
2025-07-28,19:07:54:628,03195,----,
2025-07-28,19:07:54:726,03167,----,
2025-07-28,19:07:54:842,03186,----,
2025-07-28,19:07:54:944,03186,----,
2025-07-28,19:07:55:062,03187,----,
2025-07-28,19:07:55:163,03207,----,
2025-07-28,19:07:55:278,03207,----,
2025-07-28,19:07:55:389,03207,----,
2025-07-28,19:07:55:493,03223,----,
2025-07-28,19:07:55:602,03222,----,
2025-07-28,19:07:55:723,03222,----,
2025-07-28,19:07:55:833,03222,----,
2025-07-28,19:07:55:943,03222,----,
2025-07-28,19:07:56:052,03221,----,
2025-07-28,19:07:56:175,03220,----,
2025-07-28,19:07:56:275,03220,----,
2025-07-28,19:07:56:391,00771,----,
2025-07-28,19:07:56:491,00704,----,
2025-07-28,19:07:56:609,00744,----,
2025-07-28,19:07:56:710,00711,----,
2025-07-28,19:07:56:825,00711,----,
2025-07-28,19:07:56:928,00729,----,
2025-07-28,19:07:57:042,00740,----,
2025-07-28,19:07:57:152,00721,----,
2025-07-28,19:07:57:261,00722,----,
2025-07-28,19:07:57:369,00737,----,
2025-07-28,19:07:57:479,00749,----,
2025-07-28,19:07:57:598,00749,----,
2025-07-28,19:07:57:696,00721,----,
2025-07-28,19:07:57:805,00656,----,
2025-07-28,19:07:57:914,00656,----,
2025-07-28,19:07:58:024,00691,----,
2025-07-28,19:07:58:133,01085,----,
2025-07-28,19:07:58:241,01513,----,
2025-07-28,19:07:58:350,01729,----,
2025-07-28,19:07:58:460,01889,----,
2025-07-28,19:07:58:568,01970,----,
2025-07-28,19:07:58:679,02150,----,
2025-07-28,19:07:58:787,02246,----,
2025-07-28,19:07:58:896,02322,----,
2025-07-28,19:07:59:011,02365,----,
2025-07-28,19:07:59:128,02450,----,
2025-07-28,19:07:59:231,02513,----,
2025-07-28,19:07:59:343,02547,----,
2025-07-28,19:07:59:447,02601,----,
2025-07-28,19:07:59:560,02625,----,
2025-07-28,19:07:59:665,02674,----,
2025-07-28,19:07:59:777,02680,----,
2025-07-28,19:07:59:882,01056,----,
2025-07-28,19:07:59:993,00963,----,
2025-07-28,19:08:00:103,00925,----,
2025-07-28,19:08:00:211,00907,----,
2025-07-28,19:08:00:332,00908,----,
2025-07-28,19:08:00:429,00921,----,
2025-07-28,19:08:00:548,00921,----,
2025-07-28,19:08:00:645,00904,----,
2025-07-28,19:08:00:756,00879,----,
2025-07-28,19:08:00:866,00813,----,
2025-07-28,19:08:00:982,00786,----,
2025-07-28,19:08:01:096,00720,----,
2025-07-28,19:08:01:199,00719,----,
2025-07-28,19:08:01:302,00704,----,
2025-07-28,19:08:01:418,00704,----,
2025-07-28,19:08:01:533,00705,----,
2025-07-28,19:08:01:633,00791,----,
2025-07-28,19:08:01:752,01114,----,
2025-07-28,19:08:01:854,01483,----,
2025-07-28,19:08:01:968,01686,----,
2025-07-28,19:08:02:073,01820,----,
2025-07-28,19:08:02:185,01930,----,
2025-07-28,19:08:02:290,02069,----,
2025-07-28,19:08:02:400,02144,----,
2025-07-28,19:08:02:507,02178,----,
2025-07-28,19:08:02:617,02268,----,
2025-07-28,19:08:02:723,02313,----,
2025-07-28,19:08:02:833,02392,----,
2025-07-28,19:08:02:958,02462,----,
2025-07-28,19:08:03:060,02494,----,
2025-07-28,19:08:03:161,02524,----,
2025-07-28,19:08:03:277,02557,----,
2025-07-28,19:08:03:385,02610,----,
2025-07-28,19:08:03:494,02636,----,
2025-07-28,19:08:03:608,01287,----,
2025-07-28,19:08:03:716,01051,----,
2025-07-28,19:08:03:825,01111,----,
2025-07-28,19:08:03:932,01081,----,
2025-07-28,19:08:04:041,00949,----,
2025-07-28,19:08:04:150,00949,----,
2025-07-28,19:08:04:258,00969,----,
2025-07-28,19:08:04:365,00984,----,
2025-07-28,19:08:04:475,00984,----,
2025-07-28,19:08:04:583,00962,----,
2025-07-28,19:08:04:695,00962,----,
2025-07-28,19:08:04:811,00914,----,
2025-07-28,19:08:04:912,00888,----,
2025-07-28,19:08:05:029,00815,----,
2025-07-28,19:08:05:139,00788,----,
2025-07-28,19:08:05:247,00744,----,
2025-07-28,19:08:05:356,00723,----,
2025-07-28,19:08:05:464,00724,----,
2025-07-28,19:08:05:572,00804,----,
2025-07-28,19:08:05:681,01293,----,
2025-07-28,19:08:05:787,01536,----,
2025-07-28,19:08:05:896,01701,----,
2025-07-28,19:08:06:006,01829,----,
2025-07-28,19:08:06:121,01922,----,
2025-07-28,19:08:06:223,02005,----,
2025-07-28,19:08:06:340,02089,----,
2025-07-28,19:08:06:451,02169,----,
