DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,19:59:49:080,02630,----,
2025-07-28,19:59:49:175,02644,----,
2025-07-28,19:59:49:275,02658,----,
2025-07-28,19:59:49:390,02658,----,
2025-07-28,19:59:49:492,02658,----,
2025-07-28,19:59:49:608,02671,----,
2025-07-28,19:59:49:711,02672,----,
2025-07-28,19:59:49:824,02697,----,
2025-07-28,19:59:49:929,02713,----,
2025-07-28,19:59:50:042,02725,----,
2025-07-28,19:59:50:148,02725,----,
2025-07-28,19:59:50:262,02726,----,
2025-07-28,19:59:50:365,02745,----,
2025-07-28,19:59:50:478,02674,----,
2025-07-28,19:59:50:589,02674,----,
2025-07-28,19:59:50:697,02727,----,
2025-07-28,19:59:50:805,02758,----,
2025-07-28,19:59:50:916,02776,----,
2025-07-28,19:59:51:023,02760,----,
2025-07-28,19:59:51:132,02760,----,
2025-07-28,19:59:51:239,02760,----,
2025-07-28,19:59:51:362,02725,----,
2025-07-28,19:59:51:462,02610,----,
2025-07-28,19:59:51:577,02422,----,
2025-07-28,19:59:51:677,02400,----,
2025-07-28,19:59:51:795,02342,----,
2025-07-28,19:59:51:896,02267,----,
2025-07-28,19:59:52:013,00676,----,
2025-07-28,19:59:52:120,01176,----,
2025-07-28,19:59:52:228,01371,----,
2025-07-28,19:59:52:338,00804,----,
2025-07-28,19:59:52:447,01181,----,
2025-07-28,19:59:52:553,01337,----,
2025-07-28,19:59:52:663,01423,----,
2025-07-28,19:59:52:772,00616,----,
2025-07-28,19:59:52:887,00519,----,
2025-07-28,19:59:53:003,00518,----,
2025-07-28,19:59:53:103,00538,----,
2025-07-28,19:59:53:219,00538,----,
2025-07-28,19:59:53:319,00572,----,
2025-07-28,19:59:53:436,00572,----,
2025-07-28,19:59:53:536,00584,----,
2025-07-28,19:59:53:653,00584,----,
2025-07-28,19:59:53:760,00585,----,
2025-07-28,19:59:53:870,00586,----,
2025-07-28,19:59:53:977,00586,----,
2025-07-28,19:59:54:083,00586,----,
2025-07-28,19:59:54:192,00587,----,
2025-07-28,19:59:54:305,00632,----,
2025-07-28,19:59:54:421,00736,----,
2025-07-28,19:59:54:521,01010,----,
2025-07-28,19:59:54:640,01168,----,
2025-07-28,19:59:54:740,01288,----,
2025-07-28,19:59:54:858,01322,----,
2025-07-28,19:59:54:965,01421,----,
2025-07-28,19:59:55:073,01455,----,
2025-07-28,19:59:55:182,00712,----,
2025-07-28,19:59:55:292,00800,----,
2025-07-28,19:59:55:401,01103,----,
2025-07-28,19:59:55:510,01197,----,
2025-07-28,19:59:55:614,00728,----,
2025-07-28,19:59:55:727,01026,----,
2025-07-28,19:59:55:838,01175,----,
2025-07-28,19:59:55:945,01260,----,
2025-07-28,19:59:56:056,00754,----,
2025-07-28,19:59:56:163,00658,----,
2025-07-28,19:59:56:271,00639,----,
2025-07-28,19:59:56:380,00639,----,
2025-07-28,19:59:56:489,00640,----,
2025-07-28,19:59:56:611,00652,----,
2025-07-28,19:59:56:715,00652,----,
2025-07-28,19:59:56:829,00666,----,
2025-07-28,19:59:56:931,00665,----,
2025-07-28,19:59:57:045,00652,----,
2025-07-28,19:59:57:148,00651,----,
2025-07-28,19:59:57:265,00651,----,
2025-07-28,19:59:57:367,00638,----,
2025-07-28,19:59:57:482,00638,----,
2025-07-28,19:59:57:586,00627,----,
2025-07-28,19:59:57:699,00627,----,
2025-07-28,19:59:57:805,00734,----,
2025-07-28,19:59:57:917,00902,----,
2025-07-28,19:59:58:021,01027,----,
2025-07-28,19:59:58:133,01144,----,
2025-07-28,19:59:58:257,01248,----,
2025-07-28,19:59:58:366,01325,----,
2025-07-28,19:59:58:487,00774,----,
2025-07-28,19:59:58:586,00712,----,
2025-07-28,19:59:58:705,00936,----,
2025-07-28,19:59:58:806,01100,----,
2025-07-28,19:59:58:920,00719,----,
2025-07-28,19:59:59:023,00963,----,
2025-07-28,19:59:59:138,01113,----,
2025-07-28,19:59:59:240,00806,----,
2025-07-28,19:59:59:354,00678,----,
2025-07-28,19:59:59:463,00661,----,
2025-07-28,19:59:59:570,00661,----,
2025-07-28,19:59:59:678,00662,----,
2025-07-28,19:59:59:794,00662,----,
2025-07-28,19:59:59:909,00663,----,
2025-07-28,20:00:00:011,00663,----,
2025-07-28,20:00:00:128,00662,----,
2025-07-28,20:00:00:224,00662,----,
2025-07-28,20:00:00:346,00661,----,
2025-07-28,20:00:00:446,00648,----,
2025-07-28,20:00:00:563,00647,----,
2025-07-28,20:00:00:664,00633,----,
2025-07-28,20:00:00:781,00633,----,
2025-07-28,20:00:00:880,00744,----,
2025-07-28,20:00:00:996,00892,----,
2025-07-28,20:00:01:107,01027,----,
2025-07-28,20:00:01:212,01144,----,
2025-07-28,20:00:01:320,01220,----,
2025-07-28,20:00:01:430,01244,----,
2025-07-28,20:00:01:538,00611,----,
2025-07-28,20:00:01:647,00676,----,
2025-07-28,20:00:01:754,00964,----,
2025-07-28,20:00:01:868,00739,----,
2025-07-28,20:00:01:986,00718,----,
2025-07-28,20:00:02:086,00958,----,
2025-07-28,20:00:02:202,01087,----,
2025-07-28,20:00:02:312,00746,----,
2025-07-28,20:00:02:420,00663,----,
2025-07-28,20:00:02:530,00663,----,
2025-07-28,20:00:02:634,00663,----,
