DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,20:41:16:030,02549,----,
2025-07-28,20:41:16:138,02563,----,
2025-07-28,20:41:16:246,02563,----,
2025-07-28,20:41:16:354,02584,----,
2025-07-28,20:41:16:460,02600,----,
2025-07-28,20:41:16:570,02600,----,
2025-07-28,20:41:16:677,02600,----,
2025-07-28,20:41:16:787,02585,----,
2025-07-28,20:41:16:910,02568,----,
2025-07-28,20:41:17:019,02567,----,
2025-07-28,20:41:17:127,02551,----,
2025-07-28,20:41:17:234,02551,----,
2025-07-28,20:41:17:342,02551,----,
2025-07-28,20:41:17:450,02552,----,
2025-07-28,20:41:17:558,02568,----,
2025-07-28,20:41:17:666,02582,----,
2025-07-28,20:41:17:775,02583,----,
2025-07-28,20:41:17:882,02584,----,
2025-07-28,20:41:17:993,02584,----,
2025-07-28,20:41:18:100,02585,----,
2025-07-28,20:41:18:210,02586,----,
2025-07-28,20:41:18:320,02587,----,
2025-07-28,20:41:18:430,02599,----,
2025-07-28,20:41:18:537,02599,----,
2025-07-28,20:41:18:647,02538,----,
2025-07-28,20:41:18:768,00902,----,
2025-07-28,20:41:18:876,00805,----,
2025-07-28,20:41:18:985,00844,----,
2025-07-28,20:41:19:086,00878,----,
2025-07-28,20:41:19:201,00922,----,
2025-07-28,20:41:19:309,00941,----,
2025-07-28,20:41:19:419,00960,----,
2025-07-28,20:41:19:528,00960,----,
2025-07-28,20:41:19:637,00829,----,
2025-07-28,20:41:19:746,00733,----,
2025-07-28,20:41:19:853,00775,----,
2025-07-28,20:41:19:961,01187,----,
2025-07-28,20:41:20:069,01389,----,
2025-07-28,20:41:20:178,01526,----,
2025-07-28,20:41:20:300,01635,----,
2025-07-28,20:41:20:409,01710,----,
2025-07-28,20:41:20:517,00861,----,
2025-07-28,20:41:20:625,00840,----,
2025-07-28,20:41:20:734,00862,----,
2025-07-28,20:41:20:844,01236,----,
2025-07-28,20:41:20:953,01434,----,
2025-07-28,20:41:21:062,01558,----,
2025-07-28,20:41:21:171,01645,----,
2025-07-28,20:41:21:278,01688,----,
2025-07-28,20:41:21:386,01734,----,
2025-07-28,20:41:21:494,01815,----,
2025-07-28,20:41:21:602,01865,----,
2025-07-28,20:41:21:711,01890,----,
2025-07-28,20:41:21:818,01922,----,
2025-07-28,20:41:21:928,01948,----,
2025-07-28,20:41:22:037,01149,----,
2025-07-28,20:41:22:160,01017,----,
2025-07-28,20:41:22:268,00991,----,
2025-07-28,20:41:22:375,01007,----,
2025-07-28,20:41:22:482,01022,----,
2025-07-28,20:41:22:590,01023,----,
2025-07-28,20:41:22:699,00987,----,
2025-07-28,20:41:22:809,00858,----,
2025-07-28,20:41:22:918,00826,----,
2025-07-28,20:41:23:027,00754,----,
2025-07-28,20:41:23:135,00753,----,
2025-07-28,20:41:23:243,00780,----,
2025-07-28,20:41:23:351,01113,----,
2025-07-28,20:41:23:458,01314,----,
2025-07-28,20:41:23:582,01446,----,
2025-07-28,20:41:23:691,01548,----,
2025-07-28,20:41:23:798,00914,----,
2025-07-28,20:41:23:907,01106,----,
2025-07-28,20:41:24:015,01357,----,
2025-07-28,20:41:24:118,01493,----,
2025-07-28,20:41:24:232,01583,----,
2025-07-28,20:41:24:339,01659,----,
2025-07-28,20:41:24:448,01727,----,
2025-07-28,20:41:24:555,01771,----,
2025-07-28,20:41:24:663,01793,----,
2025-07-28,20:41:24:786,01822,----,
2025-07-28,20:41:24:894,01882,----,
2025-07-28,20:41:25:003,01905,----,
2025-07-28,20:41:25:111,01943,----,
2025-07-28,20:41:25:220,01971,----,
2025-07-28,20:41:25:327,01999,----,
2025-07-28,20:41:25:436,01999,----,
2025-07-28,20:41:25:544,02022,----,
2025-07-28,20:41:25:652,02022,----,
2025-07-28,20:41:25:762,00979,----,
2025-07-28,20:41:25:870,00811,----,
2025-07-28,20:41:25:978,00826,----,
2025-07-28,20:41:26:087,00842,----,
2025-07-28,20:41:26:197,00858,----,
2025-07-28,20:41:26:307,00875,----,
2025-07-28,20:41:26:415,00876,----,
2025-07-28,20:41:26:522,00895,----,
2025-07-28,20:41:26:631,00895,----,
2025-07-28,20:41:26:740,00792,----,
2025-07-28,20:41:26:849,00753,----,
2025-07-28,20:41:26:971,00753,----,
2025-07-28,20:41:27:069,01151,----,
2025-07-28,20:41:27:187,01351,----,
2025-07-28,20:41:27:294,01470,----,
2025-07-28,20:41:27:402,01572,----,
2025-07-28,20:41:27:511,01615,----,
2025-07-28,20:41:27:615,00868,----,
2025-07-28,20:41:27:729,00807,----,
2025-07-28,20:41:27:838,00916,----,
2025-07-28,20:41:27:948,01242,----,
2025-07-28,20:41:28:056,01403,----,
2025-07-28,20:41:28:165,01506,----,
2025-07-28,20:41:28:272,01615,----,
2025-07-28,20:41:28:380,01655,----,
2025-07-28,20:41:28:489,01708,----,
2025-07-28,20:41:28:600,01734,----,
2025-07-28,20:41:28:722,01758,----,
2025-07-28,20:41:28:830,01806,----,
2025-07-28,20:41:28:937,01846,----,
2025-07-28,20:41:29:044,01846,----,
2025-07-28,20:41:29:153,01847,----,
2025-07-28,20:41:29:263,01827,----,
2025-07-28,20:41:29:372,01272,----,
2025-07-28,20:41:29:482,00849,----,
2025-07-28,20:41:29:590,00829,----,
