DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,21:41:33:397,02631,----,
2025-07-28,21:41:33:506,02631,----,
2025-07-28,21:41:33:614,02632,----,
2025-07-28,21:41:33:737,02632,----,
2025-07-28,21:41:33:845,02632,----,
2025-07-28,21:41:33:953,02652,----,
2025-07-28,21:41:34:060,02652,----,
2025-07-28,21:41:34:168,02669,----,
2025-07-28,21:41:34:277,02669,----,
2025-07-28,21:41:34:387,02670,----,
2025-07-28,21:41:34:495,02683,----,
2025-07-28,21:41:34:604,02682,----,
2025-07-28,21:41:34:711,02682,----,
2025-07-28,21:41:34:820,02682,----,
2025-07-28,21:41:34:930,02682,----,
2025-07-28,21:41:35:039,02683,----,
2025-07-28,21:41:35:147,02703,----,
2025-07-28,21:41:35:256,02703,----,
2025-07-28,21:41:35:364,02703,----,
2025-07-28,21:41:35:487,02704,----,
2025-07-28,21:41:35:596,02705,----,
2025-07-28,21:41:35:705,00956,----,
2025-07-28,21:41:35:812,00848,----,
2025-07-28,21:41:35:923,00847,----,
2025-07-28,21:41:36:030,00799,----,
2025-07-28,21:41:36:139,00799,----,
2025-07-28,21:41:36:246,00776,----,
2025-07-28,21:41:36:355,00730,----,
2025-07-28,21:41:36:463,00718,----,
2025-07-28,21:41:36:572,00704,----,
2025-07-28,21:41:36:680,00704,----,
2025-07-28,21:41:36:789,00687,----,
2025-07-28,21:41:36:898,00672,----,
2025-07-28,21:41:37:005,00657,----,
2025-07-28,21:41:37:127,00656,----,
2025-07-28,21:41:37:236,00641,----,
2025-07-28,21:41:37:343,00626,----,
2025-07-28,21:41:37:452,00606,----,
2025-07-28,21:41:37:561,00593,----,
2025-07-28,21:41:37:669,00561,----,
2025-07-28,21:41:37:775,00561,----,
2025-07-28,21:41:37:887,00546,----,
2025-07-28,21:41:37:994,00545,----,
2025-07-28,21:41:38:100,00503,----,
2025-07-28,21:41:38:208,00502,----,
2025-07-28,21:41:38:317,00502,----,
2025-07-28,21:41:38:440,00501,----,
2025-07-28,21:41:38:548,00500,----,
2025-07-28,21:41:38:657,00500,----,
2025-07-28,21:41:38:767,00500,----,
2025-07-28,21:41:38:876,00519,----,
2025-07-28,21:41:38:984,00534,----,
2025-07-28,21:41:39:093,00534,----,
2025-07-28,21:41:39:200,00548,----,
2025-07-28,21:41:39:309,00549,----,
2025-07-28,21:41:39:417,00549,----,
2025-07-28,21:41:39:525,00566,----,
2025-07-28,21:41:39:632,00641,----,
2025-07-28,21:41:39:754,00681,----,
2025-07-28,21:41:39:862,00704,----,
2025-07-28,21:41:39:971,00719,----,
2025-07-28,21:41:40:079,00719,----,
2025-07-28,21:41:40:186,00735,----,
2025-07-28,21:41:40:293,00735,----,
2025-07-28,21:41:40:401,00755,----,
2025-07-28,21:41:40:508,00773,----,
2025-07-28,21:41:40:618,00774,----,
2025-07-28,21:41:40:726,00808,----,
2025-07-28,21:41:40:835,00809,----,
2025-07-28,21:41:40:944,00829,----,
2025-07-28,21:41:41:052,00814,----,
2025-07-28,21:41:41:175,00814,----,
2025-07-28,21:41:41:270,00815,----,
2025-07-28,21:41:41:380,00827,----,
2025-07-28,21:41:41:503,00827,----,
2025-07-28,21:41:41:611,00876,----,
2025-07-28,21:41:41:717,00918,----,
2025-07-28,21:41:41:825,00921,----,
2025-07-28,21:41:41:934,00929,----,
2025-07-28,21:41:42:041,00961,----,
2025-07-28,21:41:42:149,01025,----,
2025-07-28,21:41:42:255,01064,----,
2025-07-28,21:41:42:365,00902,----,
2025-07-28,21:41:42:473,00789,----,
2025-07-28,21:41:42:583,00727,----,
2025-07-28,21:41:42:693,00801,----,
2025-07-28,21:41:42:816,01003,----,
2025-07-28,21:41:42:925,01423,----,
2025-07-28,21:41:43:034,01671,----,
2025-07-28,21:41:43:144,01774,----,
2025-07-28,21:41:43:241,01877,----,
2025-07-28,21:41:43:360,01931,----,
2025-07-28,21:41:43:466,02042,----,
2025-07-28,21:41:43:576,02084,----,
2025-07-28,21:41:43:682,02167,----,
2025-07-28,21:41:43:791,02206,----,
2025-07-28,21:41:43:898,02239,----,
2025-07-28,21:41:44:006,02283,----,
2025-07-28,21:41:44:114,02330,----,
2025-07-28,21:41:44:224,02364,----,
2025-07-28,21:41:44:347,02387,----,
2025-07-28,21:41:44:454,02414,----,
2025-07-28,21:41:44:561,02434,----,
2025-07-28,21:41:44:669,02468,----,
2025-07-28,21:41:44:776,02485,----,
2025-07-28,21:41:44:884,02507,----,
2025-07-28,21:41:44:992,02527,----,
2025-07-28,21:41:45:099,02543,----,
2025-07-28,21:41:45:220,02558,----,
2025-07-28,21:41:45:318,02578,----,
2025-07-28,21:41:45:436,02579,----,
2025-07-28,21:41:45:544,02615,----,
2025-07-28,21:41:45:652,02631,----,
2025-07-28,21:41:45:761,02632,----,
2025-07-28,21:41:45:871,02655,----,
2025-07-28,21:41:45:977,02653,----,
2025-07-28,21:41:46:087,00991,----,
2025-07-28,21:41:46:196,00821,----,
2025-07-28,21:41:46:303,00820,----,
2025-07-28,21:41:46:424,00797,----,
2025-07-28,21:41:46:533,00753,----,
2025-07-28,21:41:46:642,00710,----,
2025-07-28,21:41:46:750,00695,----,
2025-07-28,21:41:46:858,00694,----,
2025-07-28,21:41:46:966,00677,----,
