DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-29,13:53:43:781,03764,----,
2025-07-29,13:53:43:889,03789,----,
2025-07-29,13:53:43:998,03811,----,
2025-07-29,13:53:44:107,03811,----,
2025-07-29,13:53:44:216,03774,----,
2025-07-29,13:53:44:323,03733,----,
2025-07-29,13:53:44:433,03734,----,
2025-07-29,13:53:44:543,03805,----,
2025-07-29,13:53:44:652,03835,----,
2025-07-29,13:53:44:762,03834,----,
2025-07-29,13:53:44:870,03761,----,
2025-07-29,13:53:44:979,03688,----,
2025-07-29,13:53:45:088,03615,----,
2025-07-29,13:53:45:196,03576,----,
2025-07-29,13:53:45:304,03517,----,
2025-07-29,13:53:45:411,02663,----,
2025-07-29,13:53:45:521,01550,----,
2025-07-29,13:53:45:636,01418,----,
2025-07-29,13:53:45:751,01418,----,
2025-07-29,13:53:45:859,01418,----,
2025-07-29,13:53:45:968,01469,----,
2025-07-29,13:53:46:076,01909,----,
2025-07-29,13:53:46:178,02211,----,
2025-07-29,13:53:46:294,02198,----,
2025-07-29,13:53:46:404,01446,----,
2025-07-29,13:53:46:515,01391,----,
2025-07-29,13:53:46:623,01852,----,
2025-07-29,13:53:46:732,02090,----,
2025-07-29,13:53:46:840,02080,----,
2025-07-29,13:53:46:947,01541,----,
2025-07-29,13:53:47:056,01476,----,
2025-07-29,13:53:47:164,01452,----,
2025-07-29,13:53:47:270,01552,----,
2025-07-29,13:53:47:380,01985,----,
2025-07-29,13:53:47:503,02133,----,
2025-07-29,13:53:47:611,02252,----,
2025-07-29,13:53:47:721,02288,----,
2025-07-29,13:53:47:829,02368,----,
2025-07-29,13:53:47:937,02412,----,
2025-07-29,13:53:48:048,02412,----,
2025-07-29,13:53:48:154,02369,----,
2025-07-29,13:53:48:263,02368,----,
2025-07-29,13:53:48:372,02350,----,
2025-07-29,13:53:48:480,02350,----,
2025-07-29,13:53:48:588,02349,----,
2025-07-29,13:53:48:696,01465,----,
2025-07-29,13:53:48:804,01317,----,
2025-07-29,13:53:48:913,01287,----,
2025-07-29,13:53:49:036,01287,----,
2025-07-29,13:53:49:144,01319,----,
2025-07-29,13:53:49:253,01399,----,
2025-07-29,13:53:49:363,01714,----,
2025-07-29,13:53:49:471,01349,----,
2025-07-29,13:53:49:579,01325,----,
2025-07-29,13:53:49:688,01309,----,
2025-07-29,13:53:49:795,01662,----,
2025-07-29,13:53:49:904,01812,----,
2025-07-29,13:53:50:013,01782,----,
2025-07-29,13:53:50:123,01314,----,
2025-07-29,13:53:50:229,01324,----,
2025-07-29,13:53:50:337,01325,----,
2025-07-29,13:53:50:446,01325,----,
2025-07-29,13:53:50:553,01460,----,
2025-07-29,13:53:50:663,01852,----,
2025-07-29,13:53:50:787,01991,----,
2025-07-29,13:53:50:895,02085,----,
2025-07-29,13:53:51:005,02170,----,
2025-07-29,13:53:51:115,02235,----,
2025-07-29,13:53:51:237,02252,----,
2025-07-29,13:53:51:348,02253,----,
2025-07-29,13:53:51:454,02253,----,
2025-07-29,13:53:51:564,02162,----,
2025-07-29,13:53:51:672,01351,----,
2025-07-29,13:53:51:781,01224,----,
2025-07-29,13:53:51:890,01225,----,
2025-07-29,13:53:51:997,01225,----,
2025-07-29,13:53:52:105,01266,----,
2025-07-29,13:53:52:213,01473,----,
2025-07-29,13:53:52:323,01715,----,
2025-07-29,13:53:52:433,01348,----,
2025-07-29,13:53:52:540,01262,----,
2025-07-29,13:53:52:648,01236,----,
2025-07-29,13:53:52:757,01563,----,
2025-07-29,13:53:52:865,01767,----,
2025-07-29,13:53:52:973,01853,----,
2025-07-29,13:53:53:098,01355,----,
2025-07-29,13:53:53:221,01300,----,
2025-07-29,13:53:53:329,01319,----,
2025-07-29,13:53:53:439,01298,----,
2025-07-29,13:53:53:548,01661,----,
2025-07-29,13:53:53:656,01887,----,
2025-07-29,13:53:53:764,01980,----,
2025-07-29,13:53:53:872,02009,----,
2025-07-29,13:53:53:982,02063,----,
2025-07-29,13:53:54:091,02113,----,
2025-07-29,13:53:54:199,02134,----,
2025-07-29,13:53:54:308,02156,----,
2025-07-29,13:53:54:417,02178,----,
2025-07-29,13:53:54:525,02178,----,
2025-07-29,13:53:54:632,02011,----,
2025-07-29,13:53:54:741,01415,----,
2025-07-29,13:53:54:848,01258,----,
2025-07-29,13:53:54:971,01204,----,
2025-07-29,13:53:55:080,01205,----,
2025-07-29,13:53:55:188,01237,----,
2025-07-29,13:53:55:298,01316,----,
2025-07-29,13:53:55:406,01621,----,
2025-07-29,13:53:55:515,01720,----,
2025-07-29,13:53:55:622,01331,----,
2025-07-29,13:53:55:730,01314,----,
2025-07-29,13:53:55:837,01280,----,
2025-07-29,13:53:55:945,01602,----,
2025-07-29,13:53:56:055,01822,----,
2025-07-29,13:53:56:163,01341,----,
2025-07-29,13:53:56:287,01253,----,
2025-07-29,13:53:56:380,01323,----,
2025-07-29,13:53:56:504,01299,----,
2025-07-29,13:53:56:613,01409,----,
2025-07-29,13:53:56:708,01773,----,
2025-07-29,13:53:56:818,01886,----,
2025-07-29,13:53:56:943,01954,----,
2025-07-29,13:53:57:051,01986,----,
2025-07-29,13:53:57:174,02043,----,
2025-07-29,13:53:57:281,02067,----,
2025-07-29,13:53:57:391,02107,----,
