DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,16:35:29:142,01113,----,
2025-07-28,16:35:29:251,01130,----,
2025-07-28,16:35:29:362,01147,----,
2025-07-28,16:35:29:470,01166,----,
2025-07-28,16:35:29:580,01167,----,
2025-07-28,16:35:29:687,01184,----,
2025-07-28,16:35:29:796,01207,----,
2025-07-28,16:35:29:902,01224,----,
2025-07-28,16:35:30:011,01244,----,
2025-07-28,16:35:30:118,01263,----,
2025-07-28,16:35:30:228,01264,----,
2025-07-28,16:35:30:335,01279,----,
2025-07-28,16:35:30:443,01294,----,
2025-07-28,16:35:30:566,01295,----,
2025-07-28,16:35:30:674,01315,----,
2025-07-28,16:35:30:783,01328,----,
2025-07-28,16:35:30:892,01328,----,
2025-07-28,16:35:31:002,01343,----,
2025-07-28,16:35:31:108,01360,----,
2025-07-28,16:35:31:216,01361,----,
2025-07-28,16:35:31:323,01383,----,
2025-07-28,16:35:31:431,01383,----,
2025-07-28,16:35:31:538,01395,----,
2025-07-28,16:35:31:648,01410,----,
2025-07-28,16:35:31:757,01411,----,
2025-07-28,16:35:31:880,01429,----,
2025-07-28,16:35:31:996,01444,----,
2025-07-28,16:35:32:112,01457,----,
2025-07-28,16:35:32:222,01468,----,
2025-07-28,16:35:32:331,01469,----,
2025-07-28,16:35:32:441,01483,----,
2025-07-28,16:35:32:551,01497,----,
2025-07-28,16:35:32:658,01497,----,
2025-07-28,16:35:32:765,01513,----,
2025-07-28,16:35:32:873,01514,----,
2025-07-28,16:35:32:983,01529,----,
2025-07-28,16:35:33:091,01529,----,
2025-07-28,16:35:33:199,00941,----,
2025-07-28,16:35:33:305,00627,----,
2025-07-28,16:35:33:417,00500,----,
2025-07-28,16:35:33:525,00417,----,
2025-07-28,16:35:33:633,00557,----,
2025-07-28,16:35:33:742,00734,----,
2025-07-28,16:35:33:852,00783,----,
2025-07-28,16:35:33:961,00908,----,
2025-07-28,16:35:34:070,00950,----,
2025-07-28,16:35:34:180,01095,----,
2025-07-28,16:35:34:291,01166,----,
2025-07-28,16:35:34:398,01197,----,
2025-07-28,16:35:34:507,01226,----,
2025-07-28,16:35:34:615,01256,----,
2025-07-28,16:35:34:737,01275,----,
2025-07-28,16:35:34:846,01293,----,
2025-07-28,16:35:34:953,01305,----,
2025-07-28,16:35:35:063,01306,----,
2025-07-28,16:35:35:171,01322,----,
2025-07-28,16:35:35:281,01322,----,
