DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-09,14:22:57:143,01143,----,
2025-07-09,14:22:57:257,01147,----,
2025-07-09,14:22:57:360,01146,----,
2025-07-09,14:22:57:473,01146,----,
2025-07-09,14:22:57:587,01134,----,
2025-07-09,14:22:57:691,01148,----,
2025-07-09,14:22:57:803,01152,----,
2025-07-09,14:22:57:916,01139,----,
2025-07-09,14:22:58:020,01119,----,
2025-07-09,14:22:58:133,01065,----,
2025-07-09,14:22:58:236,00966,----,
2025-07-09,14:22:58:353,00893,----,
2025-07-09,14:22:58:463,00813,----,
2025-07-09,14:22:58:565,00759,----,
2025-07-09,14:22:58:678,00709,----,
2025-07-09,14:22:58:781,00674,----,
2025-07-09,14:22:58:895,00645,----,
2025-07-09,14:22:59:010,00625,----,
2025-07-09,14:22:59:114,00618,----,
2025-07-09,14:22:59:227,00616,----,
2025-07-09,14:22:59:331,00627,----,
2025-07-09,14:22:59:445,00648,----,
2025-07-09,14:22:59:547,00646,----,
2025-07-09,14:22:59:660,00645,----,
2025-07-09,14:22:59:773,00647,----,
2025-07-09,14:22:59:876,00655,----,
2025-07-09,14:22:59:989,00664,----,
2025-07-09,14:23:00:104,00674,----,
2025-07-09,14:23:00:205,00690,----,
2025-07-09,14:23:00:319,00704,----,
2025-07-09,14:23:00:422,00729,----,
2025-07-09,14:23:00:536,00753,----,
2025-07-09,14:23:00:649,00786,----,
2025-07-09,14:23:00:752,00825,----,
2025-07-09,14:23:00:865,00865,----,
2025-07-09,14:23:00:969,00912,----,
2025-07-09,14:23:01:083,00953,----,
2025-07-09,14:23:01:196,00995,----,
2025-07-09,14:23:01:300,01026,----,
2025-07-09,14:23:01:415,01047,----,
2025-07-09,14:23:01:517,01070,----,
2025-07-09,14:23:01:630,01080,----,
2025-07-09,14:23:01:741,01092,----,
2025-07-09,14:23:01:845,01096,----,
2025-07-09,14:23:01:958,01101,----,
2025-07-09,14:23:02:071,01101,----,
2025-07-09,14:23:02:175,01093,----,
2025-07-09,14:23:02:288,01076,----,
2025-07-09,14:23:02:392,01050,----,
2025-07-09,14:23:02:504,01018,----,
2025-07-09,14:23:02:611,00979,----,
2025-07-09,14:23:02:722,00928,----,
2025-07-09,14:23:02:834,00864,----,
2025-07-09,14:23:02:947,00810,----,
2025-07-09,14:23:03:050,00771,----,
2025-07-09,14:23:03:163,00741,----,
2025-07-09,14:23:03:266,00716,----,
2025-07-09,14:23:03:379,00702,----,
2025-07-09,14:23:03:492,00689,----,
2025-07-09,14:23:03:598,00696,----,
2025-07-09,14:23:03:708,00699,----,
2025-07-09,14:23:03:820,00663,----,
2025-07-09,14:23:03:923,00656,----,
2025-07-09,14:23:04:036,00782,----,
2025-07-09,14:23:04:141,00721,----,
2025-07-09,14:23:04:253,00684,----,
2025-07-09,14:23:04:367,00737,----,
2025-07-09,14:23:04:480,01828,----,
2025-07-09,14:23:04:581,02330,----,
2025-07-09,14:23:04:695,01396,----,
2025-07-09,14:23:04:798,00832,----,
2025-07-09,14:23:04:911,00838,----,
2025-07-09,14:23:05:024,00839,----,
2025-07-09,14:23:05:128,00755,----,
2025-07-09,14:23:05:241,00810,----,
2025-07-09,14:23:05:356,00801,----,
2025-07-09,14:23:05:457,00858,----,
2025-07-09,14:23:05:570,01053,----,
2025-07-09,14:23:05:676,00910,----,
2025-07-09,14:23:05:787,00873,----,
2025-07-09,14:23:05:901,00858,----,
2025-07-09,14:23:06:004,00878,----,
2025-07-09,14:23:06:117,00954,----,
2025-07-09,14:23:06:219,00962,----,
2025-07-09,14:23:06:332,00988,----,
2025-07-09,14:23:06:444,00984,----,
2025-07-09,14:23:06:547,00996,----,
2025-07-09,14:23:06:659,00997,----,
2025-07-09,14:23:06:773,01072,----,
2025-07-09,14:23:06:875,01121,----,
2025-07-09,14:23:06:989,01175,----,
2025-07-09,14:23:07:101,01219,----,
