DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-09,16:05:39:616,00605,----,
2025-07-09,16:05:39:731,00610,----,
2025-07-09,16:05:39:833,00613,----,
2025-07-09,16:05:39:948,00617,----,
2025-07-09,16:05:40:049,00611,----,
2025-07-09,16:05:40:165,00616,----,
2025-07-09,16:05:40:268,00602,----,
2025-07-09,16:05:40:381,00600,----,
2025-07-09,16:05:40:494,00606,----,
2025-07-09,16:05:40:596,00605,----,
2025-07-09,16:05:40:709,00620,----,
2025-07-09,16:05:40:822,00644,----,
2025-07-09,16:05:40:927,00623,----,
2025-07-09,16:05:41:039,00616,----,
2025-07-09,16:05:41:142,00593,----,
2025-07-09,16:05:41:258,00614,----,
2025-07-09,16:05:41:360,00619,----,
2025-07-09,16:05:41:475,00616,----,
2025-07-09,16:05:41:581,00616,----,
2025-07-09,16:05:41:690,00598,----,
2025-07-09,16:05:41:803,00572,----,
2025-07-09,16:05:41:918,00569,----,
2025-07-09,16:05:42:020,00503,----,
2025-07-09,16:05:42:131,00461,----,
2025-07-09,16:05:42:245,00461,----,
2025-07-09,16:05:42:348,00373,----,
2025-07-09,16:05:42:461,00453,----,
2025-07-09,16:05:42:565,00464,----,
2025-07-09,16:05:42:678,00495,----,
2025-07-09,16:05:42:792,00529,----,
2025-07-09,16:05:42:894,00534,----,
2025-07-09,16:05:43:008,00449,----,
2025-07-09,16:05:43:111,00448,----,
2025-07-09,16:05:43:225,00293,----,
2025-07-09,16:05:43:329,00422,----,
2025-07-09,16:05:43:442,00466,----,
2025-07-09,16:05:43:556,00476,----,
2025-07-09,16:05:43:658,00501,----,
2025-07-09,16:05:43:772,00801,----,
2025-07-09,16:05:43:885,00493,----,
2025-07-09,16:05:43:987,00466,----,
2025-07-09,16:05:44:099,00467,----,
2025-07-09,16:05:44:213,00404,----,
2025-07-09,16:05:44:316,00350,----,
2025-07-09,16:05:44:428,00444,----,
2025-07-09,16:05:44:531,00467,----,
2025-07-09,16:05:44:644,00532,----,
2025-07-09,16:05:44:758,00710,----,
2025-07-09,16:05:44:862,00480,----,
2025-07-09,16:05:44:976,00471,----,
2025-07-09,16:05:45:087,00447,----,
2025-07-09,16:05:45:190,00268,----,
2025-07-09,16:05:45:305,00430,----,
2025-07-09,16:05:45:416,00457,----,
2025-07-09,16:05:45:520,00481,----,
2025-07-09,16:05:45:632,00698,----,
2025-07-09,16:05:45:744,00534,----,
2025-07-09,16:05:45:848,00446,----,
2025-07-09,16:05:45:962,00433,----,
2025-07-09,16:05:46:065,00306,----,
2025-07-09,16:05:46:179,00306,----,
2025-07-09,16:05:46:282,00421,----,
2025-07-09,16:05:46:395,00455,----,
2025-07-09,16:05:46:509,00514,----,
2025-07-09,16:05:46:611,00850,----,
2025-07-09,16:05:46:725,00480,----,
2025-07-09,16:05:46:838,00450,----,
2025-07-09,16:05:46:940,00487,----,
2025-07-09,16:05:47:053,00167,----,
2025-07-09,16:05:47:166,00389,----,
2025-07-09,16:05:47:269,00426,----,
2025-07-09,16:05:47:383,00459,----,
2025-07-09,16:05:47:485,00560,----,
2025-07-09,16:05:47:598,00725,----,
2025-07-09,16:05:47:710,00479,----,
2025-07-09,16:05:47:813,00441,----,
2025-07-09,16:05:47:929,00471,----,
2025-07-09,16:05:48:031,00184,----,
2025-07-09,16:05:48:145,00376,----,
2025-07-09,16:05:48:260,00418,----,
2025-07-09,16:05:48:363,00435,----,
2025-07-09,16:05:48:474,00492,----,
2025-07-09,16:05:48:581,00821,----,
2025-07-09,16:05:48:691,00527,----,
2025-07-09,16:05:48:806,00450,----,
2025-07-09,16:05:48:908,00516,----,
2025-07-09,16:05:49:023,00152,----,
2025-07-09,16:05:49:125,00385,----,
2025-07-09,16:05:49:239,00417,----,
2025-07-09,16:05:49:353,00428,----,
2025-07-09,16:05:49:457,00464,----,
2025-07-09,16:05:49:571,00804,----,
2025-07-09,16:05:49:672,00535,----,
2025-07-09,16:05:49:787,00460,----,
2025-07-09,16:05:49:899,00415,----,
2025-07-09,16:05:50:003,00159,----,
2025-07-09,16:05:50:115,00364,----,
2025-07-09,16:05:50:229,00402,----,
2025-07-09,16:05:50:333,00442,----,
2025-07-09,16:05:50:447,00544,----,
2025-07-09,16:05:50:551,00779,----,
2025-07-09,16:05:50:662,00469,----,
2025-07-09,16:05:50:766,00426,----,
2025-07-09,16:05:50:880,00432,----,
2025-07-09,16:05:50:992,00286,----,
2025-07-09,16:05:51:095,00373,----,
2025-07-09,16:05:51:209,00395,----,
2025-07-09,16:05:51:312,00415,----,
2025-07-09,16:05:51:425,00481,----,
2025-07-09,16:05:51:539,00823,----,
2025-07-09,16:05:51:641,00458,----,
2025-07-09,16:05:51:755,00432,----,
2025-07-09,16:05:51:869,00479,----,
2025-07-09,16:05:51:972,00099,----,
2025-07-09,16:05:52:080,00339,----,
2025-07-09,16:05:52:189,00382,----,
2025-07-09,16:05:52:301,00396,----,
2025-07-09,16:05:52:414,00421,----,
2025-07-09,16:05:52:516,00974,----,
2025-07-09,16:05:52:630,00557,----,
2025-07-09,16:05:52:743,00430,----,
2025-07-09,16:05:52:847,00393,----,
2025-07-09,16:05:52:960,00072,----,
2025-07-09,16:05:53:062,00382,----,
2025-07-09,16:05:53:174,00381,----,
