DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-09,17:05:18:022,00812,----,
2025-07-09,17:05:18:133,00813,----,
2025-07-09,17:05:18:236,00816,----,
2025-07-09,17:05:18:355,00816,----,
2025-07-09,17:05:18:463,00816,----,
2025-07-09,17:05:18:565,00815,----,
2025-07-09,17:05:18:673,00812,----,
2025-07-09,17:05:18:783,00812,----,
2025-07-09,17:05:18:897,00794,----,
2025-07-09,17:05:19:001,00731,----,
2025-07-09,17:05:19:114,00682,----,
2025-07-09,17:05:19:226,00643,----,
2025-07-09,17:05:19:329,00608,----,
2025-07-09,17:05:19:443,00571,----,
2025-07-09,17:05:19:554,00542,----,
2025-07-09,17:05:19:658,00532,----,
2025-07-09,17:05:19:772,00530,----,
2025-07-09,17:05:19:880,00528,----,
2025-07-09,17:05:19:987,00526,----,
2025-07-09,17:05:20:099,00521,----,
2025-07-09,17:05:20:212,00535,----,
2025-07-09,17:05:20:318,00541,----,
2025-07-09,17:05:20:431,00560,----,
2025-07-09,17:05:20:533,00597,----,
2025-07-09,17:05:20:660,00631,----,
2025-07-09,17:05:20:770,00680,----,
2025-07-09,17:05:20:883,00705,----,
2025-07-09,17:05:20:986,00732,----,
2025-07-09,17:05:21:100,00742,----,
2025-07-09,17:05:21:204,00757,----,
2025-07-09,17:05:21:318,00757,----,
2025-07-09,17:05:21:430,00769,----,
2025-07-09,17:05:21:532,00772,----,
2025-07-09,17:05:21:648,00772,----,
2025-07-09,17:05:21:761,00782,----,
2025-07-09,17:05:21:863,00789,----,
2025-07-09,17:05:21:976,00788,----,
2025-07-09,17:05:22:079,00798,----,
2025-07-09,17:05:22:192,00803,----,
2025-07-09,17:05:22:300,00786,----,
2025-07-09,17:05:22:414,00785,----,
2025-07-09,17:05:22:522,00712,----,
2025-07-09,17:05:22:635,00680,----,
2025-07-09,17:05:22:738,00653,----,
2025-07-09,17:05:22:852,00645,----,
2025-07-09,17:05:22:954,00631,----,
2025-07-09,17:05:23:068,00613,----,
2025-07-09,17:05:23:179,00608,----,
2025-07-09,17:05:23:284,00603,----,
2025-07-09,17:05:23:395,00596,----,
2025-07-09,17:05:23:500,00581,----,
2025-07-09,17:05:23:610,00571,----,
2025-07-09,17:05:23:726,00569,----,
2025-07-09,17:05:23:838,00566,----,
2025-07-09,17:05:23:939,00572,----,
2025-07-09,17:05:24:055,00572,----,
2025-07-09,17:05:24:166,00581,----,
2025-07-09,17:05:24:270,00602,----,
2025-07-09,17:05:24:384,00614,----,
2025-07-09,17:05:24:488,00630,----,
2025-07-09,17:05:24:600,00645,----,
2025-07-09,17:05:24:704,00657,----,
2025-07-09,17:05:24:818,00680,----,
2025-07-09,17:05:24:929,00722,----,
2025-07-09,17:05:25:033,00709,----,
2025-07-09,17:05:25:144,00720,----,
2025-07-09,17:05:25:257,00731,----,
2025-07-09,17:05:25:362,00740,----,
2025-07-09,17:05:25:474,00746,----,
2025-07-09,17:05:25:587,00748,----,
2025-07-09,17:05:25:691,00751,----,
2025-07-09,17:05:25:803,00763,----,
2025-07-09,17:05:25:915,00762,----,
2025-07-09,17:05:26:018,00762,----,
2025-07-09,17:05:26:133,00766,----,
2025-07-09,17:05:26:236,00769,----,
2025-07-09,17:05:26:349,00748,----,
2025-07-09,17:05:26:453,00711,----,
2025-07-09,17:05:26:567,00691,----,
2025-07-09,17:05:26:680,00679,----,
2025-07-09,17:05:26:782,00662,----,
2025-07-09,17:05:26:896,00644,----,
2025-07-09,17:05:27:007,00622,----,
2025-07-09,17:05:27:110,00604,----,
2025-07-09,17:05:27:223,00598,----,
2025-07-09,17:05:27:338,00588,----,
2025-07-09,17:05:27:449,00573,----,
2025-07-09,17:05:27:550,00560,----,
2025-07-09,17:05:27:661,00553,----,
2025-07-09,17:05:27:774,00556,----,
2025-07-09,17:05:27:877,00571,----,
2025-07-09,17:05:27:990,00585,----,
2025-07-09,17:05:28:102,00601,----,
2025-07-09,17:05:28:215,00618,----,
2025-07-09,17:05:28:313,00633,----,
2025-07-09,17:05:28:426,00659,----,
2025-07-09,17:05:28:538,01086,----,
2025-07-09,17:05:28:650,00779,----,
2025-07-09,17:05:28:759,00769,----,
2025-07-09,17:05:28:868,00785,----,
2025-07-09,17:05:28:971,01027,----,
2025-07-09,17:05:29:082,00778,----,
2025-07-09,17:05:29:196,00768,----,
2025-07-09,17:05:29:298,00767,----,
2025-07-09,17:05:29:412,00750,----,
2025-07-09,17:05:29:520,00928,----,
2025-07-09,17:05:29:626,00973,----,
2025-07-09,17:05:29:740,00982,----,
2025-07-09,17:05:29:857,01010,----,
2025-07-09,17:05:29:959,00763,----,
2025-07-09,17:05:30:070,00687,----,
2025-07-09,17:05:30:172,00666,----,
2025-07-09,17:05:30:287,00639,----,
2025-07-09,17:05:30:393,00625,----,
2025-07-09,17:05:30:503,00612,----,
2025-07-09,17:05:30:616,00589,----,
2025-07-09,17:05:30:727,00568,----,
2025-07-09,17:05:30:831,00554,----,
2025-07-09,17:05:30:946,00563,----,
2025-07-09,17:05:31:048,00578,----,
2025-07-09,17:05:31:162,00587,----,
2025-07-09,17:05:31:275,00601,----,
2025-07-09,17:05:31:378,00616,----,
2025-07-09,17:05:31:491,00633,----,
2025-07-09,17:05:31:597,00669,----,
