DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-09,16:41:56:900,01812,----,
2025-07-09,16:41:57:001,01813,----,
2025-07-09,16:41:57:114,01812,----,
2025-07-09,16:41:57:228,01810,----,
2025-07-09,16:41:57:331,01809,----,
2025-07-09,16:41:57:444,01802,----,
2025-07-09,16:41:57:556,01802,----,
2025-07-09,16:41:57:659,01801,----,
2025-07-09,16:41:57:771,01800,----,
2025-07-09,16:41:57:883,01799,----,
2025-07-09,16:41:57:987,01799,----,
2025-07-09,16:41:58:100,01799,----,
2025-07-09,16:41:58:204,01800,----,
2025-07-09,16:41:58:317,01800,----,
2025-07-09,16:41:58:432,01794,----,
2025-07-09,16:41:58:534,01765,----,
2025-07-09,16:41:58:649,01701,----,
2025-07-09,16:41:58:752,01595,----,
2025-07-09,16:41:58:860,01523,----,
2025-07-09,16:41:58:977,01512,----,
2025-07-09,16:41:59:081,01511,----,
2025-07-09,16:41:59:192,01505,----,
2025-07-09,16:41:59:306,01505,----,
2025-07-09,16:41:59:416,01504,----,
2025-07-09,16:41:59:519,01503,----,
2025-07-09,16:41:59:632,01492,----,
2025-07-09,16:41:59:735,01502,----,
2025-07-09,16:41:59:848,01491,----,
2025-07-09,16:41:59:960,01489,----,
2025-07-09,16:42:00:063,01496,----,
2025-07-09,16:42:00:176,01500,----,
2025-07-09,16:42:00:289,01511,----,
2025-07-09,16:42:00:391,01522,----,
2025-07-09,16:42:00:505,01522,----,
2025-07-09,16:42:00:616,01510,----,
2025-07-09,16:42:00:719,01979,----,
2025-07-09,16:42:00:835,01981,----,
2025-07-09,16:42:00:947,02933,----,
2025-07-09,16:42:01:051,01679,----,
2025-07-09,16:42:01:166,01740,----,
2025-07-09,16:42:01:268,01790,----,
2025-07-09,16:42:01:381,01738,----,
2025-07-09,16:42:01:484,01703,----,
2025-07-09,16:42:01:598,01734,----,
2025-07-09,16:42:01:711,01704,----,
2025-07-09,16:42:01:814,01704,----,
2025-07-09,16:42:01:926,01714,----,
2025-07-09,16:42:02:039,01694,----,
2025-07-09,16:42:02:143,01687,----,
2025-07-09,16:42:02:257,01674,----,
2025-07-09,16:42:02:359,01641,----,
2025-07-09,16:42:02:475,01586,----,
2025-07-09,16:42:02:584,01550,----,
2025-07-09,16:42:02:688,01543,----,
2025-07-09,16:42:02:802,01536,----,
2025-07-09,16:42:02:915,01530,----,
2025-07-09,16:42:03:020,01525,----,
2025-07-09,16:42:03:135,01523,----,
2025-07-09,16:42:03:237,01506,----,
2025-07-09,16:42:03:350,01506,----,
2025-07-09,16:42:03:454,01506,----,
2025-07-09,16:42:03:567,01506,----,
2025-07-09,16:42:03:680,01507,----,
2025-07-09,16:42:03:783,01528,----,
2025-07-09,16:42:03:897,01521,----,
2025-07-09,16:42:04:001,01522,----,
2025-07-09,16:42:04:111,01516,----,
2025-07-09,16:42:04:223,01516,----,
2025-07-09,16:42:04:330,01522,----,
2025-07-09,16:42:04:438,01538,----,
2025-07-09,16:42:04:554,01631,----,
2025-07-09,16:42:04:656,01913,----,
2025-07-09,16:42:04:768,01747,----,
2025-07-09,16:42:04:880,01790,----,
2025-07-09,16:42:04:994,01742,----,
2025-07-09,16:42:05:100,02182,----,
2025-07-09,16:42:05:210,01687,----,
2025-07-09,16:42:05:315,01674,----,
2025-07-09,16:42:05:424,01669,----,
2025-07-09,16:42:05:537,01677,----,
2025-07-09,16:42:05:649,01726,----,
2025-07-09,16:42:05:754,01784,----,
2025-07-09,16:42:05:866,01647,----,
2025-07-09,16:42:05:979,01642,----,
2025-07-09,16:42:06:080,01594,----,
2025-07-09,16:42:06:194,01546,----,
2025-07-09,16:42:06:298,01523,----,
2025-07-09,16:42:06:412,01517,----,
2025-07-09,16:42:06:524,01499,----,
2025-07-09,16:42:06:627,01489,----,
2025-07-09,16:42:06:740,01488,----,
2025-07-09,16:42:06:852,01476,----,
2025-07-09,16:42:06:956,01471,----,
2025-07-09,16:42:07:066,01465,----,
2025-07-09,16:42:07:179,01465,----,
2025-07-09,16:42:07:283,01465,----,
2025-07-09,16:42:07:397,01470,----,
2025-07-09,16:42:07:500,01470,----,
2025-07-09,16:42:07:614,01475,----,
2025-07-09,16:42:07:727,01481,----,
2025-07-09,16:42:07:829,01492,----,
2025-07-09,16:42:07:943,01523,----,
2025-07-09,16:42:08:056,01555,----,
2025-07-09,16:42:08:160,02098,----,
2025-07-09,16:42:08:272,01909,----,
2025-07-09,16:42:08:377,01646,----,
2025-07-09,16:42:08:485,01647,----,
2025-07-09,16:42:08:597,01648,----,
2025-07-09,16:42:08:711,01722,----,
2025-07-09,16:42:08:822,01672,----,
2025-07-09,16:42:08:924,01672,----,
2025-07-09,16:42:09:039,01678,----,
2025-07-09,16:42:09:149,01666,----,
2025-07-09,16:42:09:252,01660,----,
2025-07-09,16:42:09:364,01646,----,
2025-07-09,16:42:09:479,01613,----,
2025-07-09,16:42:09:579,01550,----,
2025-07-09,16:42:09:694,01510,----,
2025-07-09,16:42:09:805,01490,----,
2025-07-09,16:42:09:916,01478,----,
2025-07-09,16:42:10:020,01474,----,
2025-07-09,16:42:10:127,01463,----,
2025-07-09,16:42:10:237,01461,----,
2025-07-09,16:42:10:344,01459,----,
2025-07-09,16:42:10:460,01459,----,
