DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-09,15:54:11:548,00447,----,
2025-07-09,15:54:11:661,00200,----,
2025-07-09,15:54:11:773,01063,----,
2025-07-09,15:54:11:877,01086,----,
2025-07-09,15:54:11:991,01111,----,
2025-07-09,15:54:12:103,00367,----,
2025-07-09,15:54:12:209,00765,----,
2025-07-09,15:54:12:322,00017,----,
2025-07-09,15:54:12:423,00009,----,
2025-07-09,15:54:12:537,00053,----,
2025-07-09,15:54:12:656,00133,----,
2025-07-09,15:54:12:755,00453,----,
2025-07-09,15:54:12:865,00756,----,
2025-07-09,15:54:12:978,01015,----,
2025-07-09,15:54:13:083,01048,----,
2025-07-09,15:54:13:192,00302,----,
2025-07-09,15:54:13:305,00156,----,
2025-07-09,15:54:13:407,00367,----,
2025-07-09,15:54:13:523,00136,----,
2025-07-09,15:54:13:636,00523,----,
2025-07-09,15:54:13:738,00954,----,
2025-07-09,15:54:13:851,01019,----,
2025-07-09,15:54:13:956,01040,----,
2025-07-09,15:54:14:068,01054,----,
2025-07-09,15:54:14:182,01059,----,
2025-07-09,15:54:14:285,01065,----,
2025-07-09,15:54:14:398,01088,----,
2025-07-09,15:54:14:510,00697,----,
2025-07-09,15:54:14:613,00341,----,
2025-07-09,15:54:14:727,00142,----,
2025-07-09,15:54:14:829,00040,----,
2025-07-09,15:54:14:943,00004,----,
2025-07-09,15:54:15:054,00000,----,
2025-07-09,15:54:15:157,00000,----,
2025-07-09,15:54:15:273,00000,----,
2025-07-09,15:54:15:382,00000,----,
2025-07-09,15:54:15:493,00000,----,
2025-07-09,15:54:15:594,00000,----,
2025-07-09,15:54:15:714,00002,----,
2025-07-09,15:54:15:818,00463,----,
2025-07-09,15:54:15:932,00891,----,
2025-07-09,15:54:16:035,01024,----,
2025-07-09,15:54:16:147,00657,----,
2025-07-09,15:54:16:258,00063,----,
2025-07-09,15:54:16:369,00109,----,
2025-07-09,15:54:16:473,00583,----,
2025-07-09,15:54:16:587,00179,----,
2025-07-09,15:54:16:690,00003,----,
2025-07-09,15:54:16:801,00000,----,
2025-07-09,15:54:16:915,00000,----,
2025-07-09,15:54:17:021,00123,----,
2025-07-09,15:54:17:131,00001,----,
2025-07-09,15:54:17:243,00000,----,
2025-07-09,15:54:17:352,00001,----,
2025-07-09,15:54:17:456,00000,----,
2025-07-09,15:54:17:570,00000,----,
2025-07-09,15:54:17:681,00000,----,
2025-07-09,15:54:17:785,00000,----,
2025-07-09,15:54:17:909,00000,----,
2025-07-09,15:54:18:018,00029,----,
2025-07-09,15:54:18:131,00005,----,
2025-07-09,15:54:18:237,00001,----,
2025-07-09,15:54:18:352,00146,----,
2025-07-09,15:54:18:461,00448,----,
2025-07-09,15:54:18:573,00292,----,
2025-07-09,15:54:18:676,00021,----,
2025-07-09,15:54:18:788,00075,----,
2025-07-09,15:54:18:900,00028,----,
2025-07-09,15:54:19:003,00016,----,
2025-07-09,15:54:19:120,00589,----,
2025-07-09,15:54:19:228,00444,----,
2025-07-09,15:54:19:329,00293,----,
2025-07-09,15:54:19:443,00004,----,
2025-07-09,15:54:19:547,00000,----,
2025-07-09,15:54:19:661,00021,----,
2025-07-09,15:54:19:773,00000,----,
2025-07-09,15:54:19:885,00139,----,
2025-07-09,15:54:19:996,00059,----,
2025-07-09,15:54:20:101,00113,----,
2025-07-09,15:54:20:207,00105,----,
2025-07-09,15:54:20:318,00259,----,
2025-07-09,15:54:20:427,00039,----,
2025-07-09,15:54:20:540,00000,----,
2025-07-09,15:54:20:643,00002,----,
