DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-09,15:51:49:408,00556,----,
2025-07-09,15:51:49:520,00552,----,
2025-07-09,15:51:49:632,00548,----,
2025-07-09,15:51:49:744,00551,----,
2025-07-09,15:51:49:849,00558,----,
2025-07-09,15:51:49:962,00549,----,
2025-07-09,15:51:50:072,00534,----,
2025-07-09,15:51:50:175,00534,----,
2025-07-09,15:51:50:287,00540,----,
2025-07-09,15:51:50:400,00530,----,
2025-07-09,15:51:50:503,00514,----,
2025-07-09,15:51:50:617,00513,----,
2025-07-09,15:51:50:719,00705,----,
2025-07-09,15:51:50:833,00755,----,
2025-07-09,15:51:50:946,00771,----,
2025-07-09,15:51:51:049,00765,----,
2025-07-09,15:51:51:163,00674,----,
2025-07-09,15:51:51:266,00561,----,
2025-07-09,15:51:51:379,00514,----,
2025-07-09,15:51:51:493,00494,----,
2025-07-09,15:51:51:596,00494,----,
2025-07-09,15:51:51:708,00510,----,
2025-07-09,15:51:51:822,00515,----,
2025-07-09,15:51:51:925,00510,----,
2025-07-09,15:51:52:039,00509,----,
2025-07-09,15:51:52:143,00513,----,
2025-07-09,15:51:52:256,00513,----,
2025-07-09,15:51:52:369,00512,----,
2025-07-09,15:51:52:472,00592,----,
2025-07-09,15:51:52:585,00712,----,
2025-07-09,15:51:52:696,00767,----,
2025-07-09,15:51:52:799,00785,----,
2025-07-09,15:51:52:913,00773,----,
2025-07-09,15:51:53:016,00681,----,
2025-07-09,15:51:53:129,00658,----,
2025-07-09,15:51:53:241,00607,----,
2025-07-09,15:51:53:346,00533,----,
2025-07-09,15:51:53:458,00491,----,
2025-07-09,15:51:53:574,00495,----,
2025-07-09,15:51:53:679,00515,----,
2025-07-09,15:51:53:791,00519,----,
2025-07-09,15:51:53:894,00517,----,
2025-07-09,15:51:54:007,00516,----,
2025-07-09,15:51:54:112,00524,----,
2025-07-09,15:51:54:224,00511,----,
2025-07-09,15:51:54:338,00469,----,
2025-07-09,15:51:54:441,00507,----,
2025-07-09,15:51:54:562,00662,----,
2025-07-09,15:51:54:659,00759,----,
2025-07-09,15:51:54:773,00762,----,
2025-07-09,15:51:54:876,00752,----,
2025-07-09,15:51:54:988,00705,----,
2025-07-09,15:51:55:101,00650,----,
2025-07-09,15:51:55:204,00551,----,
2025-07-09,15:51:55:319,00494,----,
2025-07-09,15:51:55:425,00477,----,
2025-07-09,15:51:55:540,00495,----,
2025-07-09,15:51:55:643,00507,----,
2025-07-09,15:51:55:756,00504,----,
2025-07-09,15:51:55:860,00504,----,
2025-07-09,15:51:55:976,00493,----,
2025-07-09,15:51:56:079,00453,----,
2025-07-09,15:51:56:193,00440,----,
2025-07-09,15:51:56:304,00475,----,
2025-07-09,15:51:56:413,00586,----,
2025-07-09,15:51:56:521,00647,----,
2025-07-09,15:51:56:634,00660,----,
2025-07-09,15:51:56:739,00648,----,
2025-07-09,15:51:56:851,00610,----,
2025-07-09,15:51:56:955,00554,----,
2025-07-09,15:51:57:075,00526,----,
2025-07-09,15:51:57:183,00492,----,
2025-07-09,15:51:57:285,00476,----,
2025-07-09,15:51:57:400,00482,----,
2025-07-09,15:51:57:506,00493,----,
2025-07-09,15:51:57:621,00489,----,
2025-07-09,15:51:57:724,00487,----,
2025-07-09,15:51:57:828,00490,----,
2025-07-09,15:51:57:943,00460,----,
2025-07-09,15:51:58:047,00478,----,
2025-07-09,15:51:58:160,00545,----,
2025-07-09,15:51:58:272,00619,----,
2025-07-09,15:51:58:388,00668,----,
2025-07-09,15:51:58:487,00685,----,
2025-07-09,15:51:58:600,00670,----,
2025-07-09,15:51:58:707,00626,----,
2025-07-09,15:51:58:819,00577,----,
2025-07-09,15:51:58:928,00521,----,
2025-07-09,15:51:59:037,00480,----,
2025-07-09,15:51:59:149,00462,----,
2025-07-09,15:51:59:253,00471,----,
2025-07-09,15:51:59:366,00483,----,
2025-07-09,15:51:59:470,00483,----,
2025-07-09,15:51:59:582,00477,----,
2025-07-09,15:51:59:699,00461,----,
2025-07-09,15:51:59:798,00437,----,
2025-07-09,15:51:59:912,00427,----,
2025-07-09,15:52:00:024,00462,----,
2025-07-09,15:52:00:125,00529,----,
2025-07-09,15:52:00:238,00569,----,
2025-07-09,15:52:00:351,00586,----,
2025-07-09,15:52:00:463,00583,----,
2025-07-09,15:52:00:564,00554,----,
2025-07-09,15:52:00:677,00539,----,
2025-07-09,15:52:00:790,00508,----,
2025-07-09,15:52:00:893,00469,----,
2025-07-09,15:52:01:005,00461,----,
2025-07-09,15:52:01:120,00472,----,
2025-07-09,15:52:01:222,00484,----,
2025-07-09,15:52:01:335,00485,----,
2025-07-09,15:52:01:441,00479,----,
2025-07-09,15:52:01:550,00479,----,
2025-07-09,15:52:01:664,00491,----,
2025-07-09,15:52:01:766,00495,----,
2025-07-09,15:52:01:880,00487,----,
2025-07-09,15:52:01:992,00482,----,
