DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-09,15:54:34:107,01386,----,
2025-07-09,15:54:34:207,01385,----,
2025-07-09,15:54:34:320,01390,----,
2025-07-09,15:54:34:423,01389,----,
2025-07-09,15:54:34:537,01388,----,
2025-07-09,15:54:34:649,01388,----,
2025-07-09,15:54:34:751,01382,----,
2025-07-09,15:54:34:865,01381,----,
2025-07-09,15:54:34:975,01382,----,
2025-07-09,15:54:35:088,01377,----,
2025-07-09,15:54:35:191,01376,----,
2025-07-09,15:54:35:304,01274,----,
2025-07-09,15:54:35:417,01166,----,
2025-07-09,15:54:35:519,01049,----,
2025-07-09,15:54:35:631,01001,----,
2025-07-09,15:54:35:746,00965,----,
2025-07-09,15:54:35:848,00955,----,
2025-07-09,15:54:35:962,00967,----,
2025-07-09,15:54:36:065,00964,----,
2025-07-09,15:54:36:177,00967,----,
2025-07-09,15:54:36:295,00972,----,
2025-07-09,15:54:36:402,00979,----,
2025-07-09,15:54:36:504,00983,----,
2025-07-09,15:54:36:616,00990,----,
2025-07-09,15:54:36:730,01001,----,
2025-07-09,15:54:36:833,01021,----,
2025-07-09,15:54:36:947,01086,----,
2025-07-09,15:54:37:048,01158,----,
2025-07-09,15:54:37:162,01193,----,
2025-07-09,15:54:37:275,01208,----,
2025-07-09,15:54:37:377,01222,----,
2025-07-09,15:54:37:492,01227,----,
2025-07-09,15:54:37:604,01227,----,
2025-07-09,15:54:37:707,01228,----,
2025-07-09,15:54:37:821,01229,----,
2025-07-09,15:54:37:932,01225,----,
2025-07-09,15:54:38:035,01225,----,
2025-07-09,15:54:38:146,01187,----,
2025-07-09,15:54:38:261,01039,----,
2025-07-09,15:54:38:362,00976,----,
2025-07-09,15:54:38:477,00933,----,
2025-07-09,15:54:38:579,00916,----,
2025-07-09,15:54:38:692,00917,----,
2025-07-09,15:54:38:807,00921,----,
2025-07-09,15:54:38:907,00925,----,
2025-07-09,15:54:39:021,00932,----,
2025-07-09,15:54:39:127,00940,----,
2025-07-09,15:54:39:240,00941,----,
2025-07-09,15:54:39:354,00948,----,
2025-07-09,15:54:39:458,00962,----,
2025-07-09,15:54:39:565,00997,----,
2025-07-09,15:54:39:678,01078,----,
2025-07-09,15:54:39:791,01146,----,
2025-07-09,15:54:39:895,01185,----,
2025-07-09,15:54:40:008,01200,----,
2025-07-09,15:54:40:112,01199,----,
2025-07-09,15:54:40:224,01200,----,
2025-07-09,15:54:40:341,01205,----,
2025-07-09,15:54:40:440,01205,----,
2025-07-09,15:54:40:549,01206,----,
2025-07-09,15:54:40:657,01206,----,
2025-07-09,15:54:40:771,01188,----,
2025-07-09,15:54:40:886,01107,----,
2025-07-09,15:54:40:986,01002,----,
2025-07-09,15:54:41:101,00948,----,
2025-07-09,15:54:41:212,00911,----,
2025-07-09,15:54:41:314,00901,----,
2025-07-09,15:54:41:429,00902,----,
2025-07-09,15:54:41:542,00897,----,
2025-07-09,15:54:41:643,00901,----,
2025-07-09,15:54:41:759,00901,----,
2025-07-09,15:54:41:863,00907,----,
2025-07-09,15:54:41:971,00911,----,
2025-07-09,15:54:42:083,00911,----,
2025-07-09,15:54:42:192,00912,----,
2025-07-09,15:54:42:301,00918,----,
2025-07-09,15:54:42:413,00966,----,
2025-07-09,15:54:42:527,01019,----,
2025-07-09,15:54:42:629,01129,----,
2025-07-09,15:54:42:740,01203,----,
2025-07-09,15:54:42:854,01209,----,
2025-07-09,15:54:42:959,01213,----,
2025-07-09,15:54:43:069,01217,----,
2025-07-09,15:54:43:176,01212,----,
2025-07-09,15:54:43:285,01212,----,
2025-07-09,15:54:43:397,01212,----,
2025-07-09,15:54:43:510,01211,----,
2025-07-09,15:54:43:612,01151,----,
2025-07-09,15:54:43:728,01011,----,
2025-07-09,15:54:43:838,00938,----,
2025-07-09,15:54:43:941,00903,----,
2025-07-09,15:54:44:055,00879,----,
2025-07-09,15:54:44:158,00846,----,
2025-07-09,15:54:44:270,00845,----,
2025-07-09,15:54:44:386,00860,----,
2025-07-09,15:54:44:489,00872,----,
2025-07-09,15:54:44:605,00879,----,
2025-07-09,15:54:44:706,00879,----,
2025-07-09,15:54:44:816,00882,----,
2025-07-09,15:54:44:924,00888,----,
2025-07-09,15:54:45:042,00911,----,
2025-07-09,15:54:45:144,00938,----,
2025-07-09,15:54:45:257,00988,----,
2025-07-09,15:54:45:363,01071,----,
2025-07-09,15:54:45:473,01101,----,
2025-07-09,15:54:45:585,01120,----,
2025-07-09,15:54:45:691,01124,----,
2025-07-09,15:54:45:802,01129,----,
2025-07-09,15:54:45:913,01138,----,
2025-07-09,15:54:46:026,01153,----,
2025-07-09,15:54:46:129,01157,----,
2025-07-09,15:54:46:242,01153,----,
2025-07-09,15:54:46:356,01016,----,
2025-07-09,15:54:46:458,00934,----,
2025-07-09,15:54:46:566,00884,----,
2025-07-09,15:54:46:675,00841,----,
2025-07-09,15:54:46:787,00832,----,
2025-07-09,15:54:46:907,00822,----,
2025-07-09,15:54:47:008,00828,----,
2025-07-09,15:54:47:111,00835,----,
2025-07-09,15:54:47:226,00838,----,
2025-07-09,15:54:47:339,00841,----,
2025-07-09,15:54:47:442,00845,----,
2025-07-09,15:54:47:556,00848,----,
2025-07-09,15:54:47:660,00852,----,
