DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-09,16:04:23:809,00718,----,
2025-07-09,16:04:23:910,00642,----,
2025-07-09,16:04:24:023,00624,----,
2025-07-09,16:04:24:126,00641,----,
2025-07-09,16:04:24:239,00646,----,
2025-07-09,16:04:24:354,00647,----,
2025-07-09,16:04:24:454,00657,----,
2025-07-09,16:04:24:567,00669,----,
2025-07-09,16:04:24:674,00671,----,
2025-07-09,16:04:24:783,00664,----,
2025-07-09,16:04:24:895,00663,----,
2025-07-09,16:04:25:011,00677,----,
2025-07-09,16:04:25:112,00678,----,
2025-07-09,16:04:25:226,00670,----,
2025-07-09,16:04:25:332,00669,----,
2025-07-09,16:04:25:440,00679,----,
2025-07-09,16:04:25:553,00682,----,
2025-07-09,16:04:25:668,00676,----,
2025-07-09,16:04:25:774,00667,----,
2025-07-09,16:04:25:882,00674,----,
2025-07-09,16:04:25:995,00685,----,
2025-07-09,16:04:26:095,00684,----,
2025-07-09,16:04:26:208,00673,----,
2025-07-09,16:04:26:319,00642,----,
2025-07-09,16:04:26:424,00589,----,
2025-07-09,16:04:26:536,00403,----,
2025-07-09,16:04:26:648,00349,----,
2025-07-09,16:04:26:753,00354,----,
2025-07-09,16:04:26:864,00339,----,
2025-07-09,16:04:26:976,00351,----,
2025-07-09,16:04:27:088,00354,----,
2025-07-09,16:04:27:193,00354,----,
2025-07-09,16:04:27:304,00361,----,
2025-07-09,16:04:27:406,00371,----,
2025-07-09,16:04:27:521,00367,----,
2025-07-09,16:04:27:633,00363,----,
2025-07-09,16:04:27:736,00374,----,
2025-07-09,16:04:27:853,00408,----,
2025-07-09,16:04:27:954,00493,----,
2025-07-09,16:04:28:071,00554,----,
2025-07-09,16:04:28:182,00603,----,
2025-07-09,16:04:28:296,00618,----,
2025-07-09,16:04:28:398,00628,----,
2025-07-09,16:04:28:505,00624,----,
2025-07-09,16:04:28:623,00620,----,
2025-07-09,16:04:28:725,00628,----,
2025-07-09,16:04:28:829,00646,----,
2025-07-09,16:04:28:942,00646,----,
2025-07-09,16:04:29:055,00620,----,
2025-07-09,16:04:29:156,00568,----,
2025-07-09,16:04:29:270,00444,----,
2025-07-09,16:04:29:381,00343,----,
2025-07-09,16:04:29:489,00323,----,
2025-07-09,16:04:29:600,00312,----,
2025-07-09,16:04:29:711,00322,----,
2025-07-09,16:04:29:813,00332,----,
2025-07-09,16:04:29:926,00334,----,
2025-07-09,16:04:30:043,00333,----,
2025-07-09,16:04:30:142,00340,----,
2025-07-09,16:04:30:255,00348,----,
2025-07-09,16:04:30:360,00348,----,
2025-07-09,16:04:30:472,00345,----,
2025-07-09,16:04:30:584,00357,----,
2025-07-09,16:04:30:698,00508,----,
2025-07-09,16:04:30:808,00485,----,
2025-07-09,16:04:30:913,00510,----,
2025-07-09,16:04:31:017,00533,----,
2025-07-09,16:04:31:129,00584,----,
2025-07-09,16:04:31:241,00602,----,
2025-07-09,16:04:31:346,00600,----,
2025-07-09,16:04:31:457,00593,----,
2025-07-09,16:04:31:566,00601,----,
2025-07-09,16:04:31:681,00620,----,
2025-07-09,16:04:31:791,00621,----,
2025-07-09,16:04:31:894,00583,----,
2025-07-09,16:04:32:008,00527,----,
2025-07-09,16:04:32:119,00390,----,
2025-07-09,16:04:32:221,00329,----,
2025-07-09,16:04:32:336,00310,----,
2025-07-09,16:04:32:445,00300,----,
2025-07-09,16:04:32:549,00309,----,
2025-07-09,16:04:32:661,00321,----,
2025-07-09,16:04:32:768,00324,----,
2025-07-09,16:04:32:877,00324,----,
2025-07-09,16:04:32:986,00329,----,
2025-07-09,16:04:33:103,00336,----,
2025-07-09,16:04:33:207,00338,----,
2025-07-09,16:04:33:320,00334,----,
2025-07-09,16:04:33:435,00339,----,
2025-07-09,16:04:33:534,00375,----,
2025-07-09,16:04:33:651,00478,----,
2025-07-09,16:04:33:752,00546,----,
2025-07-09,16:04:33:862,00559,----,
2025-07-09,16:04:33:982,00568,----,
2025-07-09,16:04:34:080,00583,----,
2025-07-09,16:04:34:196,00589,----,
2025-07-09,16:04:34:299,00589,----,
2025-07-09,16:04:34:412,00587,----,
2025-07-09,16:04:34:527,00592,----,
2025-07-09,16:04:34:635,00572,----,
2025-07-09,16:04:34:741,00513,----,
2025-07-09,16:04:34:845,00359,----,
2025-07-09,16:04:34:959,00313,----,
2025-07-09,16:04:35:073,00296,----,
2025-07-09,16:04:35:175,00289,----,
2025-07-09,16:04:35:290,00285,----,
2025-07-09,16:04:35:392,00295,----,
2025-07-09,16:04:35:508,00307,----,
2025-07-09,16:04:35:623,00314,----,
2025-07-09,16:04:35:723,00314,----,
2025-07-09,16:04:35:837,00313,----,
2025-07-09,16:04:35:940,00316,----,
2025-07-09,16:04:36:051,00324,----,
2025-07-09,16:04:36:165,00341,----,
2025-07-09,16:04:36:268,00396,----,
2025-07-09,16:04:36:385,00469,----,
2025-07-09,16:04:36:496,00533,----,
2025-07-09,16:04:36:599,00572,----,
2025-07-09,16:04:36:711,00569,----,
2025-07-09,16:04:36:816,00564,----,
2025-07-09,16:04:36:927,00571,----,
2025-07-09,16:04:37:043,00584,----,
2025-07-09,16:04:37:145,00585,----,
2025-07-09,16:04:37:256,00585,----,
2025-07-09,16:04:37:359,00600,----,
